[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fedilab-_3.28.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
d41414bcd77b36ef    3 of   3   androidx/room/SharedSQLiteStatement$stmt$2
1ceb04f256ecafb4    1 of   1   com/google/android/material/textfield/NoEndIconDelegate
a428ae983e956d67    2 of  30   kotlin/jvm/internal/CallableReference
83d0f6185bc0d74a   95 of 129   okio/Options$Companion
43da1b648e6dff91    2 of  12   retrofit2/CompletableFutureCallAdapterFactory
4fa3d3d7f5b58085    5 of 275   androidx/core/widget/TextViewCompat
f7b375bc175cd415    8 of   9   androidx/activity/ComponentActivity$3
b389493b4897d362    8 of  16   com/google/firebase/provider/FirebaseInitProvider
d93030d59c84d428   10 of  11   androidx/lifecycle/viewmodel/MutableCreationExtras
16a8550ef9e7230b   10 of 268   androidx/collection/SimpleArrayMap
c03cfadd1131b29a    1 of  20   com/google/gson/internal/sql/SqlTimeTypeAdapter
6d44bb7058a237da    3 of  10   androidx/room/InvalidationLiveDataContainer
7dda123f43f16544    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
f0536bd6b2c44810   11 of  13   androidx/fragment/app/strictmode/FragmentStrictMode$Flag
a9c240b42a2aa20e    4 of   5   com/vanniktech/emoji/one/category/SymbolsCategory
740c9dde80bd103a    2 of   5   net/gotev/uploadservice/UploadServiceConfig$notificationHandlerFactory$1
1a613915bab19093    2 of   3   androidx/tracing/TraceApi18Impl
3bea1e28227ff6ea    3 of   8   retrofit2/converter/gson/GsonConverterFactory
2a112849037a687a    2 of   9   androidx/work/impl/WorkDatabase_AutoMigration_14_15_Impl
4b6dd984e95192e0    4 of  23   androidx/core/util/ObjectsCompat
c0969e3c2dc5e20d    3 of  21   okhttp3/internal/platform/android/ConscryptSocketAdapter
a6173d318b3db17d    1 of  16   com/google/android/material/textfield/MaterialAutoCompleteTextView$1
18aa35c27950d550    1 of   6   androidx/work/InputMergerFactory
7a1027d1c931759c    2 of   2   okhttp3/EventListener$Companion
d01658023390e2eb   38 of  75   okhttp3/HttpUrl$Builder$Companion
c5c42cfa9c611c2e    1 of   9   androidx/activity/result/ActivityResultRegistry$2
b4acf6e1f5d626ee   12 of  41   androidx/fragment/app/SpecialEffectsController$Operation$State
c02414437ea76b40   24 of 182   org/conscrypt/SSLParametersImpl
86533089fcad53f5    2 of   7   kotlin/coroutines/AbstractCoroutineContextElement
823a43000c015cb9    6 of  12   androidx/core/text/TextDirectionHeuristicsCompat
1f71420d034e07b7   23 of 126   kotlin/collections/CollectionsKt__CollectionsKt
b52e0ffe3e343563    3 of  10   androidx/activity/ComponentActivity$2
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
3c1341c682548e08    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
482b054e11f4fd1b   14 of 127   kotlin/jvm/internal/Intrinsics
1f875a63bf131b7d    2 of   8   net/gotev/uploadservice/logger/DefaultLoggerDelegate
19c905ded284bf19    1 of   9   com/google/gson/internal/bind/TypeAdapters$20
1c088d680de3f513    1 of  75   androidx/work/impl/model/WorkSpecDao_Impl$2
81a18b302308b809    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
7875af42f8dab67c    1 of  15   com/vanniktech/emoji/EmojiManager$2
ae268dc3c73b0d4f   13 of  98   androidx/lifecycle/LiveData
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
fe17750e015183d0    3 of  56   com/google/firebase/FirebaseOptions
1fa492162a04262f   18 of  48   androidx/lifecycle/SavedStateHandleSupport
ffa4bff795ba3470   19 of 113   okhttp3/ConnectionSpec
1589cb628cfd0b8f   12 of  53   app/fedilab/android/JacocoInstrument/JacocoInstrumentation
83f8f600ef115373   13 of  52   androidx/fragment/app/FragmentController
4a205c027477b3ce    1 of  16   androidx/fragment/app/FragmentManager$10
4836edb9e70d6319    1 of   3   retrofit2/CallAdapter$Factory
64ca3641e8b7f3a2    6 of  17   androidx/sqlite/db/SupportSQLiteCompat$Api16Impl
e799d3a0b52fd889    1 of   9   okhttp3/internal/platform/android/BouncyCastleSocketAdapter$Companion$factory$1
8922d5b109c764f4    4 of   5   com/vanniktech/emoji/one/category/ObjectsCategory
e656fb338fb50370    9 of 109   com/google/android/material/internal/ViewUtils
a5f7be8a9e0a34d6    3 of  18   androidx/appcompat/app/AppLocalesStorageHelper$SerialExecutor
cde9f9c9506b1dea    4 of 123   okhttp3/Dispatcher
925a28b55aa7c1ea    1 of  67   com/google/gson/internal/bind/TypeAdapters$28
6d64043c24e1e411    1 of   6   com/google/gson/Gson$4
323bd697b35bd65d    2 of   2   androidx/sqlite/db/framework/FrameworkSQLiteDatabase$Companion
d4da2a295c6bc332    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$15
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
5d230ad930da9e8f   16 of  37   retrofit2/Platform
1cdf2bda0aa17c15   20 of  68   com/google/android/material/resources/MaterialResources
06e88491b26a61a1    2 of  49   androidx/core/os/HandlerCompat
1c79426186a7810c   19 of  86   androidx/collection/LruCache
5b404f74a29f4f1c  213 of 598   androidx/constraintlayout/widget/ConstraintLayout
e1f2a0dcbb88531c    2 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
1806e6dcfbde84c4   11 of  20   kotlin/SynchronizedLazyImpl
741a8fb483adf9c2    1 of  12   com/google/gson/internal/bind/TypeAdapters$14
5eb6932581877dd7   12 of  49   androidx/work/impl/model/WorkProgressDao_Impl
87efdb8dbd4338e5    6 of   8   app/fedilab/android/BaseMainActivity$status
28233a4a54c43f7d    4 of 1097   kotlin/collections/ArraysKt___ArraysJvmKt
82d22166e1e0ab81    9 of  14   kotlin/internal/jdk8/JDK8PlatformImplementations$ReflectSdkVersion
092cd20fac31b6c7   72 of 208   androidx/fragment/app/SpecialEffectsController
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
9e0970dbd4189b13   38 of 105   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
8bfbae0a66ef0ac7   12 of 104   okhttp3/internal/HostnamesKt
24da498945b9c936    7 of  15   com/google/android/material/textfield/EndCompoundLayout$2
4194b15a375b9e4b    1 of   7   com/google/gson/internal/bind/TypeAdapters$8
f9016ce84e395a37   28 of  87   androidx/room/RoomOpenHelper
ba0cf016d47f778d   16 of 1064   app/fedilab/android/BaseMainActivity
4bbb39a90f40a4b9   20 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
29668fb4024e0d70    9 of  14   androidx/lifecycle/viewmodel/InitializerViewModelFactory
67600e175a04fa9c    2 of   7   com/google/gson/internal/bind/DefaultDateTypeAdapter$DateType
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
61d2633ccc92ff8e    1 of  10   androidx/work/impl/model/WorkProgressDao_Impl$1
7b2f1226d19f8962    2 of   3   okhttp3/internal/connection/RealConnectionPool$cleanupTask$1
6bf9deadc1f0b558    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$10
b1b7bb2fdb4d182b   29 of  55   androidx/appcompat/view/ContextThemeWrapper
be5e469d8e0b7ccd    1 of   4   androidx/profileinstaller/ProfileVerifier$CompilationStatus
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
5dd9e0bdb2f6e598    7 of  18   androidx/emoji2/viewsintegration/EmojiTextViewHelper$SkippingHelper19
89b917f53796c3d0    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
dd896951654bc398    5 of   5   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1$1
ff67f5349cab64f3  278 of 557   com/google/android/material/internal/CollapsingTextHelper
e0ad3db5314f4e5a    4 of  11   kotlin/coroutines/AbstractCoroutineContextKey
9025ecef67eab12e    1 of   5   androidx/fragment/app/FragmentTransaction$Op
dd461c2faab829df    2 of  87   org/conscrypt/ClientSessionContext
5808e4c040c76e00    7 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
aebd59029cb3211e    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$5
ad10c451ca83c1d1    1 of  84   com/google/gson/internal/bind/ReflectiveTypeAdapterFactory
ffe6da73a93416b5   10 of  16   com/google/android/material/textfield/EndCompoundLayout$EndIconDelegates
1cf6ed7b8fa08434    6 of  14   androidx/emoji2/viewsintegration/EmojiTextViewHelper
7a89da6eeef9f404   20 of  41   androidx/room/Room
38e74c1f432005c2    1 of   5   com/google/gson/internal/sql/SqlTimestampTypeAdapter$1
8ec0914ef49d610f    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
7cbecc82d7bbcd9b   19 of  80   androidx/savedstate/SavedStateRegistry
4a84cef768e01eb3    3 of   6   androidx/lifecycle/ViewModelProvider$Factory
59b14964bbbb814e   14 of  22   androidx/lifecycle/ReportFragment$LifecycleCallbacks
