[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Jellyfin-Android-_v2.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
9b6c6cb2f7f9c860    3 of   3   androidx/compose/runtime/Recomposer$readObserverOf$1
4b39521f3d4d5cb3    6 of  12   androidx/compose/material/ripple/StateLayer$handleInteraction$1
63316b066cf18db8   14 of  56   androidx/compose/ui/text/font/PlatformTypefacesApi
64b595c734f5845c    4 of  13   kotlinx/coroutines/internal/ThreadContextKt$countAll$1
204a14a7b6042731    8 of  19   androidx/compose/ui/text/input/TextInputService
7bc783b68e78356f    2 of   2   shark/ReferencePattern$NativeGlobalVariablePattern$Companion
ea5c7140c9f1a919   69 of 168   androidx/compose/ui/platform/RenderNodeApi23
7b97d19c981d33ed    1 of   2   com/google/android/gms/cast/framework/zzh
20fff6afa4343fa7    7 of  12   androidx/compose/ui/input/pointer/SuspendingPointerInputFilterKt
8396730aef6d342f    4 of   6   androidx/compose/material/TextFieldImplKt$CommonDecorationBox$3$WhenMappings
c4256cd9b74acea3    8 of 211   androidx/lifecycle/WithLifecycleStateKt
21c4a6d01ecef166   32 of  63   androidx/compose/foundation/text/TextFieldScrollerPosition
d4860f84f56719e2    2 of   6   androidx/compose/foundation/gestures/ScrollableKt$CanDragCalculation$1
d3b67a3e64aeb56a    6 of   7   androidx/compose/runtime/snapshots/SnapshotKt$takeNewSnapshot$1
5bcd4d5fc05cef1f    5 of   5   leakcanary/internal/InternalLeakCanary$invoke$1
45ed59869528835a    2 of   2   leakcanary/internal/activity/db/DbKt
a94eb161ad8d6eb1    2 of   6   kotlin/jvm/internal/FunctionReferenceImpl
8cd68af95d91ed97    1 of   1   org/koin/core/component/KoinComponent$DefaultImpls
b328802267aa0170    4 of   4   androidx/compose/runtime/tooling/InspectionTablesKt$LocalInspectionTables$1
99928541aa9fcfe5    6 of  17   androidx/compose/ui/res/ImageVectorCache
6d4bed90c61b56aa    3 of  18   androidx/compose/ui/graphics/vector/PathNode$RelativeMoveTo
d064d2489e70bd3d    1 of   2   com/google/android/gms/common/internal/zai
04ab41c6a1cd61c4  133 of 439   com/google/android/gms/dynamite/DynamiteModule
c5812bd32218c7ee   12 of 150   androidx/compose/ui/text/input/RecordingInputConnection
cdfafffddaa5f5f9    1 of  12   androidx/compose/ui/node/SemanticsModifierNodeKt
4cc87394440cf217    4 of   5   androidx/compose/ui/node/DrawModifierNodeKt
d85d0d8875c8ac55    1 of   5   androidx/compose/foundation/FocusableKt$focusableInNonTouchMode$1
89a6902a0babec15    2 of  35   com/google/android/gms/common/wrappers/PackageManagerWrapper
c36856da1b633bd0    2 of   2   androidx/compose/ui/graphics/colorspace/ColorSpace$Companion
62ba801d18b67349    1 of   3   shark/AndroidObjectInspectors$OBJECT_ANIMATOR
1409e205e4b67982    4 of   4   androidx/compose/foundation/ImageKt$Image$1$1
2334eefeb1978c2c    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalHapticFeedback$1
bec2fb7758326731    6 of  37   kotlinx/coroutines/sync/MutexKt
33c34a6fe6d19b3f    2 of   8   org/jellyfin/mobile/utils/JellyTree
de520b87583edc33   70 of 218   androidx/compose/runtime/changelist/Operations
2d569d3361bec4b5    1 of  33   kotlinx/coroutines/flow/FlowKt__EmittersKt
971f1880d02741aa    5 of   5   androidx/compose/ui/text/style/TextForegroundStyle$Unspecified
39ce344989fdb155    5 of   7   androidx/compose/ui/graphics/AndroidCanvas_androidKt
920cd2343f332bde   13 of  22   androidx/compose/animation/core/AnimationVector1D
11b14a9e91f12b7a    4 of 186   com/google/android/gms/common/GoogleApiAvailability
160047df0c1ebea4    5 of  12   androidx/compose/runtime/changelist/Operation$EnsureGroupStarted
4278ec18fe90745b    5 of   6   androidx/compose/animation/core/Transition$animateTo$1$1$1
f9924a1e8136ec65    2 of   3   com/google/android/datatransport/runtime/ExecutionModule_ExecutorFactory$InstanceHolder
97644b5cbf99c6c5   29 of 198   org/koin/core/Koin
8b4dcc6a2ff84ef1   25 of  35   androidx/compose/ui/graphics/AndroidPaint
20dab2a1bd349a4d    7 of  39   curtains/WindowsKt
f57c782aefadb3db    2 of   6   leakcanary/BackgroundThreadHeapAnalyzer$heapAnalyzerThreadHandler$2
7fc6b9231d0f982d    6 of  51   androidx/compose/animation/ExitTransition
b7d3ffe8cb51a97a   46 of  90   kotlinx/coroutines/DispatchedTask
7b51e438205ca61e    3 of   3   androidx/compose/foundation/text/TextFieldKeyInputKt$textFieldKeyInput$2$1
810234b527a42659    9 of  30   androidx/room/RoomSQLiteQuery$Companion
9f1d9bc847d580fb    8 of  62   androidx/compose/ui/unit/Density
0e706088e3accb3a    5 of   5   androidx/compose/runtime/SnapshotMutableStateImpl$StateStateRecord
e6dc5c15c0e4b2a4    5 of  13   androidx/compose/foundation/gestures/BringIntoViewSpec$Companion$DefaultBringIntoViewSpec$1
ccd018bc74fe3244    1 of   3   androidx/compose/animation/AnimatedVisibilityKt$AnimatedVisibility$2
52457be9ae3f2add    1 of   9   com/google/android/gms/internal/cast/zzry
748a627a05120123   12 of  13   androidx/lifecycle/Lifecycle$State
dbebfb9ce67dacd2    1 of   4   androidx/core/content/ContextCompat$Api23Impl
66cd65da61a7c330    6 of  10   androidx/compose/ui/node/CanFocusChecker
fd015f7de2e386a4    4 of  92   androidx/compose/ui/graphics/AndroidBlendMode_androidKt
564a79e1ea967420    1 of   3   com/google/android/gms/internal/cast/zzgh
0a2d9746c780f42e    2 of   9   androidx/concurrent/futures/AbstractResolvableFuture$Waiter
101f84faec641cd2    5 of   5   androidx/compose/runtime/ProvidedValue
6a85f9923d22c24c    2 of   6   com/google/android/gms/cast/framework/zzac
2fcc5c03e40b23dc    2 of   9   androidx/compose/foundation/layout/Arrangement$SpaceAround$1
31cead599b9b16a4   14 of  16   androidx/compose/foundation/text/HorizontalScrollLayoutModifier$measure$1
9936b0ba7294329d    8 of   8   androidx/compose/ui/text/style/TextDirection$Companion
948ba6aa535c82a6    4 of   4   shark/AndroidReferenceMatchers$TEXT_TO_SPEECH
df38f0a20eb558c3   12 of  41   androidx/compose/ui/graphics/vector/VectorKt
2948a12c63162ab4    2 of   2   io/ktor/util/pipeline/PipelinePhaseRelation$Last
3b787b86b7f8cbde    6 of  10   androidx/compose/ui/focus/FocusStateImpl$WhenMappings
7c876016e87543fb  282 of 1759   kotlinx/coroutines/channels/BufferedChannel
5dbb562c735b394d    8 of  61   com/google/android/gms/internal/cast/zzwa
a931ee6f9c65cf84    6 of  39   androidx/compose/ui/text/font/FontWeight$Companion
7d7f76c48c6bea0d    3 of   6   kotlinx/coroutines/android/AndroidDispatcherFactory
67daae5edb4d6b75    2 of   9   com/google/android/datatransport/runtime/logging/Logging
dde81b67070dd90a    5 of  12   androidx/compose/ui/platform/InspectableValueKt
0de5fdbb9e357d40    2 of   7   androidx/mediarouter/media/MediaRouteProviderProtocol
e156437edacff06d    2 of   4   androidx/compose/foundation/relocation/BringIntoViewRequester
5869735fa5ac5512    2 of   4   androidx/compose/ui/node/ComposeUiNode$Companion$VirtualConstructor$1
609d7a3a5745e64b   19 of  24   androidx/compose/ui/draw/CacheDrawModifierNodeImpl
81db111021026030    3 of  12   androidx/compose/ui/platform/coreshims/ViewCompatShims
420ade18738f526b    2 of   2   leakcanary/AndroidLeakFixes$Companion$onEachIdle$1$1
57b6e0a564e6529e   64 of 184   androidx/compose/material/ButtonKt
79ed77f7c26725ee    1 of   1   com/google/android/gms/internal/cast/zzhq
da7d5e6c73bca5f9    1 of   9   com/google/firebase/encoders/json/JsonDataEncoderBuilder$1
dbb2a4aa26f2bcd2    2 of   3   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper_API19
7e9aa68b5d55ea7a   11 of  21   androidx/appcompat/widget/AppCompatDrawableManager
16e5f154ad81d0c3    3 of   5   androidx/compose/ui/text/font/AndroidFontResolveInterceptor_androidKt
dbabde694b4b4862    1 of   3   kotlinx/coroutines/flow/StartedLazily
713e1ed05f47d29b    8 of   8   io/ktor/client/HttpClientConfig$install$3
0638e7bd5ac5d038    3 of   8   kotlinx/coroutines/BuildersKt
736d63ad65d439dd   11 of  30   curtains/internal/WindowCallbackWrapper$Companion
4fa615160f676881    9 of   9   io/ktor/client/features/HttpSend$Feature
233133b07f417d70    8 of  27   androidx/compose/ui/node/NodeMeasuringIntrinsics
20f02d0df96842e5   22 of  89   com/google/android/gms/common/GoogleSignatureVerifier
cdef18343d8962ca    1 of   3   leakcanary/internal/HeapDumpTrigger$scheduleDismissRetainedCountNotification$1
5791871f86e8ac52   52 of  53   androidx/compose/foundation/text/KeyCommand
16aec85c296fe3c6    2 of  13   androidx/compose/ui/semantics/SemanticsPropertiesKt$ActionPropertyKey$1
47e51b26664a3b44    4 of   4   androidx/compose/ui/layout/BeyondBoundsLayoutKt$ModifierLocalBeyondBoundsLayout$1
a16d2aaebf315cc8   17 of 163   androidx/fragment/app/FragmentManagerViewModel
13ef6abfa05b66a5   24 of  60   org/jellyfin/mobile/data/JellyfinDatabase_Impl
b26c70e399c10bcf    2 of   4   androidx/compose/ui/node/ComposeUiNode$Companion$SetLayoutDirection$1
0279f8f936ec9499    1 of   3   shark/AndroidObjectInspectors$STUB
9523fbdaf3361a66   12 of  18   kotlinx/coroutines/flow/AbstractFlow
f5789f7460537045   44 of  53   androidx/compose/material/SurfaceKt$Surface$1
5a7c24bdd84ff97e    2 of   9   shark/AndroidReferenceMatchers$WINDOW_ON_BACK_INVOKED_DISPATCHER__STUB$add$1
745499569eb0e1a5    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
73fc166e1cdf59a1    1 of   5   kotlin/TuplesKt
e1323ee422b7e63e  211 of 326   org/jellyfin/mobile/app/AppModuleKt
dc20af665b298fe9    1 of   3   androidx/compose/foundation/text/CoreTextFieldKt$CoreTextField$pointerModifier$1
fd97f7c967e55610   10 of  52   androidx/collection/ScatterMapKt
4ce5048c2cb8e1e4    2 of   2   com/google/android/datatransport/runtime/scheduling/persistence/PersistedEvent
42ba381793033cfb    2 of   4   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$LocalContext$1
5132bfd32fb0edf3    3 of  18   androidx/compose/ui/platform/AndroidAccessibilityManager
4ccf3e732cf41461   34 of 213   leakcanary/internal/navigation/NavigatingActivity
53ba5156223131c0    3 of   6   androidx/compose/ui/graphics/FilterQuality$Companion
72834b26682c1aa2    3 of   4   org/koin/core/registry/ScopeRegistry$Companion
7bae7f13264b2fcd    5 of   5   leakcanary/internal/ViewModelClearedWatcher$Companion
316337b161e4dac1   11 of  42   androidx/compose/ui/draw/ShadowKt
121ade31b703eb8c    1 of  13   androidx/compose/foundation/gestures/AbstractDraggableNode$pointerInputNode$1
