[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Open-Food-Facts-_v3.10.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
c8d2065704f1b78e    2 of   2   openfoodfacts/github/scrachx/openfood/models/entities/label/LabelsWrapper
784b976f51b809e6    2 of   7   com/squareup/picasso/PicassoProvider
aec6c7fcdabd9b16    7 of  29   androidx/room/util/StringUtil
56c9d1ea531964da    1 of   5   openfoodfacts/github/scrachx/openfood/features/product/view/environment/EnvironmentProductViewModel_HiltModules_KeyModule_ProvideFactory
749ded2449585593    5 of  54   retrofit2/Response
0f2f8b4672636ee2    8 of  51   kotlin/reflect/jvm/internal/KPropertyImpl
dfb5a4c97c0cc590   23 of 269   kotlin/collections/MapsKt__MapsKt
c79f88a05e16ec45   12 of  50   okhttp3/MediaType
bc2753ae5c5a16ef    1 of  14   androidx/work/impl/constraints/controllers/NetworkConnectedController
53b5eb5830d940e8    2 of   4   com/google/mlkit/common/internal/zzf
74459c7771d208ec    6 of   7   androidx/work/impl/WorkDatabase$2
8c68f9659bba463b    4 of   5   okhttp3/internal/connection/RouteDatabase
79c33606f36a5111    5 of  22   androidx/work/WorkerFactory
42a5dbdcdc01c35d    2 of   4   kotlinx/coroutines/InvokeOnCancel
795e9604ad6b8dea    9 of  11   okhttp3/ResponseBody$BomAwareReader
4bf0e5863a982fda    3 of   5   openfoodfacts/github/scrachx/openfood/AppFlavor$Companion
3f61ee6f1dce1027   14 of  18   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Api23Impl
03aef04e1d5e6c16    4 of  38   com/fasterxml/jackson/databind/ser/std/NumberSerializer
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
5989f896c5aa7eae   10 of 581   com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector
b19ebf14619b9c23    3 of   3   com/fasterxml/jackson/core/sym/CharsToNameCanonicalizer$TableInfo
d9f89462fb55d13d    4 of  10   androidx/collection/ArraySet$1
93ffdd5fb016bc8b    1 of   3   com/fasterxml/jackson/module/kotlin/PackageVersion
c64b61fd45244114    7 of  20   openfoodfacts/github/scrachx/openfood/utils/DeserializerHelper
57dde82de35b27e0    2 of   2   kotlin/coroutines/ContinuationInterceptor$Key
