[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Aegis-_v3.4.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
04b9881494a4f24b    9 of  10   com/beemdevelopment/aegis/AccountNamePosition
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
0fe7c904423e1699   81 of 122   kotlin/jvm/internal/ClassReference
0187454b6c9ad210    3 of  20   com/bumptech/glide/load/Options
48171cdf1b67fde9    4 of   4   androidx/constraintlayout/core/Cache
6e32b3f30ece2143    1 of   3   androidx/appcompat/widget/SearchView$9
d04292b867f10f5a    8 of  14   androidx/lifecycle/DefaultLifecycleObserverAdapter
e20f9f60f103de3a    5 of   7   kotlin/coroutines/AbstractCoroutineContextElement
fb74b7fc324f849f    7 of   9   com/bumptech/glide/Priority
5ae75c3a23003f84    2 of  23   kotlin/enums/EnumEntriesList
cb06bdf6d7fe3b57    2 of   7   androidx/viewpager2/widget/ViewPager2$DataSetChangeObserver
6528da126dd838b9    4 of  41   com/bumptech/glide/util/LruCache
749449a87d077a66    1 of   5   androidx/appcompat/widget/SearchView$3
48ccc74199b01c63   11 of  26   androidx/lifecycle/Lifecycle$Event$Companion
b2ee4e2030eed67e   20 of 266   androidx/room/TriggerBasedInvalidationTracker
c82a2c891b9c9560    5 of  21   com/google/android/material/appbar/AppBarLayout$Behavior
b2e9e48e6748534d    1 of   2   com/bumptech/glide/load/engine/executor/GlideExecutor$UncaughtThrowableStrategy$1
57c5fcb34f38ae2d   34 of 126   androidx/activity/OnBackPressedDispatcher
9f090a337592bacc    1 of   6   androidx/coordinatorlayout/widget/CoordinatorLayout$ViewElevationComparator
3578f9a835decb66    8 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
474c16c8faec8102    6 of   6   com/beemdevelopment/aegis/DaggerAegisApplication_HiltComponents_SingletonC$ActivityCBuilder
fd261295c2d65709    1 of   3   com/bumptech/glide/load/engine/Engine$DecodeJobFactory$1
676e047d2622775d   41 of 171   androidx/viewpager2/widget/ScrollEventAdapter
5fde4b8403509d66   32 of  83   androidx/profileinstaller/ProfileVerifier
7b204e4edf530052    2 of   9   com/google/android/material/shape/ShapePath$LineShadowOperation
5edb51d1e5563833    2 of 274   androidx/savedstate/SavedStateReader
d866053a6843f76e    4 of  25   androidx/emoji2/text/SpannableBuilder$WatcherWrapper
f9e05724321a2ead    2 of   6   kotlinx/coroutines/ExecutorCoroutineDispatcher$Key$1
44531950b367e411    6 of  14   androidx/core/view/ViewCompat$Api21Impl$1
1783633e025bbc9f    1 of   7   androidx/appcompat/widget/Toolbar$SavedState$1
77f2d303ea884c05    3 of   6   androidx/room/driver/SupportSQLiteDriver
7668445e895be910    8 of  13   androidx/recyclerview/widget/OrientationHelper
6142c06f0e25b577    1 of  15   com/bumptech/glide/load/engine/DiskCacheStrategy$5
4cabf1ef92aff56b    2 of  16   androidx/core/view/WindowInsetsCompat$Impl28
1147e23856ad9756    2 of  13   com/bumptech/glide/load/engine/bitmap_recycle/GroupedLinkedMap$LinkedEntry
b44b9cb5497d2306   18 of  96   kotlinx/coroutines/flow/StateFlowImpl
6d701b00b7c8ab3e    1 of   5   androidx/collection/internal/Lock
