[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Clock-_1.6.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
ef5202fac46c18ca    3 of  15   kotlin/collections/EmptyIterator
6f4ba9f3ee6a01dd    8 of  10   com/google/gson/ToNumberPolicy
85ca33fd03037424   38 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
cca2d46d218f6853    3 of   3   org/fossify/clock/fragments/TimerFragment$initOrUpdateAdapter$1
07bda96c879db858   70 of 119   com/google/android/material/materialswitch/MaterialSwitch
d32afce360207ef1   11 of  72   com/google/android/material/resources/MaterialResources
3a96b4eb76b4a9d0    2 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
25501530c39b1ae1   11 of  33   com/google/gson/FieldNamingPolicy
3c9fbc3b385561ea   10 of  55   com/google/android/material/motion/MotionUtils
0acf519d5a1fd856   15 of  57   com/google/android/material/shadow/ShadowRenderer
da9c297a5681dc7a  236 of 610   androidx/constraintlayout/widget/ConstraintLayout
66142119002e663e    1 of  64   androidx/recyclerview/widget/ItemTouchHelper$2
f213c95fc5054756    8 of  48   kotlinx/coroutines/UndispatchedCoroutine
d5f727f5b6a17580   13 of  16   org/fossify/clock/helpers/AlarmController$Companion
d19c23ec3c5b370f    1 of  11   com/google/gson/Gson$1
efcc740e76ae9c49    1 of  10   androidx/fragment/app/FragmentManager$9
595a534fad2ca61e    2 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
e8c268b05098b1cd   10 of  10   com/google/android/material/shape/ShapePath$PathLineOperation
ed1d81202a7d0769    3 of   4   androidx/fragment/app/strictmode/WrongFragmentContainerViolation
e1477e06f0242e4f    6 of   8   com/google/gson/LongSerializationPolicy
b389eab307bd77a9   53 of 111   androidx/appcompat/view/SupportMenuInflater$MenuState
dcfc2e0aea9c3144   14 of  56   org/fossify/clock/adapters/ViewPagerAdapter
5c8c801e209a8538    3 of  11   kotlinx/coroutines/scheduling/DefaultScheduler
317987d5f15bfec5   19 of  38   org/greenrobot/eventbus/SubscriberMethodFinder$FindState
a3ce93da1a765b54    1 of   3   org/fossify/commons/helpers/BaseConfig$colorPickerRecentColorsFlow$1
82bdf917ab2f91bd    2 of  11   androidx/lifecycle/ViewTreeViewModelStoreOwner
f621a462a406177d    2 of   5   com/google/gson/internal/bind/DefaultDateTypeAdapter$DateType
96204eef6789067f    3 of   5   androidx/room/util/SQLiteStatementUtil
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
a428ae983e956d67    2 of  30   kotlin/jvm/internal/CallableReference
5ae33e6d3ba1366c    9 of  59   kotlinx/coroutines/android/HandlerDispatcherKt
581e8bc114164e8e   18 of  58   kotlin/jvm/internal/ClassReference
8c63b69dc60a9db8    7 of  15   androidx/emoji2/viewsintegration/EmojiTransformationMethod
6001310f01ed21ad    2 of   7   kotlin/coroutines/jvm/internal/CompletedContinuation
7dda123f43f16544    1 of  22   androidx/fragment/app/FragmentManager$FragmentIntentSenderContract
535fe159ad8726d0    1 of   2   androidx/activity/result/contract/ActivityResultContract
cbdb69dd699862cf   27 of  57   com/google/android/material/internal/ThemeEnforcement
f0536bd6b2c44810   11 of  13   androidx/fragment/app/strictmode/FragmentStrictMode$Flag
e73822da527806ce    4 of  19   kotlinx/coroutines/internal/MainDispatchersKt
ac1a94e9172c268a    6 of 187   org/fossify/commons/extensions/Activity_themesKt
362cb7cec000d0b4   26 of 119   com/google/android/material/drawable/DrawableUtils
618b4ccc3885a494    1 of   7   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal
9696c03dabb2f44f    5 of   8   androidx/room/coroutines/PassthroughConnection$WhenMappings
97a264e5557eb761    7 of   8   androidx/lifecycle/LifecycleDispatcher
3e75bcba72e6a971    2 of   2   androidx/room/BaseRoomConnectionManager$Companion
5d7b89320771fa63    2 of   2   kotlinx/coroutines/Job$Key
414f09936beb426c   20 of  27   androidx/coordinatorlayout/widget/ViewGroupUtils
ac5e88dca04a9d97    3 of  53   androidx/core/os/BundleKt
e33cf84b79ca53e2    7 of  51   androidx/coordinatorlayout/widget/CoordinatorLayout$Behavior
9a6dfaf2d8b46974    3 of   3   kotlinx/coroutines/scheduling/NanoTimeSource
e943a060f58975cb   17 of 111   org/fossify/commons/extensions/IntKt
87154da547c33410    4 of   5   kotlin/sequences/GeneratorSequence
3b9bc0ca3793e5a6   14 of  22   androidx/lifecycle/Lifecycle$Event
2f8f15eeccffdffa    3 of   3   org/fossify/commons/extensions/ArrayListKt
24fcd0a7fb3f7e02    2 of   2   org/fossify/commons/extensions/ViewPagerKt
018cfe2da995975e    2 of   6   org/fossify/commons/views/MyRecyclerView$gestureListener$1
710b22e4426358e2    5 of  17   kotlinx/coroutines/internal/ConcurrentKt
a940726f4f5c4503    1 of   3   androidx/appcompat/widget/ActionMenuView$ActionMenuPresenterCallback
ab0a43afb16be0bc   21 of  65   kotlinx/coroutines/intrinsics/UndispatchedKt
b4acf6e1f5d626ee   12 of  41   androidx/fragment/app/SpecialEffectsController$Operation$State
6006dd3e388494ca    2 of   7   kotlinx/coroutines/Unconfined
23e14be7eae27393    1 of   5   androidx/recyclerview/widget/LinearLayoutManager$SavedState$1
804ec0cefdca9430    1 of  36   kotlin/collections/AbstractCollection
a379bbc2e3c40205    2 of  11   org/fossify/commons/adapters/MyRecyclerViewAdapter$setupDragListener$1
a83c9087e7d10617   62 of 136   org/fossify/clock/helpers/DBHelper
f29ae346c83a409b    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
077692bcfd3fc18a    2 of  14   kotlinx/coroutines/CoroutineName
76de7532fd56f73a   11 of  20   androidx/constraintlayout/core/widgets/ConstraintWidget$1
5893e13abb864bae    3 of  24   androidx/core/os/BundleCompat
91e24d2cec592915    1 of   6   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton$1
8db12c2cb5c065d8  437 of 1652   androidx/constraintlayout/core/widgets/ConstraintWidget
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
482b054e11f4fd1b   13 of 127   kotlin/jvm/internal/Intrinsics
205da1849992f9c0    6 of  29   androidx/core/view/WindowInsetsControllerCompat
8bbc20c2f9b52346    9 of  16   androidx/lifecycle/DefaultLifecycleObserverAdapter$WhenMappings
656ed771b6f8c56a    3 of  35   kotlin/jvm/internal/PropertyReference
8e3d3c6d780e73d3    4 of  28   kotlin/collections/EmptySet
028eb6a418e3cd47   40 of  68   com/google/android/material/appbar/HeaderScrollingViewBehavior
5938e0a6eb00ab11   14 of  25   kotlinx/coroutines/AbstractCoroutine
067787285590155f   37 of  73   androidx/sqlite/driver/SupportSQLiteStatement$Companion
cd08715560f3ad3d   10 of  15   androidx/recyclerview/widget/ListAdapter
ee2c0371950dd1c4    6 of  10   kotlinx/coroutines/CoroutineStart$WhenMappings
3b34e9477ddfa639    2 of  11   androidx/core/view/WindowInsetsCompat$BuilderImpl30
83f8f600ef115373   14 of  52   androidx/fragment/app/FragmentController
4a205c027477b3ce    1 of  16   androidx/fragment/app/FragmentManager$10
e1f6e446da979687  126 of 311   androidx/constraintlayout/core/ArrayRow
029b812baa3f982e    5 of  32   org/greenrobot/eventbus/EventBusBuilder
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
939412c13069609a    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
7627f9f3d8a206de    2 of  18   kotlin/internal/PlatformImplementations
1416e50ace832637   10 of  50   com/google/gson/internal/bind/JsonAdapterAnnotationTypeAdapterFactory
6f2fdef04269fa18    5 of   6   androidx/lifecycle/ProcessLifecycleOwner$Companion
6142724800036ab9    8 of  15   kotlinx/coroutines/scheduling/TasksKt
27b37ff40ee31f16    2 of   3   androidx/appcompat/content/res/AppCompatResources
bc63e7504791a511    8 of  10   org/fossify/commons/FossifyApp
c19bc23b82daa8ce   10 of  60   androidx/core/os/LocaleListCompat
e1f2a0dcbb88531c    2 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
0e4e07d1dff72fd4   11 of 334   kotlin/text/StringsKt__StringsJVMKt
4350dbcb24ec95c9   65 of 108   com/google/android/material/shape/ShapeAppearanceModel$Builder
e0a37616222c5526    2 of   2   androidx/recyclerview/widget/DiffUtil$ItemCallback
0b11eb4c7a6113fc    1 of  34   androidx/viewpager/widget/ViewPager$MyAccessibilityDelegate
35207199bd8790fb    8 of  10   androidx/lifecycle/LifecycleRegistry$Companion
2bd04fda763893f7    6 of  28   androidx/recyclerview/widget/BatchingListUpdateCallback
f96207ce68681f02    1 of   1   androidx/customview/view/AbsSavedState$1
df971add4e637af9   29 of  90   androidx/lifecycle/Lifecycling
fb2b9eb4a5eef9a3    3 of  22   kotlin/Pair
092cd20fac31b6c7  107 of 208   androidx/fragment/app/SpecialEffectsController
bfc3416d927b5d03   24 of  44   androidx/lifecycle/ProcessLifecycleOwner
b301aac85783bf9c    2 of  23   androidx/collection/internal/LruHashMap
8543b523852b1c92    1 of   2   com/google/gson/internal/bind/DefaultDateTypeAdapter$DateType$1
70aefaed86624df8    6 of  10   androidx/constraintlayout/widget/ConstraintLayout$1
