[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Kore-_v3.1.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
21c7fbbd2d6c8c5d   18 of  48   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal19
ceec65d9bcb6d421    4 of  16   androidx/emoji2/text/DefaultGlyphChecker
89b917f53796c3d0    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
f96207ce68681f02    1 of   1   androidx/customview/view/AbsSavedState$1
497ca26a9b6d5c88    1 of   2   kotlin/collections/ArraysUtilJVM
79195bf2c8f12c89   13 of  14   androidx/emoji2/text/EmojiCompatInitializer
f41c8eb7373ac136    1 of   2   androidx/activity/result/contract/ActivityResultContract
a0021914c79f10d5    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$Listener
2a234072695ba7f8    1 of   2   androidx/appcompat/widget/TintInfo
0aadaef98c4393c6   13 of  21   androidx/appcompat/widget/AppCompatDrawableManager
84f1db4d146eb4a5   30 of  73   androidx/arch/core/internal/SafeIterableMap
8d49ac84b88bd94c    9 of   9   androidx/fragment/app/SpecialEffectsController$Companion
459e8cccd64ccae1    1 of  22   androidx/profileinstaller/ProfileInstaller$2
5dd9e0bdb2f6e598    7 of  18   androidx/emoji2/viewsintegration/EmojiTextViewHelper$SkippingHelper19
985365ec685bb9a0    7 of  15   androidx/emoji2/viewsintegration/EmojiTransformationMethod
babdda692d9e5569    1 of   1   androidx/lifecycle/SavedStateHandleSupport$VIEW_MODEL_STORE_OWNER_KEY$1
7d42a727a12f3754    5 of   5   androidx/appcompat/widget/ResourceManagerInternal$ColorFilterLruCache
82b08eeb8d588c39    4 of  56   org/xbmc/kore/Settings
76e7f9b7a9e7694c   75 of 121   kotlin/jvm/internal/ClassReference
b09d80d4560cb180  171 of 757   androidx/fragment/app/Fragment
e656fb338fb50370    7 of 109   com/google/android/material/internal/ViewUtils
e5679b9ed2ec91a7   57 of  96   androidx/core/content/res/ColorStateListInflaterCompat
a4fea270dae2312e   34 of 330   kotlin/collections/ArrayDeque
83f8f600ef115373   15 of  52   androidx/fragment/app/FragmentController
98a35e5a90757804    3 of   4   com/google/android/material/shape/RoundedCornerTreatment
e4297ca781b1e21c   10 of 266   androidx/collection/SimpleArrayMap
