[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Vinyl-Music-Player-_1.11.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
7fc63d8d5bcce0f1    1 of   1   com/poupa/vinylmusicplayer/helper/MusicPlayerRemote$ServiceToken
d48ae7f1e6751476   52 of 138   androidx/core/content/res/ResourcesCompat
57f8dae4f0efb48f    5 of  71   androidx/media/MediaBrowserServiceCompat$MediaBrowserServiceImplApi21
7e28094b23bfc5a1   15 of  59   androidx/recyclerview/widget/SimpleItemAnimator
f27e24e945c6aad5  470 of 2299   androidx/recyclerview/widget/RecyclerView
f42c472aea5628d4    6 of 140   com/h6ah4i/android/widget/advrecyclerview/swipeable/SwipeableItemWrapperAdapter
b52e0ffe3e343563    3 of  10   androidx/activity/ComponentActivity$2
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
3c1341c682548e08    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
482b054e11f4fd1b    9 of 127   kotlin/jvm/internal/Intrinsics
a2c964bc986a7793   10 of  10   me/zhanghai/android/materialprogressbar/BasePaintDrawable
753a775dbf9e6c69   18 of  85   androidx/cardview/widget/RoundRectDrawable
ae268dc3c73b0d4f   41 of  98   androidx/lifecycle/LiveData
df60e8640de6bb70   39 of  69   com/google/android/material/appbar/HeaderScrollingViewBehavior
b52b891780278d88    1 of   4   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigHelper
1fa492162a04262f   18 of  48   androidx/lifecycle/SavedStateHandleSupport
7c35993573ecf776    3 of  13   androidx/core/util/ObjectsCompat
6624b1fa6af3b4b7    2 of  55   androidx/drawerlayout/widget/DrawerLayout$AccessibilityDelegate
958c6af3086d2688    4 of   6   androidx/recyclerview/widget/RecyclerView$Adapter$StateRestorationPolicy
5f10f9cc10ddaf9d   10 of 120   com/google/android/material/drawable/DrawableUtils
490a7777b937ceea   23 of  37   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/library/pager/AlbumsFragment
a5f7be8a9e0a34d6    3 of  18   androidx/appcompat/app/AppLocalesStorageHelper$SerialExecutor
dadaebba634ecb8d    7 of  18   com/poupa/vinylmusicplayer/ui/fragments/AbsMusicServiceFragment
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
fcacac7cc0132973  204 of 614   com/heinrichreimersoftware/materialintro/app/IntroActivity
1cdf2bda0aa17c15    9 of  68   com/google/android/material/resources/MaterialResources
9b1127c3bc82e1e4   74 of 140   com/simplecityapps/recyclerview_fastscroll/views/FastScroller
5b404f74a29f4f1c  216 of 598   androidx/constraintlayout/widget/ConstraintLayout
56683e5d5d308cbd    6 of  58   androidx/appcompat/widget/AppCompatProgressBarHelper
e1f2a0dcbb88531c    3 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
6acf844af27a9d45    1 of   4   com/h6ah4i/android/widget/advrecyclerview/touchguard/RecyclerViewTouchActionGuardManager$1
766bf04e89174e8e    3 of   3   androidx/fragment/app/strictmode/SetRetainInstanceUsageViolation
9f05ab3884b22931    7 of 149   android/support/v4/media/session/MediaControllerCompat$MediaControllerImplApi21
c48cf88e0cedb150  128 of 461   androidx/fragment/app/FragmentStateManager
be77cc7ddfa1a414    2 of   6   com/google/android/material/tabs/TabLayout$AdapterChangeListener
1806e6dcfbde84c4    8 of  20   kotlin/SynchronizedLazyImpl
0b11eb4c7a6113fc    1 of  34   androidx/viewpager/widget/ViewPager$MyAccessibilityDelegate
a48422bf0fed1817    6 of  84   com/h6ah4i/android/widget/advrecyclerview/animator/impl/BaseItemAnimationManager
79ad483f48c4d897    2 of  10   androidx/media/MediaBrowserServiceCompat$MediaBrowserServiceImplApi21$MediaBrowserServiceApi21
b7f32aee407784af    1 of   4   com/poupa/vinylmusicplayer/misc/SimpleOnSeekbarChangeListener
f96207ce68681f02    1 of   1   androidx/customview/view/AbsSavedState$1
cfb11c032bd929a3    9 of  17   com/poupa/vinylmusicplayer/databinding/SlidingMusicPanelLayoutBinding
8b2c6736a6934b59   16 of  18   com/kabouzeid/appthemehelper/util/ToolbarContentTintHelper$InternalToolbarContentTintUtil$1
d8a50466240fb11f    2 of  25   com/poupa/vinylmusicplayer/model/Genre
82d22166e1e0ab81    9 of  14   kotlin/internal/jdk8/JDK8PlatformImplementations$ReflectSdkVersion
dd58f14c9c2bd9ea    8 of  94   android/support/v4/media/session/MediaSessionCompat$Callback
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
99e728fd317ec1b2    9 of  16   androidx/cardview/widget/CardView$1
3c9ffe1f33792021    3 of  46   kotlin/collections/MapsKt__MapsJVMKt
6f98267c2dd6b5ee  157 of 825   androidx/drawerlayout/widget/DrawerLayout
1a45ea35417e00d2   12 of  87   androidx/core/view/MenuItemCompat
75509c289c411ce5    3 of   4   androidx/fragment/app/strictmode/SetUserVisibleHintViolation
d3c31dfb16937175    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
4c7c7e814e6f854d   10 of  39   androidx/fragment/app/FragmentHostCallback
85a3464a46d73ce1    3 of  41   com/poupa/vinylmusicplayer/util/VinylMusicPlayerColorUtil
89d44ad14d28d7c7   25 of  77   androidx/loader/app/LoaderManagerImpl$LoaderInfo
4bbb39a90f40a4b9   10 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
29668fb4024e0d70    9 of  14   androidx/lifecycle/viewmodel/InitializerViewModelFactory
0dbc002ed767931b    2 of   2   kotlin/collections/ArrayDeque$Companion
6a6be5e39378cd1f   18 of 507   androidx/customview/widget/ViewDragHelper
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
7795a986f6e3e902    2 of   4   androidx/loader/app/LoaderManager
2db88ef50589bf37    6 of  29   com/poupa/vinylmusicplayer/util/ViewUtil
6367de7d7b600789    2 of  18   com/kabouzeid/appthemehelper/util/ViewUtil
3be97e9e17c6d34d    1 of   9   androidx/core/content/ContextCompat$Api26Impl
b1b7bb2fdb4d182b   25 of  55   androidx/appcompat/view/ContextThemeWrapper
d76e91a8eb69e451    3 of  91   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback
46203cad39b37ac0    4 of  10   com/poupa/vinylmusicplayer/util/ComparatorUtil
3cf26d40df848fc9  169 of 341   androidx/fragment/app/SpecialEffectsController
da145824bd088d3d   34 of 158   com/google/android/material/card/MaterialCardView
be5e469d8e0b7ccd    1 of   4   androidx/profileinstaller/ProfileVerifier$CompilationStatus
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
1726abdf7864f69a    3 of   8   com/poupa/vinylmusicplayer/views/WidthFitSquareLayout
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
5dd9e0bdb2f6e598    8 of  18   androidx/emoji2/viewsintegration/EmojiTextViewHelper$SkippingHelper19
89b917f53796c3d0    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
e1e8a4601cc99b4b    2 of  12   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ShadowAnimatorImpl
9615b783342e87b2   12 of  17   com/poupa/vinylmusicplayer/service/notification/IdleNotification
8afdedd67e7d435d   11 of  19   androidx/core/util/Pools$SimplePool
dd896951654bc398    5 of   5   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1$1
ca89d51ac1885417   41 of 786   com/h6ah4i/android/widget/advrecyclerview/draggable/RecyclerViewDragDropManager
995ed34cdfc117de    1 of   2   com/simplecityapps/recyclerview_fastscroll/R$styleable
9025ecef67eab12e    1 of   5   androidx/fragment/app/FragmentTransaction$Op
c1e64ef5378b8296    1 of   2   com/poupa/vinylmusicplayer/adapter/MusicLibraryPagerAdapter$MusicFragments$All
5808e4c040c76e00    9 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
16158f3ec71e743a    1 of   2   androidx/recyclerview/widget/RecyclerView$3
b63285bedf0d8e93    1 of  27   com/sothree/slidinguppanel/ScrollableViewHelper
cc40827d77700b58    1 of   4   com/h6ah4i/android/widget/advrecyclerview/swipeable/RecyclerViewSwipeManager$1
5b21e57ad3e0b7ac  141 of 648   androidx/recyclerview/widget/RecyclerView$LayoutManager
1cf6ed7b8fa08434    7 of  14   androidx/emoji2/viewsintegration/EmojiTextViewHelper
8ec0914ef49d610f    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
edf09fe863777373   32 of  92   com/poupa/vinylmusicplayer/ui/activities/base/AbsMusicServiceActivity
7cbecc82d7bbcd9b   19 of  80   androidx/savedstate/SavedStateRegistry
4636e53b1840b953    2 of   2   androidx/appcompat/app/ToolbarActionBar$1
4a84cef768e01eb3    3 of   6   androidx/lifecycle/ViewModelProvider$Factory
59b14964bbbb814e   14 of  22   androidx/lifecycle/ReportFragment$LifecycleCallbacks
