[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Lexica-_v3.13.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
f57636501966034e   39 of  60   com/serwylo/lexica/MainMenuActivity
4fb79ded3125d671   34 of 207   androidx/appcompat/widget/AppCompatTextView
ca502526336af10c    5 of  95   androidx/lifecycle/LiveData
d3043ae010343ec3   19 of  44   androidx/room/InvalidationTracker$1
52da9c5193b88025    2 of   2   com/google/android/material/shape/ShapePath$PathOperation
b8e4fa1303c8f828    5 of  21   androidx/core/app/ComponentActivity
e18e455bd16078ad  118 of 418   androidx/constraintlayout/solver/widgets/ConstraintWidgetContainer
dda643c5857b2a00    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
f9e4d5a61864353c    1 of   5   androidx/arch/core/executor/TaskExecutor
c50767d1e567aeab  178 of 1181   androidx/appcompat/app/AppCompatDelegateImpl
d557c395fdc5241b   94 of 193   androidx/constraintlayout/widget/ConstraintLayout$Measurer
0073ecd170f3af4c   10 of 152   androidx/appcompat/widget/AppCompatDrawableManager$1
95a1cf16f6e15948    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
b540adf94e0ef5a9    2 of  13   kotlin/UnsafeLazyImpl
7f16bc4a0cbb14f8   11 of  27   androidx/room/Room
c5bf980c3bace93f   16 of 209   androidx/fragment/app/FragmentStore
210dfdaa53f56070    4 of  57   androidx/collection/MapCollections
2ebc879cdd090b0b   12 of  49   androidx/room/RoomDatabase$MigrationContainer
3ac89e0387d30e3a   46 of  56   com/serwylo/lexica/lang/PortugueseBR
e4297ca781b1e21c    7 of 266   androidx/collection/SimpleArrayMap
caff9d3b8f0e49ef   27 of  71   androidx/room/RoomOpenHelper
c2025f7e6e9038ca    6 of  54   androidx/appcompat/widget/TintContextWrapper
754cd3e81a7641f4    5 of  20   kotlin/SynchronizedLazyImpl
9b1c07b8c992c81f   31 of  39   com/serwylo/lexica/lang/Turkish
3f3fbb1a597b1874    1 of  16   androidx/fragment/app/FragmentManager$11
b3577de5ee4cfbd2   15 of  27   androidx/lifecycle/Lifecycle$1
2997d8d722a42ac9    2 of  14   com/serwylo/lexica/db/migration/MigrateHighScoresFromPreferences$Companion
71734812133fd36e   10 of 117   androidx/core/graphics/drawable/DrawableCompat
41bd814bb9af1868   30 of  43   com/google/android/material/textview/MaterialTextView
c6026e18fdf740da    3 of  14   androidx/arch/core/internal/SafeIterableMap$Entry
0b9ce4e6eea3d2e1    2 of   4   io/github/tonnyl/whatsnew/util/ItemLayoutOption
7d30159a6b9c2c0f    3 of  10   androidx/activity/ComponentActivity$3
542e86c004e7e332    1 of  10   com/google/android/material/shape/RelativeCornerSize
9a0f96cc050b7af4   36 of  43   com/serwylo/lexica/lang/GermanDe
dd85e22e0fce9f5b    5 of   8   androidx/appcompat/app/AppCompatDelegateImpl$2
f78f44477cb8c44e    8 of 650   androidx/constraintlayout/solver/widgets/analyzer/DependencyGraph
fd32d0a12b4f2fe3    5 of  14   androidx/appcompat/widget/VectorEnabledTintResources
26dd1783b64dfa53    1 of   2   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper$1
50f4443c14f5f37c    4 of  24   androidx/savedstate/Recreator
df5f4b7960550d31    5 of   8   androidx/viewbinding/ViewBindings
909b3a99493f567a    5 of  12   androidx/lifecycle/ViewModelStore
6bf0cbca0bbeaac3    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
37d773176a1ab792   21 of 110   androidx/activity/result/ActivityResultRegistry
204c3b55c648ac18    1 of   9   androidx/appcompat/app/AppCompatDelegateImpl$3
bd3d231bbb44602f   28 of  38   com/serwylo/lexica/lang/FrenchNoDiacritics
d360706bfceec6a8    5 of  11   com/serwylo/lexica/view/ThemeProperties$BoardProperties$TileProperties
938718757189cd36    1 of   4   io/github/tonnyl/whatsnew/WhatsNew$mItems$2
76c3037cf8954865    2 of   2   com/serwylo/lexica/db/migration/Migration_1_2_RecordWhetherSelectedWordsAreWords$Companion
435b571941265634    1 of  31   androidx/activity/ComponentActivity$2
e19d04c00ab3febf    9 of  17   androidx/room/RoomDatabase$JournalMode
1cc5862229a50817    5 of  31   com/serwylo/lexica/lang/LanguageLabel
bf7686dd18cad236    2 of  33   androidx/core/view/ViewCompat$AccessibilityPaneVisibilityManager
2e4c2ea1d2509bea    3 of  25   com/serwylo/lexica/db/SelectedWordDao_Impl
5f35ef0df930485f    1 of  10   androidx/lifecycle/ViewTreeLifecycleOwner
4d95c1e799ec42c6   16 of  29   androidx/constraintlayout/solver/widgets/ConstraintWidget$1
6a97f4c3950d5003    1 of   6   androidx/room/RoomOpenHelper$Delegate
e53366e034741afd    3 of   4   com/google/android/material/shape/MaterialShapeDrawable$2
9a23b0894d8c8e7d    6 of   7   kotlin/LazyThreadSafetyMode
99c34bb587b40c9e   52 of  53   androidx/constraintlayout/widget/ConstraintLayout$LayoutParams$Table
86c6e1dac04fb40e  125 of 309   androidx/constraintlayout/solver/ArrayRow
125e8ad1d9e05231    2 of   2   androidx/core/content/res/ResourcesCompat$FontCallback$2
bb6bb407658ea7bd   11 of  20   com/serwylo/lexica/ThemeManager
7def1dc6de654b2c    2 of   2   androidx/arch/core/executor/ArchTaskExecutor$2
b33c146dcde30fd2    1 of  17   androidx/fragment/app/DialogFragment$4
b44ba09eaf9ff429    1 of   2   com/serwylo/lexica/db/ResultDao_Impl$2
bef856fc6fef368d    3 of   4   androidx/constraintlayout/solver/widgets/ConstraintAnchor$Type
88532ee354a81770   10 of  10   com/serwylo/lexica/db/GameMode$Type
1d5f283b79bd85b0   28 of 865   androidx/core/view/ViewCompat
c73f186f85d079e9    1 of   4   com/serwylo/lexica/db/GameModeDao_Impl$2
b58653673f4f4ac4    1 of  13   com/serwylo/lexica/db/SelectedWordDao_Impl$1
3e08f6b36ef03325   15 of  43   com/google/android/material/shadow/ShadowRenderer
c06cd25eec69192b   63 of 174   com/google/android/material/button/MaterialButtonHelper
ab3ecb1a7dbd54e8   16 of  29   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
