[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
996404961737c8a3    6 of   7   io/reactivex/internal/schedulers/NewThreadScheduler
3578f9a835decb66   18 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
d6193b1237f77890    1 of   3   io/reactivex/internal/subscriptions/BasicIntQueueSubscription
f96cdca83911eeba    4 of  41   androidx/core/os/TraceCompat
6b7abd08e162257f   20 of 707   org/apache/commons/io/FileUtils
8178aa1930658974  163 of 324   com/google/android/material/navigation/NavigationView
3bb3e7a873339d59    7 of  83   androidx/recyclerview/selection/MouseInputHandler
d866053a6843f76e    4 of  25   androidx/emoji2/text/SpannableBuilder$WatcherWrapper
bd007772affee7fe    3 of  24   org/libtorrent4j/swig/peer_snubbed_alert
152a06468f5dee43    3 of   5   io/reactivex/disposables/ActionDisposable
a63edab5420b9cf6    1 of   2   org/libtorrent4j/alerts/Alerts$7
a1ef14d21de44aa1    1 of   2   androidx/core/R$styleable
6dea70c7957dca28    4 of  15   io/reactivex/internal/operators/observable/ObservableFromIterable
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
c88e239166b58f3a    1 of   6   androidx/recyclerview/selection/BandPredicate
73a7fb15dd8217aa    2 of  13   kotlinx/coroutines/CoroutineDispatcher
6bd21d5bfb122f00    3 of  24   org/libtorrent4j/swig/dht_bootstrap_alert
cb7195a87c19705f    4 of   8   androidx/activity/ComponentActivity$6
c2c4bd974ccf613f    1 of   4   net/cachapa/expandablelayout/util/LookupTableInterpolator
f433264622fbe228   18 of  51   io/reactivex/internal/schedulers/ExecutorScheduler$ExecutorWorker
844d8bba4c8d81d2    2 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
d98a5dfe703236ee   12 of  23   org/libtorrent4j/swig/socket_type_t
5d0cf17fe6ad0875    6 of   7   androidx/work/ConfigurationKt$createDefaultExecutor$factory$1
eafe1f5882ac75a4    2 of   3   androidx/core/view/ViewConfigurationCompat$Api26Impl
ca841f67658b32d8   12 of  27   org/libtorrent4j/swig/listen_succeeded_alert
7b04f606bb6f54dd    1 of  13   org/proninyaroslav/libretorrent/core/model/DownloadsCompletedListener$1
6f97414fcb025768    1 of   2   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback$1
569d10f8bc78b8ae    1 of   4   androidx/core/os/HandlerCompat$Api28Impl
35c427041888e8fb    3 of   3   androidx/activity/ComponentActivity$4
