[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/uhabits-_v2.3.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
f04b450d75f36a10   29 of  64   androidx/appcompat/view/menu/BaseMenuPresenter
09f107e66dffa14f   14 of  52   androidx/fragment/app/FragmentController
844d8bba4c8d81d2    2 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
2e697008d2ec8621    1 of   3   androidx/appcompat/widget/AppCompatTextViewAutoSizeHelper$Impl29
5552c9bd6e0ba048    2 of   3   kotlin/reflect/jvm/internal/KPropertyImpl$Companion
d1a0dd670a387c52    6 of 122   kotlin/reflect/jvm/internal/KCallableImpl
eafe1f5882ac75a4    2 of   3   androidx/core/view/ViewConfigurationCompat$Api26Impl
b75a1dc87d73fd4e   10 of  12   androidx/fragment/app/strictmode/FragmentStrictMode$Flag
35c427041888e8fb    3 of   3   androidx/activity/ComponentActivity$4
9b983dba0e38caac   34 of  65   org/isoron/uhabits/HabitsApplication
bd036b3276e3ea64   13 of  53   androidx/core/view/MenuHostHelper
6c37c9042409538d    1 of   4   androidx/lifecycle/LiveData$1
ab63680a0659d788    2 of 1139   kotlin/collections/ArraysKt___ArraysJvmKt
0b1bcc8ff35b1676    1 of   2   androidx/fragment/app/Fragment$1
72ae18cf966fbeb4    4 of  12   kotlin/coroutines/CoroutineContext$Element$DefaultImpls
699b837d2aa08afc    2 of  12   org/isoron/uhabits/core/models/Timestamp$Companion
21f177d4bbdde743    1 of   2   androidx/fragment/app/FragmentContainer
f26487409a61b5f9   13 of  29   org/isoron/uhabits/utils/StyledResources
e79f5df39c84c455    6 of   9   org/isoron/uhabits/activities/common/views/BundleSavedState
cda3a0e1c95006d5    3 of  18   org/isoron/uhabits/core/io/GenericImporter
ab2706d5d907f63d    4 of   7   kotlinx/coroutines/CoroutineDispatcher$Key
dbebfb9ce67dacd2    1 of   4   androidx/core/content/ContextCompat$Api23Impl
b56bfcccb0026b7c    5 of  53   androidx/activity/FullyDrawnReporter
fff16d2eca779274    2 of   6   org/isoron/uhabits/activities/habits/list/views/NumberPanelViewFactory
