[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ownCloud-_v4.4.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
79386e28acbd29c7    1 of  69   com/owncloud/android/data/spaces/db/SpacesDao_Impl$5
3de9c1aa18ec56c4    1 of  10   androidx/fragment/app/FragmentManager$8
4e07530921555e37   23 of 100   kotlinx/coroutines/internal/LockFreeTaskQueueCore
641b3abbe96a75a6    5 of   5   com/owncloud/android/dependecyinjection/CommonModuleKt$commonModule$1$8
3ce540d470caae96    2 of  11   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion
070df74e5ef1dcc3    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuHeaderItem
b4a270a6145a822c    2 of  27   androidx/room/EntityDeletionOrUpdateAdapter
487eeb776917086d    5 of   5   com/owncloud/android/dependecyinjection/UseCaseModuleKt$useCaseModule$1$invoke$$inlined$factoryOf$default$26
8a678778153bea57    1 of   5   androidx/appcompat/widget/SearchView$2
d36b2b6147b48dca    3 of  12   com/owncloud/android/domain/files/usecases/ManageDeepLinkUseCase
644454c6332f81db    7 of  32   kotlinx/coroutines/intrinsics/CancellableKt
76b6204e9339f7bb    2 of  78   com/google/android/material/internal/StaticLayoutBuilderCompat
05d2ab1c80560c18    4 of  42   androidx/core/content/FileProvider$SimplePathStrategy
c66b0f39391f22cd   13 of  18   kotlin/coroutines/jvm/internal/ContinuationImpl
6412d18db9453e59    5 of   5   com/owncloud/android/dependecyinjection/LocalDataSourceModuleKt$localDataSourceModule$1$invoke$$inlined$factoryOf$default$5
20f1a8eebdd6074a    3 of  65   com/owncloud/android/data/transfers/datasources/implementation/OCLocalTransferDataSource
a0ad934393dfd2bf    5 of   7   androidx/emoji2/text/EmojiCompatInitializer$LoadEmojiCompatRunnable
905e88b691c92baf    3 of   8   androidx/core/view/ViewCompat$Api23Impl
a2afdb6ba6b57de1  162 of 423   com/google/android/material/shape/MaterialShapeDrawable
1f1a578a0db727b6   13 of  49   com/facebook/stetho/server/LocalSocketServer
bf5e29d5fca938b3   10 of  37   org/koin/core/KoinApplication
82886ebf41506ffe    3 of 321   androidx/constraintlayout/core/state/WidgetFrame
c4580f189570fcac    5 of  37   kotlinx/coroutines/UndispatchedCoroutine
fe29bb1c8c302b9a    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
9235b23f5a13c8b9    7 of  17   kotlinx/coroutines/flow/internal/ChannelFlowTransformLatest$flowCollect$3$1
