[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wallabag-_2.5.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
1806e6dcfbde84c4    9 of  20   kotlin/SynchronizedLazyImpl
0b11eb4c7a6113fc    1 of  34   androidx/viewpager/widget/ViewPager$MyAccessibilityDelegate
6f48603953e84d58    3 of   3   fr/gaulupeau/apps/Poche/ui/ArticleListsFragment$2
f96207ce68681f02    1 of   1   androidx/customview/view/AbsSavedState$1
e425d482bb7ee217    3 of  13   fr/gaulupeau/apps/Poche/ui/preferences/FloatEditTextPreference
28233a4a54c43f7d    4 of 1097   kotlin/collections/ArraysKt___ArraysJvmKt
28ced4daf7caba0a   10 of  12   androidx/appcompat/app/ActionBarDrawerToggle$ToolbarCompatDelegate
82d22166e1e0ab81    9 of  14   kotlin/internal/jdk8/JDK8PlatformImplementations$ReflectSdkVersion
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
a8977f42cbb475ba   18 of  94   androidx/swiperefreshlayout/widget/CircularProgressDrawable$Ring
6f98267c2dd6b5ee  166 of 825   androidx/drawerlayout/widget/DrawerLayout
1a45ea35417e00d2   12 of  87   androidx/core/view/MenuItemCompat
d3c31dfb16937175    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
64dbe736f8c25ac5   56 of 272   fr/gaulupeau/apps/Poche/data/Settings
4bbb39a90f40a4b9   10 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
29668fb4024e0d70    9 of  14   androidx/lifecycle/viewmodel/InitializerViewModelFactory
6a6be5e39378cd1f   15 of 507   androidx/customview/widget/ViewDragHelper
995a2f2c10e34765    4 of  25   androidx/emoji2/text/EmojiCompat$CompatInternal19
610115570643abe0   41 of 355   androidx/fragment/app/BackStackRecord
b1b7bb2fdb4d182b   29 of  55   androidx/appcompat/view/ContextThemeWrapper
d76e91a8eb69e451    3 of  91   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback
ee2fe102648091ad  101 of 353   androidx/appcompat/widget/ActionBarOverlayLayout
be5e469d8e0b7ccd    1 of   4   androidx/profileinstaller/ProfileVerifier$CompilationStatus
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
aceff5e69fa624a7    1 of   1   androidx/emoji2/text/EmojiCompat$MetadataRepoLoaderCallback
5dd9e0bdb2f6e598    8 of  18   androidx/emoji2/viewsintegration/EmojiTextViewHelper$SkippingHelper19
89b917f53796c3d0    2 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
dd896951654bc398    5 of   5   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1$1
8afdedd67e7d435d   11 of  19   androidx/core/util/Pools$SimplePool
5808e4c040c76e00   11 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
16158f3ec71e743a    1 of   2   androidx/recyclerview/widget/RecyclerView$3
5b21e57ad3e0b7ac  101 of 648   androidx/recyclerview/widget/RecyclerView$LayoutManager
1cf6ed7b8fa08434    7 of  14   androidx/emoji2/viewsintegration/EmojiTextViewHelper
8ec0914ef49d610f    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
7cbecc82d7bbcd9b   31 of  80   androidx/savedstate/SavedStateRegistry
4636e53b1840b953    2 of   2   androidx/appcompat/app/ToolbarActionBar$1
f67d1fe2c2a13121    4 of   5   com/facebook/stetho/inspector/elements/android/ActivityTracker$AutomaticTracker$AutomaticTrackerICSAndBeyond
4a84cef768e01eb3    3 of   6   androidx/lifecycle/ViewModelProvider$Factory
59b14964bbbb814e   21 of  22   androidx/lifecycle/ReportFragment$LifecycleCallbacks
6d60de30cfa4e6d7   14 of  51   com/google/android/material/ripple/RippleUtils
1856d7b66f1b52d8    3 of  53   org/greenrobot/greendao/AbstractDaoSession
541e2155ca11b57c    2 of   6   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuViewAccessibilityDelegate
12c3edae18eadda0   14 of  58   androidx/appcompat/widget/AppCompatCheckedTextViewHelper
2436556bead5f1a3    6 of 146   androidx/collection/LongSparseArray
4c8980957332a502   37 of  64   org/greenrobot/greendao/internal/DaoConfig
aeb7ddc489b298ee    3 of   5   androidx/appcompat/widget/TooltipCompat
dd999f83641c7c34    1 of  10   com/google/android/material/navigation/NavigationView$1
bec1702e8b3747eb    2 of 172   androidx/core/graphics/ColorUtils
75ad94f961d21ab5   97 of 260   androidx/appcompat/widget/ToolbarWidgetWrapper
67855037317944f0    1 of   1   org/greenrobot/eventbus/android/AndroidComponentsImpl
dc3d8b49967e3336   10 of 269   kotlin/collections/MapsKt__MapsKt
6e5f05cfec209d8c    5 of  46   androidx/recyclerview/widget/LinearLayoutManager$AnchorInfo
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
4076384a846a461e    1 of   2   androidx/appcompat/widget/SearchView$SearchAutoComplete$1
fc495ee156cc1e2f    2 of   6   androidx/activity/ViewTreeOnBackPressedDispatcherOwner
abbb5ad27445c77e    1 of   8   androidx/recyclerview/widget/RecyclerView$AdapterDataObserver
d7810a696e18e1a5   17 of  34   com/google/android/material/tabs/TabLayout$TabLayoutOnPageChangeListener
e399ef38cd4bf3b5    9 of  10   fr/gaulupeau/apps/Poche/EventBusIndex
c82a2c891b9c9560    5 of  21   com/google/android/material/appbar/AppBarLayout$Behavior
c76a17886452b6ef    7 of  38   androidx/recyclerview/widget/LinearLayoutManager$LayoutState
f58ae9260ecc5000    1 of   2   androidx/profileinstaller/ProfileInstallerInitializer$Handler28Impl
9f090a337592bacc    1 of   6   androidx/coordinatorlayout/widget/CoordinatorLayout$ViewElevationComparator
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
f96cdca83911eeba    4 of  41   androidx/core/os/TraceCompat
7b204e4edf530052    2 of   9   com/google/android/material/shape/ShapePath$LineShadowOperation
8178aa1930658974  159 of 324   com/google/android/material/navigation/NavigationView
c204cdb3df67aaa2    1 of 113   androidx/appcompat/view/menu/ActionMenuItem
8a678778153bea57    1 of   5   androidx/appcompat/widget/SearchView$2
b2521537b6f56be5    1 of   2   androidx/recyclerview/widget/RecyclerView$EdgeEffectFactory
424a825a09aacbcf   61 of 482   androidx/appcompat/app/WindowDecorActionBar
8fede959487f34b3  125 of 410   androidx/fragment/app/FragmentStateManager
a8f5e83cfcbfee0d    1 of   1   androidx/profileinstaller/ProfileInstallerInitializer$Result
3890e15025e33e5e    4 of 296   fr/gaulupeau/apps/Poche/data/dao/ArticleDao
a8f7f6d556143248    6 of  42   androidx/recyclerview/widget/RecyclerView$RecyclerViewDataObserver
b19d87a635eae950    1 of   2   androidx/appcompat/app/ToolbarActionBar$2
3aeaae12e07ebe05    1 of  30   kotlin/collections/AbstractList
fa9825d84e9f2b5b    2 of  11   androidx/core/view/WindowInsetsCompat$BuilderImpl30
da9c1709809cff8f    1 of  11   androidx/appcompat/widget/ActionMenuView$MenuBuilderCallback
841fcff9c47a9516    4 of 127   androidx/recyclerview/widget/RecyclerView$ViewFlinger
57ef8fb675447796    1 of   5   androidx/arch/core/executor/TaskExecutor
5c7c7c14d8d77233    3 of   4   androidx/fragment/app/FragmentStateManager$1
200227aa58dc5df9    3 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
