[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Wikipedia-_beta2.7.50447beta2023062-rebuilt_/coverage.ec.
221936708204eef0   11 of  76   com/google/firebase/messaging/SharedPreferencesQueue
02754ce560470e48    8 of  13   androidx/lifecycle/Lifecycle$State
5a7104ff8c6be245    2 of   9   shark/AndroidReferenceMatchers$IMM_LAST_FOCUS_VIEW$add$1
e29c53b955018484    2 of   5   okhttp3/ResponseBody$Companion$asResponseBody$1
9d49067aff59accb    2 of   3   kotlinx/coroutines/internal/ContextScope
680011d57a5ed328    2 of   9   shark/AndroidReferenceMatchers$STATIC_MTARGET_VIEW$add$1
63c6408f112552c4    3 of   3   shark/AndroidReferenceMatchers$CONTROLLED_INPUT_CONNECTION_WRAPPER
900216ff8a963cc1    3 of   8   com/google/android/datatransport/runtime/backends/MetadataBackendRegistry
500880fc6947691f    2 of   4   leakcanary/internal/ObjectsKt$NO_OP_HANDLER$1
4011ef93d452a37d    2 of  11   shark/AndroidObjectInspectors$CONTEXT_IMPL$leakingObjectFilter$1
1be632308ff31e8b   10 of  14   shark/AndroidObjectInspectors
70812e98cce7524e    7 of 126   kotlinx/coroutines/DefaultExecutor
5b610ced7009f737    2 of 105   okhttp3/internal/tls/OkHostnameVerifier
1b85f5fd0aa95c64    3 of   3   shark/AndroidReferenceMatchers$FINALIZER_WATCHDOG_DAEMON
06c54c695bbb19ac    3 of   5   shark/AndroidObjectInspectors$SUPPORT_FRAGMENT
a8aacf293a695d56    2 of   2   retrofit2/HttpServiceMethod$CallAdapted
4743f42e5f1f1cb2    2 of  54   okhttp3/Request
b81e5348b898330d    1 of  36   com/google/android/gms/internal/mlkit_common/zzac
fce4a663859fcfdc   41 of 110   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper$OpenHelper
f3f32c61bac34595    2 of   7   shark/AndroidReferenceMatchers$EDITTEXT_BLINK_MESSAGEQUEUE$add$1
f23cd0c5963efc01    2 of   4   androidx/lifecycle/Lifecycle
ca78a3ffe49cf5d7    6 of  22   kotlin/coroutines/ContinuationInterceptor$DefaultImpls
665591be2ef5e9d0    9 of  12   org/wikipedia/model/EnumCodeMap
01bedfd2f6ce786d    5 of   8   com/jakewharton/retrofit2/converter/kotlinx/serialization/Factory
caa0c75570c245f8    2 of  10   retrofit2/Invocation
f028a84d0fa42f11    2 of  10   io/reactivex/rxjava3/internal/functions/ObjectHelper
34c74cf48a0e7aec    3 of  93   kotlinx/coroutines/JobKt__JobKt
cece4a0c97280b38    2 of   4   shark/AndroidObjectInspectors$TOAST
825099ed914daa24    1 of   1   androidx/room/migration/Migration
38b5418af9d4203c    2 of  17   com/google/android/datatransport/runtime/TransportContext
4bab694cc3ca39fa    8 of 518   kotlin/ranges/RangesKt___RangesKt
aeda1f501a237371    1 of   2   com/google/android/gms/tasks/zzu
ad9193ec2aa1e405    5 of   8   com/google/android/gms/tasks/zzm
1f4cc7b7a1614140    1 of   4   okio/Timeout$Companion$NONE$1
ed7fb73ecae40879    2 of   8   com/google/android/gms/common/util/Strings
661b1d4b5afd5171    2 of   2   kotlinx/coroutines/CoroutineExceptionHandler$Key
91137533944508bb   67 of 163   leakcanary/internal/InternalLeakCanary
30e606b0176781ee    3 of   3   shark/AndroidReferenceMatchers$ANIMATION_HANDLER__ANIMATOR_REQUESTORS
8be54e2e9314c63f    6 of   9   com/google/android/gms/internal/mlkit_language_id_bundled/zbk
b30698469f1d5cbc    8 of  14   com/google/firebase/components/Lazy
2eba57ebe8961926    4 of  14   retrofit2/BuiltInConverters
89ad4a82b5bd5671    4 of   4   okhttp3/OkHttpClient$Companion
be61e6971e115e02    7 of  14   com/google/mlkit/common/internal/MlKitInitProvider
