[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/OpenSudoku-_4.10.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
d985acbea45e4cc5    2 of   6   androidx/appcompat/widget/AppCompatTextClassifierHelper
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
6789aedb9ef9de08   17 of 126   kotlinx/coroutines/internal/FastServiceLoader
80e49ea503dbf032    2 of  22   kotlin/internal/PlatformImplementations
12636799d2099a5d    1 of  10   kotlinx/coroutines/EventLoopImplPlatform
2e4fdc6267382cbb   12 of  53   org/moire/opensudoku/JacocoInstrument/JacocoInstrumentation
a10b708075bce986    3 of  10   androidx/collection/IndexBasedArrayIterator
12300aa856a14b88    1 of   9   androidx/core/widget/EdgeEffectCompat$Api31Impl
27b37ff40ee31f16    2 of   3   androidx/appcompat/content/res/AppCompatResources
c19bc23b82daa8ce   10 of  60   androidx/core/os/LocaleListCompat
f1cc0054a15e3170    2 of 11164   kotlin/collections/ArraysKt___ArraysKt
7982f4296b8f8f92    2 of   6   kotlinx/coroutines/NonDisposableHandle
e1f2a0dcbb88531c    2 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
4c4b8408fc3fc9c7    2 of   2   kotlinx/coroutines/Job$Key
40115c0d87d6a20a    2 of   2   kotlin/collections/ArrayDeque$Companion
7af4ea5fdf43622d    1 of  11   kotlinx/coroutines/MainCoroutineDispatcher
9bc2224600b21cf1    3 of  90   kotlinx/coroutines/DispatchedTaskKt
4c8bc298e30938d3    3 of  45   androidx/fragment/app/FragmentViewLifecycleOwner
40cd44e67b55b2b4    1 of 101   androidx/core/math/MathUtils
c7654b46900961e1    3 of  25   androidx/emoji2/viewsintegration/EmojiInputFilter$InitCallbackImpl
cead0785142034c5    1 of   2   androidx/fragment/app/FragmentManager$4
ddd8208912006683   13 of 137   androidx/core/view/WindowInsetsCompat$Impl20
d173b55c411544e9    2 of   3   kotlin/collections/AbstractMutableList
c5eb88f84585d145   11 of  32   kotlinx/coroutines/DebugKt
126263374f9a2b1a   39 of  88   androidx/appcompat/widget/ButtonBarLayout
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
567b6f18d9f70d48    7 of 103   kotlinx/coroutines/scheduling/WorkQueue
2b2341cfb2b4b185   50 of 205   androidx/fragment/app/DialogFragment
9f0c583e1b0591d7    5 of   7   androidx/core/view/WindowCompat$Api30Impl
1fbfe26e7d204910    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
2c67b393dedfe8c9    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
6a39707822fbd151    5 of   8   androidx/core/content/res/ResourcesCompat$FontCallback
cfd6503c3e937c92   13 of  41   org/moire/opensudoku/gui/screen/title/TitleScreenViewModel
29668fb4024e0d70    9 of  14   androidx/lifecycle/viewmodel/InitializerViewModelFactory
e61cb67e2c056189   16 of 472   com/google/android/material/focus/FocusRingDrawable
31d803ba3891bf00  113 of 629   androidx/appcompat/widget/LinearLayoutCompat
2780ff9858e9a507    1 of   3   androidx/core/view/SoftwareKeyboardControllerCompat$Impl
209f329c6bd25c26    4 of  16   androidx/emoji2/text/DefaultGlyphChecker
c7bbc74b9b241623    1 of   6   androidx/core/widget/NestedScrollView$DifferentialMotionFlingTargetImpl
f813546d98bfbd39    1 of   7   com/google/android/material/shape/MaterialShapeDrawable$2
1a9b79855a7e4098    1 of   1   kotlinx/coroutines/CoroutineStart$WhenMappings
eb03522e3b18dbce   80 of 135   com/google/android/material/shape/ShapeAppearanceModel
c8d8165fa945be39    2 of 168   kotlinx/coroutines/EventLoopImplBase
8386ed19d0bdd3d9   26 of 124   androidx/core/view/WindowInsetsCompat
459e8cccd64ccae1    1 of  22   androidx/profileinstaller/ProfileInstaller$2
bb48a9fdf84630f3   19 of 292   androidx/appcompat/view/menu/MenuItemImpl
6f5e59fe791dddbf    9 of  12   org/moire/opensudoku/db/DatabaseHelper$Companion
4fc49e2c60e2130e    1 of   5   androidx/fragment/app/DialogFragment$3
31f52a49f14fe4f6    2 of 121   com/google/android/material/shape/StateListShapeAppearanceModel
fc75ab2cfd73782f   15 of  46   kotlinx/coroutines/BuildersKt__Builders_commonKt
84ef089eb4922ae5    8 of  20   kotlinx/coroutines/DispatchedCoroutine
