[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Orgzly-Revived-_v1.8.27beta.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
4179237017c517f3    4 of   4   com/orgzly/android/usecase/UseCaseWorker$doWork$1
907c0a43489640e9    4 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
311f4c4370536f4d    4 of  15   androidx/work/impl/WorkerWrapper$2
4fde38e2bbb16ec1   13 of  59   com/orgzly/android/ui/util/ExtensionsKt
ffab314df086dc2d   16 of  35   com/google/android/material/progressindicator/BaseProgressIndicatorSpec
a51c23b4f5d01136    3 of   3   androidx/lifecycle/SavedStateHandlesProvider$viewModel$2
54b4b736c635a7e5    1 of   2   androidx/core/content/res/ResourcesCompat$ThemeCompat$Api29Impl
48b69f555326c691   11 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
5e4ad6d32ce10624    2 of   2   kotlinx/coroutines/scheduling/CoroutineScheduler$Companion
4ddfa00a3b29749d    1 of   5   com/orgzly/android/ui/books/BooksAdapter$onBindViewHolder$1$6
7bd829e160d0d08b    8 of   8   androidx/work/impl/WorkDatabase$1
5da9b439bcd8372b    3 of  43   androidx/sqlite/db/SupportSQLiteOpenHelper$Callback
8a526214ac8596a0   41 of  78   org/joda/time/chrono/AssembledChronology$Fields
d10387ffd5e44170    7 of  22   com/orgzly/android/ui/AppBar
5072fc117bd9c5d2    1 of   2   com/orgzly/android/util/LogMajorEvents
7b02ef4149893fa2    1 of  38   org/joda/time/base/AbstractDateTime
a3fe91b730202000   20 of  73   androidx/preference/ListPreference
4e07530921555e37   20 of 100   kotlinx/coroutines/internal/LockFreeTaskQueueCore
3ce540d470caae96   10 of  11   androidx/lifecycle/ViewModelProvider$AndroidViewModelFactory$Companion
659dcb4b547d58c4    1 of   1   androidx/work/impl/model/WorkTag
756eee4e703cf96c    1 of   9   androidx/work/impl/WorkDatabaseMigrations$RescheduleMigration
7ffe6b6854aff249    1 of   8   com/orgzly/android/db/PreRoomMigration$MIGRATION_137_138$1
070df74e5ef1dcc3    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuHeaderItem
8a678778153bea57    1 of   5   androidx/appcompat/widget/SearchView$2
a7e1b8ad994bb473    5 of   6   androidx/work/InputMergerFactory
644454c6332f81db    7 of  32   kotlinx/coroutines/intrinsics/CancellableKt
7b274c267761c218   13 of  13   androidx/work/Logger
8a192816ae3f9eb1   10 of  65   com/google/android/material/progressindicator/LinearIndeterminateDisjointAnimatorDelegate
da9c1709809cff8f    1 of  11   androidx/appcompat/widget/ActionMenuView$MenuBuilderCallback
8c3bd9447818afe0   16 of  21   androidx/room/RoomTrackingLiveData$1
200227aa58dc5df9    3 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
