[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Music-Player-_1.8.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
e96fd5c245bceb8e   93 of 140   androidx/lifecycle/LifecycleRegistry
2f724ea9628a71ce    8 of  43   kotlin/collections/CollectionsKt__CollectionsJVMKt
55df58d871d86e40    3 of  15   androidx/media3/session/MediaSession$ConnectionResult$AcceptedResultBuilder
d247df9d1a7e853b   11 of 138   androidx/room/EntityInsertAdapter
14e7636e8073655e   90 of 209   androidx/constraintlayout/widget/ConstraintLayout$Measurer
12f4594fcd288438    1 of   2   androidx/room/TriggerBasedInvalidationTracker$checkInvalidatedTables$1
6a8f529874b47e0f   25 of 193   androidx/media3/exoplayer/audio/AudioCapabilities
35aafe9eb0150990   51 of 426   androidx/media3/exoplayer/analytics/MediaMetricsListener
17f528bc1af4f70f   12 of 105   androidx/media3/common/Player$PositionInfo
3290cfe3ca1fd5de    1 of   3   com/google/android/material/internal/ToolbarUtils$1
86682fa9adf1a688    4 of 518   androidx/media3/exoplayer/MediaPeriodQueue
ee3f2dbd5f433e79    8 of   9   com/airbnb/lottie/model/content/Mask$MaskMode
5c6ba335cd0c90e9   14 of  36   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper
221a1c8896e51acc    9 of  22   kotlinx/coroutines/BuildersKt__BuildersKt
9a3da6de7a49a46f   11 of  55   kotlinx/coroutines/ExecutorCoroutineDispatcherImpl
3d5f3bae9e265a11    2 of  17   com/google/common/collect/NaturalOrdering
ff5ba12a4db44102    3 of  95   com/google/common/collect/ImmutableBiMap
a31a202076d12720   18 of  34   com/airbnb/lottie/parser/moshi/JsonReader
5fd13e9a1b78e8ff    2 of   2   org/fossify/musicplayer/adapters/TracksAdapter$Companion
12b92a2fd5f2afb5   10 of  11   com/airbnb/lottie/utils/LottieThreadFactory
5f5065e6d0a888cc  166 of 464   androidx/constraintlayout/core/widgets/ConstraintWidgetContainer
5184a4960d786abe    2 of  30   kotlin/collections/AbstractList
fca3c48841b16b4e    4 of  35   androidx/media3/exoplayer/upstream/SlidingPercentile
804424c398ae4ef0   11 of  24   kotlin/sequences/GeneratorSequence$iterator$1
cce980a793f00d65    2 of   2   androidx/recyclerview/widget/RecyclerView$RecycledViewPool$ScrapData
978af248c046a759    2 of   5   org/fossify/commons/extensions/SharedPreferencesProducerExtensionsKt
1c23a5a9ae9af5cd   23 of  60   androidx/media3/session/MediaSessionService$MediaSessionServiceStub
7b7f623bc6945d30    2 of  39   androidx/activity/ComponentActivity$activityResultRegistry$1
98bb9ed9ede64965    1 of  17   com/google/common/collect/Platform
dba49d1e6ef50aaa    8 of  18   androidx/activity/OnBackPressedDispatcher$addCallback$lifecycleObserver$1
9724da2d247d4b91    3 of  13   androidx/core/util/ObjectsCompat
f49f584743effdd2    1 of  12   androidx/recyclerview/widget/RecyclerView$ItemAnimatorRestoreListener
5f52c3092fe3d15e   11 of  18   androidx/room/coroutines/PassthroughConnectionPool
3d00d608f71c6ef3    8 of  11   androidx/lifecycle/LifecycleRegistry$ObserverWithState
f184e4f790a3e738    9 of  50   kotlin/collections/EmptyList
e3eabf79b1576f2e    2 of   5   androidx/appcompat/widget/LinearLayoutCompat$LayoutParams
27c3b72a26038401    2 of   6   org/fossify/musicplayer/adapters/TracksAdapter$1
4a8565caba1947bb    1 of   1   com/google/android/material/shape/ShapeAppearancePathProvider$ShapeAppearancePathSpec
62a032c057c2154c    2 of   5   androidx/lifecycle/ProcessLifecycleOwner$initializationListener$1
c8eda23bec3eb411  100 of 201   androidx/constraintlayout/core/ArrayLinkedVariables
f4be66cc0b719bfa    1 of   1   androidx/recyclerview/widget/RecyclerView$LayoutManager$Properties
d0ff0381e83339b3    7 of  48   androidx/room/Room
0022c5fb6fd0c8f6   13 of  17   org/fossify/musicplayer/extensions/ResourcesKt
1ace98e3e506542b   10 of  25   com/duolingo/open/rtlviewpager/DelegatingPagerAdapter
9bc23e1c382ecef6    1 of   9   androidx/core/view/WindowInsetsCompat$Impl31
84846663c1db5034   28 of 172   androidx/recyclerview/widget/RecyclerView$ViewHolder
3906f5b886f67941    2 of   6   kotlin/enums/EnumEntriesKt
6cb1814a88bf264e   24 of  93   androidx/appcompat/widget/ContentFrameLayout
5d1d818d1ea0513d    1 of   5   androidx/dynamicanimation/animation/DynamicAnimation$9
2a9744e4efa392c1    1 of   5   androidx/dynamicanimation/animation/DynamicAnimation$2
a14ac1348ea34dca    2 of   2   androidx/savedstate/internal/SavedStateRegistryImpl$Companion
5feb367d6a2630a8    2 of   5   com/airbnb/lottie/model/animatable/AnimatableIntegerValue
f0819a9512514b5d   13 of  23   com/airbnb/lottie/parser/ColorParser
984787e7129f5e27    2 of   8   com/airbnb/lottie/animation/keyframe/BaseKeyframeAnimation$EmptyKeyframeWrapper
052a7917d74b586c   11 of  19   androidx/core/view/WindowInsetsCompat$BuilderImpl29
e02fe8d2bd5f16bc   40 of 208   androidx/room/BaseRoomConnectionManager
ac54fef4d94668c5    4 of  41   androidx/core/os/TraceCompat
