[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/StreetComplete-_v53.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
e0320475d7ba428e    4 of  28   de/westnordost/streetcomplete/data/user/statistics/EditTypeStatisticsDao
0d2b77f15e972d38    3 of  16   de/westnordost/streetcomplete/quests/building_underground/AddIsBuildingUnderground
3a0ce726bb026f5f    2 of   2   de/westnordost/streetcomplete/screens/main/map/TangramIconsSpriteSheet$Companion
f6f8cf008a136a92    3 of  23   de/westnordost/streetcomplete/quests/car_wash_type/AddCarWashType
b8ea97c53233d467    7 of  21   de/westnordost/streetcomplete/data/overlays/SelectedOverlayController
2ed38fbd400e601e    2 of   2   de/westnordost/streetcomplete/data/osmnotes/notequests/OsmNoteQuestModuleKt
dba354e5639f055a    5 of   5   de/westnordost/streetcomplete/data/visiblequests/QuestPresetsModuleKt$questPresetsModule$1$10
32b260dd490222ee    2 of   5   de/westnordost/streetcomplete/quests/level/AddLevel$thingsWithLevelFilter$2
c637f6542e4817ae    2 of   2   de/westnordost/streetcomplete/data/user/statistics/StatisticsModuleKt
40282b95da619859    8 of  12   de/westnordost/streetcomplete/screens/main/controls/UndoButtonFragment$onStart$1
10ed352d3062bc2a    6 of  18   de/westnordost/streetcomplete/quests/smoothness/AddPathSmoothness
a4d5081fb9948cd7    2 of   3   de/westnordost/streetcomplete/screens/user/achievements/AchievementInfoFragment$backPressedCallback$1
6f641b776291770c    2 of   9   de/westnordost/streetcomplete/data/user/achievements/AchievementsController$statisticsListener$1
a03b9ea0045a6b4e   12 of  19   de/westnordost/streetcomplete/screens/main/map/tangram/KtMapControllerKt
fcbbf7ea07aded6c    2 of   3   de/westnordost/streetcomplete/data/osmnotes/notequests/OsmNoteQuestController$notesPreferencesListener$1
43e36d904473cb91    3 of  14   de/westnordost/streetcomplete/quests/parking_access/AddParkingAccess
e65fde3755e29c1e    2 of  30   de/westnordost/streetcomplete/data/visiblequests/VisibleQuestTypeDao
f13a8d0b26dddb76    2 of  73   de/westnordost/streetcomplete/data/osm/edits/MapDataWithEditsSource$mapDataListener$1
e9598dc2cf302a36    2 of   2   de/westnordost/streetcomplete/data/user/achievements/TotalEditCount
85cc95c7f65adfce   55 of  57   de/westnordost/streetcomplete/data/osmnotes/NotesModuleKt$notesModule$1
468ed1b2eaea8c74    3 of   3   de/westnordost/streetcomplete/data/osm/edits/update_tags/RevertUpdateElementTagsAction$Companion
1077f6551687d102   12 of  12   de/westnordost/streetcomplete/data/osm/mapdata/MapDataModuleKt$mapDataModule$1$6
288dc4208f34123e   12 of  99   de/westnordost/streetcomplete/data/osmnotes/edits/NoteEditsController
3ff49fb874a15544    2 of   7   de/westnordost/streetcomplete/data/user/statistics/StatisticsModuleKt$statisticsModule$1$7
53b806d393317ff0    2 of   3   de/westnordost/streetcomplete/data/osm/mapdata/MapDataCache$spatialCache$2
cf0efd4e28fa0316    7 of   7   de/westnordost/streetcomplete/data/download/DownloadModuleKt$downloadModule$1$2
2d0ea0dfa5f49189    3 of  21   de/westnordost/streetcomplete/quests/seating/AddSeating
e8ba1a5a91187257    2 of   8   de/westnordost/streetcomplete/data/OsmApiModuleKt$osmApiModule$1$10
bb9b331910ded1ef    2 of  86   de/westnordost/streetcomplete/data/osm/geometry/WayGeometryDao
03b39240ebdce398    1 of  34   de/westnordost/streetcomplete/data/osm/geometry/PolylinesSerializer
5248b4d5be45c963    4 of   4   de/westnordost/streetcomplete/screens/main/map/MainMapFragment$special$$inlined$inject$default$5
2d8c1d93e3f2ba51    1 of   4   de/westnordost/streetcomplete/screens/main/MainFragment$onAttach$1
611dc13c4850f9cf    2 of   4   de/westnordost/streetcomplete/data/user/achievements/AchievementsModuleKt$achievements$15
c44a0a174173ae91    5 of  48   de/westnordost/streetcomplete/quests/tactile_paving/AddTactilePavingKerb
eccbd624537e7853    3 of   3   de/westnordost/streetcomplete/quests/tactile_paving/TactilePavingUtilKt
99d2b67bd86de602    3 of  17   de/westnordost/streetcomplete/quests/bike_parking_type/AddBikeParkingType
c37d5988a229a11b    2 of   4   de/westnordost/streetcomplete/quests/building_entrance_reference/AddEntranceReference$privateFootwaysFilter$2
82158cb45efb499d    2 of  19   de/westnordost/streetcomplete/screens/main/map/MapFragment$registerResponders$1
3d05d856fb1d4f87   27 of  31   de/westnordost/streetcomplete/data/overlays/OverlayModuleKt$overlayModule$1
f47ac4b58e6a6f6e    2 of   4   de/westnordost/streetcomplete/screens/main/controls/UploadButtonFragment$unsyncedChangesCountListener$1
