[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
90f513604908bcda    3 of   3   shark/AndroidReferenceMatchers$ANIMATION_HANDLER__ANIMATOR_REQUESTORS
7a3f301dbf9cbff7    2 of  27   shark/AndroidObjectInspectors$VIEW_ROOT_IMPL$leakingObjectFilter$1
7be130c5e7fb8e91    2 of   7   shark/AndroidReferenceMatchers$MEDIA_SESSION_LEGACY_HELPER__SINSTANCE$add$1
87e17d426c2708cb    6 of  18   org/ocpsoft/prettytime/impl/ResourcesTimeUnit
a8605bf104608da2    1 of  32   shark/AndroidObjectInspectors$CONTEXT_FIELD
8687f0148e9bc25c    6 of   7   io/reactivex/rxjava3/internal/schedulers/NewThreadScheduler
a75553a04373ddd0    2 of   3   leakcanary/AppWatcher$objectWatcher$1
9ce3f070c26ff0a5    2 of   9   shark/AndroidReferenceMatchers$VIEW_CONFIGURATION__MCONTEXT$add$1
5cb52389f586a0e3    2 of  10   shark/AndroidReferenceMatchers$ACTIVITY_MANAGER_MCONTEXT$add$1
5ae75c3a23003f84    2 of  23   kotlin/enums/EnumEntriesList
944ccca58dd46b67    2 of  45   kotlin/collections/AbstractList$Companion
955c5446a1b922fd    4 of   4   shark/AndroidReferenceMatchers$ACTIVITY_CHOOSE_MODEL
48e881432b3638c3    3 of   3   leakcanary/AndroidLeakFixes$VIEW_LOCATION_HOLDER
c74c817b2806986e    2 of   2   shark/ReferencePattern$StaticFieldPattern$Companion
d69c4498009198ca    5 of  45   kotlin/collections/CollectionsKt__CollectionsJVMKt
f40db794915f8ca6    3 of  27   kotlin/collections/ArrayAsCollection
9c4ef7b8418d841a    9 of  16   androidx/lifecycle/Lifecycle$Event$WhenMappings
fd41090af86c0a45    3 of   3   shark/AndroidReferenceMatchers$RESOURCES__MCONTEXT
eaa8e49690965cca    7 of  11   curtains/internal/RootViewsSpy
6d7450c4d6e08537    4 of   4   shark/AndroidReferenceMatchers$TEXT_TO_SPEECH
aceeb3edc4cce5a8    3 of   3   shark/AndroidReferenceMatchers$LEAK_CANARY_HEAP_DUMPER
