[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Kiwix-_3.11.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
57654e925e4bd76a    3 of   3   shark/AndroidReferenceMatchers$IMM_LAST_FOCUS_VIEW
d6c54273311e9574   33 of 140   androidx/appcompat/widget/AppCompatButton
7410ec982bebf382    5 of   8   androidx/lifecycle/ProcessLifecycleOwner$3
8bf284e56d97c261    3 of   3   androidx/navigation/NavControllerViewModel$Companion$FACTORY$1
89ad4a82b5bd5671    4 of   4   okhttp3/OkHttpClient$Companion
7f26aefccdb7dc89    2 of   9   shark/AndroidReferenceMatchers$OEM_SCENE_CALL_BLOCKER$add$1
9e344f65601411a0    3 of   4   com/google/android/material/shape/ShapePath$ShadowCompatOperation
656416ceb3f760ab    1 of 121   leakcanary/internal/activity/LeakActivity
b409bd6febeaf27a    5 of   5   org/kiwix/kiwixmobile/core/di/modules/ApplicationModule_ProvideDownloadMonitor$core_debugFactory
b2ee227991381157    3 of   3   androidx/lifecycle/ProcessLifecycleOwner$3$1
81ff11955f967f06    1 of   4   com/google/android/material/internal/NavigationMenu
7f3ffd75162e0499    8 of  11   com/google/android/material/animation/AnimationUtils
9c768734a266f9db    2 of  10   shark/AndroidReferenceMatchers$XIAMI__RESOURCES_IMPL$add$1
777bdbb6a3fb2e37   12 of  77   org/kiwix/kiwixmobile/core/main/NavigationHostFragment
3d60d2d2969dd82d    3 of   3   shark/AndroidReferenceMatchers$IREQUEST_FINISH_CALLBACK
e3c974fa75bfa389    2 of   3   com/tonyodev/fetch2/provider/NetworkInfoProvider$networkChangeBroadcastReceiver$1
0b5608634a4a487a    1 of   5   kotlinx/coroutines/internal/Symbol
22945cc53112ce45    2 of   4   leakcanary/AndroidLeakFixes$ACCESSIBILITY_NODE_INFO
818673000aae192f    1 of 112   com/getkeepsafe/relinker/ApkLibraryInstaller
cc0fa2cf4c5b6393    1 of  27   androidx/core/widget/TextViewOnReceiveContentListener
517dc9c17c1035a4    4 of   6   kotlin/collections/AbstractIterator$WhenMappings
69c8d20a9bb2017b   41 of 1782   kotlin/collections/CollectionsKt___CollectionsKt
ebba9ab6839d839a    1 of   2   androidx/fragment/app/Fragment$Api19Impl
7f07511fed9aa28e   10 of  14   kotlinx/coroutines/scheduling/TasksKt
4dfb314568a0a510    1 of   2   org/kiwix/kiwixmobile/core/main/CoreReaderFragment_ViewBinding$7
e058e3cb264b04d7    6 of   6   org/kiwix/kiwixmobile/core/utils/LanguageContainer
ade18726c34ec89b    5 of   5   androidx/navigation/NavControllerViewModel$Companion
7606f6bcd9eaf842    1 of   2   org/kiwix/kiwixmobile/core/main/CoreReaderFragment_ViewBinding$12
2b10ef6e53f0a69d    8 of   8   io/reactivex/internal/schedulers/SchedulerPoolFactory$ScheduledTask
c602cdb7ce5ae4fb    1 of  26   org/kiwix/kiwixmobile/core/dao/HistoryRoomDao_Impl$1
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
3a96b4eb76b4a9d0    3 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
deba29aae29c6495    2 of   6   androidx/savedstate/ViewTreeSavedStateRegistryOwner
f9e4d5a61864353c    1 of   5   androidx/arch/core/executor/TaskExecutor
8b2c147b09154759    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
780df840693f686e    3 of  17   okhttp3/internal/platform/android/AndroidCertificateChainCleaner
f57c782aefadb3db    2 of   6   leakcanary/BackgroundThreadHeapAnalyzer$heapAnalyzerThreadHandler$2
8c2f807272357f49    3 of   3   shark/AndroidReferenceMatchers$ACTIVITY_THREAD__M_NEW_ACTIVITIES
a16504b8f909cdf5    3 of   3   org/kiwix/kiwixmobile/di/components/DaggerKiwixComponent$KiwixComponentImpl$SharedPrefUtilProvider
ba85a2d173c94abc    1 of   2   androidx/customview/widget/ViewDragHelper$1
03064aedfdf12538    1 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
49f861a08144d83f    3 of   3   shark/AndroidReferenceMatchers$VIEWLOCATIONHOLDER_ROOT
8292766fe70ae2d3    3 of   3   shark/AndroidReferenceMatchers$TEXT_VIEW__MLAST_HOVERED_VIEW
a3247474a748a13d   16 of  38   androidx/navigation/NavigatorProvider
0627f306b74df34a    2 of   4   kotlinx/coroutines/scheduling/Task
68ea15486038ecb3    1 of   6   androidx/activity/ComponentActivity$1
007e9951033f9b3b    2 of   8   org/kiwix/kiwixmobile/core/main/CoreReaderFragment$setTabListener$1
4a147d7ef25e6400   11 of  44   org/greenrobot/essentials/collections/LongHashMap
13a6843f4330d591   14 of  54   leakcanary/AndroidLeakFixes$Companion
49ac494740a8117a    3 of 103   androidx/room/util/DBUtil
6e51ae5311fe60c6    2 of  68   kotlin/collections/CollectionsKt___CollectionsJvmKt
98f9b06967a29e09    2 of  13   shark/AndroidObjectInspectors$MORTAR_SCOPE$leakingObjectFilter$1
d41414bcd77b36ef    1 of   3   androidx/room/SharedSQLiteStatement$stmt$2
80fb813b284a88b4    2 of  32   androidx/core/view/LayoutInflaterCompat
e45221c6128ff624    9 of  34   androidx/navigation/NavDestination$Companion
7b89792969f16a10   13 of 101   org/kiwix/kiwixmobile/core/main/CompatFindActionModeCallback
30a8feadb958a619    4 of  42   androidx/core/content/FileProvider$SimplePathStrategy
56d17d1d06360cbe   19 of 1177   io/reactivex/Observable
2445cf116788bd99    3 of   9   org/kiwix/kiwixmobile/core/data/remote/ObjectBoxToRoomMigrator_MembersInjector
