[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AnyMemo-_10.12.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
bf96e8f7f3e8e5f9   11 of 132   com/j256/ormlite/logger/Logger
178a54ba0ded3fa7    2 of 134   kotlin/collections/CollectionsKt__MutableCollectionsKt
f29ae346c83a409b    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
2f4eec22b83142dd    1 of  10   com/google/android/material/navigation/NavigationView$1
76de7532fd56f73a   11 of  20   androidx/constraintlayout/core/widgets/ConstraintWidget$1
5893e13abb864bae    3 of  24   androidx/core/os/BundleCompat
91e24d2cec592915    1 of   6   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton$1
0191edf0d8826567    6 of  22   androidx/activity/ComponentActivity$onBackPressedDispatcher$2
551be90d18b8f52a   40 of 418   com/j256/ormlite/dao/BaseDaoImpl
8db12c2cb5c065d8  236 of 1652   androidx/constraintlayout/core/widgets/ConstraintWidget
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
0c3706b71ac229cb   30 of 140   androidx/appcompat/widget/AppCompatButton
482b054e11f4fd1b    9 of 127   kotlin/jvm/internal/Intrinsics
ae268dc3c73b0d4f   33 of  98   androidx/lifecycle/LiveData
c97cd5c9d0ae1588   69 of 221   com/j256/ormlite/field/DatabaseFieldConfig
db6c9039cd2abfe8    1 of   6   androidx/activity/ComponentActivity$fullyDrawnReporter$2
1fa492162a04262f   18 of  48   androidx/lifecycle/SavedStateHandleSupport
6624b1fa6af3b4b7    2 of  55   androidx/drawerlayout/widget/DrawerLayout$AccessibilityDelegate
a3591e124ae84639    5 of  14   androidx/transition/Transition$ArrayListManager
4ef73a83e90324e9   58 of  98   com/google/android/material/bottomnavigation/BottomNavigationMenuView
e1f6e446da979687    3 of 311   androidx/constraintlayout/core/ArrayRow
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
09636526383135d6  100 of 465   androidx/fragment/app/FragmentStateManager
6963df013788b04d    4 of  14   com/google/android/material/navigation/NavigationBarMenu
0a20b703082be4a2    5 of   5   org/liberty/android/fantastischmemo/modules/DaggerAppComponents$FragmentComponentsBuilder
af6b2859b5d9ab47   28 of  45   com/google/android/material/bottomnavigation/BottomNavigationView
7479d281dcf5e3bc    5 of  88   com/google/android/material/motion/MaterialSideContainerBackHelper
27b37ff40ee31f16    2 of   3   androidx/appcompat/content/res/AppCompatResources
c19bc23b82daa8ce   10 of  60   androidx/core/os/LocaleListCompat
8c7db4fba4608d52    7 of  67   com/j256/ormlite/android/AndroidDatabaseResults
ca124bc805ae9dcc    4 of   8   com/j256/ormlite/field/types/CharacterObjectType
e1f2a0dcbb88531c    3 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
9318b3887e9a67b1    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuHeaderItem
d0b283292ee9acb0   14 of  81   com/j256/ormlite/android/AndroidCompiledStatement
01c0d2878e127c96    1 of   4   org/liberty/android/fantastischmemo/modules/ActivityModules
8a715f0de863bcdc    8 of  31   androidx/recyclerview/widget/RecyclerView$State
a8265a8263c1a8a3    2 of   3   kotlin/Unit
ddd8208912006683   13 of 137   androidx/core/view/WindowInsetsCompat$Impl20
f69f7af1141019ab    4 of   5   androidx/databinding/ViewDataBinding$6
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
7775b0a268b02eb1    1 of   9   androidx/transition/ChangeBounds$5
cb32a1ffcf422c56    3 of  13   com/j256/ormlite/field/types/DateIntegerType
