[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/nextcloud-_4792_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
e38470814c85e1cd    4 of  12   com/nextcloud/client/onboarding/FirstRunActivity_MembersInjector
395d3ee7375cf37d    1 of   1   com/owncloud/android/ui/events/TokenPushEvent
878161df5b278ba3    1 of   5   com/owncloud/android/utils/ReceiversHelper$2
3a63e88db40613f8    5 of  13   com/owncloud/android/authentication/AccountAuthenticatorActivity
af1d3fd0f8f7a720    5 of   5   com/nextcloud/client/preferences/PreferencesModule_SharedPreferencesFactory
45cf1016a25b574f    1 of   3   com/nextcloud/client/di/DaggerAppComponent$12
0229e375e8e21af7    2 of  54   com/owncloud/android/services/OperationsService$ServiceHandler
9bab12b72da82f4e    2 of  11   com/owncloud/android/datastorage/providers/HardcodedStoragePointProvider
bba0b6c89229c7e2    3 of  11   com/owncloud/android/ui/fragment/OCFileListFragment_MembersInjector
0684af1177e53f21    5 of   6   com/nextcloud/client/device/DeviceModule
087dbd1bafd89d78    9 of   9   com/nextcloud/client/di/DaggerAppComponent$OCFileListFragmentSubcomponentImpl
6dadf99e06b83136    5 of   5   com/nextcloud/client/di/DaggerAppComponent$FileUploaderSubcomponentFactory
dfcc741f5e41c1c1   28 of 245   com/owncloud/android/datamodel/UploadsStorageManager
63890c2056e2d19e    5 of   5   com/nextcloud/client/di/AppModule_LoggerFactory
e320085739eee458    2 of   5   com/owncloud/android/ui/fragment/ExtendedListFragment$ScaleListener
4a0a563d18d49145    3 of  12   org/nextcloud/providers/cursors/RootCursor
50339a352464fcda    1 of   7   com/owncloud/android/datastorage/providers/SystemDefaultStoragePointProvider
f0a446873fc8c26c    2 of   5   com/nextcloud/client/di/AppModule_AsyncRunnerFactory
acca4ef2a2a86c1d    5 of   5   com/nextcloud/client/network/NetworkModule_ClientFactoryFactory
f7dc80fbc11dfd9b    2 of  72   com/owncloud/android/ui/activity/FileDisplayActivity$SyncBroadcastReceiver
facda72994132aa3   34 of 129   com/nextcloud/client/preferences/AppPreferencesImpl
934aee26c022df8f    8 of   8   com/nextcloud/client/di/DaggerAppComponent$FileUploaderSubcomponentImpl
d62dd9fd7fa14f1c    3 of  69   com/owncloud/android/services/SyncFolderHandler
b21fd8e4c541071e    1 of   3   com/nextcloud/client/di/DaggerAppComponent$36
ba77b30c288b11aa    1 of   2   com/nextcloud/client/logger/ThreadLoop$sam$i$java_lang_Runnable$0
0e13791f481d1920  141 of 611   com/owncloud/android/ui/activity/DrawerActivity
d9ea7963b6f51cfc    1 of   5   com/owncloud/android/utils/ReceiversHelper$3
df09a9487e071f7a    1 of   3   com/nextcloud/client/di/DaggerAppComponent$4
7fe756ff1cf487a1    1 of   3   com/nextcloud/client/di/DaggerAppComponent$58
101016d0433e5ce0   13 of  34   com/owncloud/android/ui/activity/FileDisplayActivity$ListServiceConnection
d91a55c7cc777a77   12 of  60   com/nextcloud/client/network/ConnectivityServiceImpl
f867d1ab68ff16ee    2 of  59   com/owncloud/android/ui/activity/FileDisplayActivity$DownloadFinishReceiver
3c7b15c693a33604   84 of 238   com/owncloud/android/ui/fragment/ExtendedListFragment
b7bb3b9b71b693b7    2 of  18   com/nextcloud/client/logger/Level$Companion
73de595299276787    4 of  11   com/owncloud/android/authentication/AuthenticatorActivity_MembersInjector
d956711290944f7a   16 of  17   com/owncloud/android/ui/fragment/ExtendedListFragment$SearchType
eeef487e828d5018    3 of   3   com/nextcloud/client/onboarding/OnboardingModule
1b069d725d593117    5 of   5   com/nextcloud/client/di/DaggerAppComponent$FileDownloaderSubcomponentFactory
d36f08bfbb53f0e9    2 of   2   com/nextcloud/client/appinfo/AppInfoModule
db11637ad57a705d    3 of   3   com/nextcloud/client/di/DaggerAppComponent$13
5dd486e5b791f343    5 of   5   com/nextcloud/client/onboarding/OnboardingModule_OnboardingService$nextcloud_genericDebugFactory
31172be582288c1a   19 of 102   com/owncloud/android/providers/UsersAndGroupsSearchProvider
a6ab4972693f1141   21 of  55   com/owncloud/android/ui/fragment/FeatureFragment
c3449d033a9f6b16    4 of   5   com/owncloud/android/utils/ReceiversHelper$1
7fc62556ff7a1633   10 of 164   com/owncloud/android/datamodel/ThumbnailsCacheManager
ff55c2184a224a90    2 of   9   com/owncloud/android/ui/activity/FileActivity_MembersInjector
41714426f01af06c    8 of  28   com/owncloud/android/authentication/AuthenticatorActivity$OperationsServiceConnection
dcbb2819c7f35761    2 of  19   com/owncloud/android/datastorage/providers/AbstractCommandLineStoragePoint
eaf4d0191f8a5d1c   10 of  25   com/nextcloud/client/logger/LogEntry$Companion
a0eb66b3f9087e5e   25 of 519   com/owncloud/android/ui/adapter/OCFileListAdapter
10e1a823bdb46236    1 of   3   com/nextcloud/client/di/DaggerAppComponent$38
1df8f528720795c1    3 of   3   com/nextcloud/client/preferences/PreferencesModule
f02d45de7dfd4187    1 of   3   com/nextcloud/client/di/DaggerAppComponent$9
db0eacce2f51de19    3 of   3   com/nextcloud/client/di/DaggerAppComponent$11
03e31ae643e27f3f    1 of   1   com/owncloud/android/operations/GetServerInfoOperation$ServerInfo
a943588a1d609902    8 of   8   com/nextcloud/client/di/DaggerAppComponent$AuthenticatorActivitySubcomponentImpl
4530474a91edbb8f    2 of  71   com/owncloud/android/files/services/IndexedForest
56ba925a3c1bab56   12 of 649   com/owncloud/android/providers/FileContentProvider$DataBaseHelper
a2b21bb1137da31b    3 of  81   com/nextcloud/client/media/PlayerServiceConnection
62fbc91602169f4e    3 of   3   com/nextcloud/client/di/DaggerAppComponent$51
465f7ed5361f6be6    6 of  26   com/owncloud/android/services/OperationsService$OperationsServiceBinder
50b2906e4f2ce096    5 of   7   com/owncloud/android/ui/activity/FileDisplayActivity$7
80e600ac3a18f750    1 of   3   com/nextcloud/client/di/DaggerAppComponent$30
