[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/open-event-attendee-android-0.5-_2198-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
4506bdee6c746b9a    2 of   8   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$27
1fee755052a29848   32 of  68   org/fossasia/openevent/general/MainActivity
743576459943301b    6 of   6   org/fossasia/openevent/general/di/ModulesKt$apiModule$1$1
5b861296b0b99123   10 of  15   org/fossasia/openevent/general/connectivity/MutableConnectionLiveData
4a7ea765ac32fa8f    1 of   8   org/fossasia/openevent/general/MainActivity$setupBottomNavigationMenu$1
b89ea945b29e1f5e    2 of   4   org/fossasia/openevent/general/StartupViewModel$fetchSettings$1
0310588c17fe3d50    2 of  13   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$10
f568f8ca4068557d    1 of   2   org/fossasia/openevent/general/welcome/WelcomeFragment$onCreateView$3
4b21416b19062531    1 of   2   org/fossasia/openevent/general/event/EventsFragment$onViewCreated$3
3d6949937199e54f    2 of  10   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$30
f48afde9f564aa80    3 of   3   org/fossasia/openevent/general/event/EventsViewModel$loadLocationEvents$1
a7ce5f3408170844    6 of  16   org/fossasia/openevent/general/data/Resource
7087f613e37980d6    1 of   9   org/fossasia/openevent/general/event/paging/EventsDataSource$createObservable$1
b8022bf13ea723ec    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$8
33b9cbb6733e946f    2 of   6   org/fossasia/openevent/general/di/ModulesKt$databaseModule$1$10
3c3f389e98e726a0    2 of  11   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$9
c7d92a6609176234    1 of   8   org/fossasia/openevent/general/event/EventIdConverter
15e0dac7e4fb185b    2 of   7   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$32
d85062e72c6ad6c9    2 of  11   org/fossasia/openevent/general/di/ModulesKt$viewModelModule$1$29
f96f4c34f7d7a230    4 of   4   org/fossasia/openevent/general/welcome/WelcomeFragment$$special$$inlined$viewModel$1
ec41c39a8c9c492c    2 of   2   org/fossasia/openevent/general/OpenEventDatabase

