[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/MyExpenses-_r879-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
5be83153824f6a4f    5 of  22   androidx/compose/ui/node/MutableVectorWithMutationTracking
20d77ffd9f3e62ab    8 of  31   androidx/compose/runtime/composer/GroupKind
3d067d3e222f80d5    2 of   2   kotlin/jvm/internal/StringCompanionObject
6a9ddd1278a1adea    3 of   4   androidx/compose/runtime/saveable/SaverKt$Saver$1
74d0f5405161d234    2 of   2   kotlin/ULong$Companion
d51e8d05327b28a8    5 of   6   kotlin/sequences/ConstrainedOnceSequence
0bba51dcc3827b2d    2 of  34   kotlinx/coroutines/AbstractTimeSourceKt
cf8b31b1e680da76    8 of  43   androidx/core/view/WindowInsetsCompat$Builder
77be8b42439cfdad    5 of   5   org/totschnig/myexpenses/di/LicenceModule_ProvideObfuscatorFactory
215c08d7fc12b749    8 of  31   androidx/core/graphics/Insets
5f5065e6d0a888cc  126 of 464   androidx/constraintlayout/core/widgets/ConstraintWidgetContainer
a763d2430d3bbacd    3 of  15   kotlin/collections/EmptyIterator
0b1dae957d475a19  120 of 477   androidx/preference/Preference
6a726059a8c9203b    5 of   5   org/totschnig/myexpenses/di/AppModule_ProvideTrackerFactory
b6041479cc91ac35   10 of  18   androidx/core/content/ContentValuesKt
dedcdd56bbcb9a9b   25 of  92   org/totschnig/myexpenses/model/AccountFlag
41e7e6787b72be36   14 of  44   androidx/fragment/app/FragmentActivity$HostCallbacks
bcc0269e57790ffc    2 of   7   org/totschnig/myexpenses/feature/Feature$DRIVE
7acc4e09ebd25df7    2 of  55   org/totschnig/myexpenses/util/TextUtils
0ac2ec9fd55b31e6    3 of   8   androidx/compose/ui/platform/ComposeViewContext$callback$1
944c254cdd172ef6    5 of  12   kotlinx/coroutines/Dispatchers
2e6205b3ccac4599    5 of   6   androidx/compose/ui/text/android/style/TypefaceSpan
228468ea960a5e83    3 of  16   androidx/compose/ui/res/ResourceIdCache
3de87c8e945777d8    3 of  12   androidx/room/InvalidationLiveDataContainer
359583ddbc1d68a4   30 of  48   androidx/lifecycle/FastSafeIterableMap
108b1918bbf05090    1 of   1   androidx/compose/ui/autofill/ContentDataType
add3979ca136998e    9 of  39   androidx/customview/poolingcontainer/PoolingContainer
324c0203d698442f    4 of  12   kotlinx/coroutines/sync/Mutex
4f749fc2436fd120   10 of  14   org/slf4j/impl/LoggerServiceProvider
7151ac16dfd6206b    4 of   7   kotlinx/coroutines/CoroutineDispatcher$Key
7b66be3e9b121cb6    4 of   4   androidx/compose/runtime/GapComposer$derivedStateObserver$1
3264f293ee5b8dae   80 of 219   org/totschnig/myexpenses/MyApplication
458a0300d8309db8    5 of   6   androidx/compose/ui/text/style/LineBreak$Strategy$Companion
