[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ReadYou-_0.16.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
aadbbfa3665c920a    5 of  14   me/ash/reader/infrastructure/preference/FlowTopBarTonalElevationPreference
0a76aa1c7214f350    3 of   4   androidx/compose/runtime/saveable/SaverKt$Saver$1
9a7a443d217a7e13   10 of  43   coil/compose/UtilsKt
de3b26c1a30d9ad8    1 of   4   androidx/core/text/HtmlCompat$Api24Impl
931d67ce2887dd66    1 of   6   androidx/compose/ui/node/LayoutNode$Companion$DummyViewConfiguration$1
0baea7771673fb98   10 of  14   androidx/compose/foundation/lazy/layout/AndroidPrefetchScheduler$Companion
2072d6349e9a69e8  379 of 1770   kotlinx/coroutines/channels/BufferedChannel
82bdf917ab2f91bd   11 of  11   androidx/lifecycle/ViewTreeViewModelStoreOwner
57f941c9254c1244    7 of   7   okhttp3/Handshake$peerCertificates$2
514de0331026e061    3 of  17   androidx/compose/ui/text/android/VerticalPaddings
2b24a185be5875c3    2 of   2   me/ash/reader/infrastructure/preference/SyncIntervalPreference$Every6Hours
091a0393e29cc92f   11 of 1098   kotlin/sequences/SequencesKt___SequencesKt
adb5ccd5de6a9e36   49 of 190   org/jdom2/input/SAXBuilder
786bc2b21c1d87f9    2 of   2   androidx/work/impl/model/WorkSpecDao_Impl$7
e18b25be29fd8c89    1 of   3   androidx/compose/animation/AnimatedVisibilityKt$AnimatedEnterExitImpl$4
58e4acb0089afd8c    2 of   2   okhttp3/Cache$Entry$Companion
8dbd280000f9e402    1 of   9   org/jsoup/parser/TokeniserState$26
cf65a4b04e5cc4c0    4 of  13   kotlinx/coroutines/sync/Mutex$DefaultImpls
1f8c3d175c4e1f9c   17 of 236   androidx/collection/ObjectList
6b3c76bc97922b5b    4 of   4   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$1$1
1d4445cf8e51d793    1 of   2   org/jsoup/parser/HtmlTreeBuilderState$23
628a270aa32ba7e7   18 of  30   androidx/compose/runtime/BroadcastFrameClock
271c501621b997ff    6 of  78   androidx/compose/foundation/lazy/layout/LazyLayoutBeyondBoundsProviderModifierNode
33c4031f7d9b6c0c   99 of 304   org/jdom2/input/sax/SAXHandler
3e937d2e729a306a    8 of  14   androidx/savedstate/compose/serialization/serializers/SnapshotStateListSerializer
4a80d407bb976444  100 of 510   androidx/compose/ui/text/SpanStyle
0cc9fa7939d3ce37    3 of  43   androidx/compose/material3/adaptive/layout/ThreePaneScaffoldHorizontalOrder
ac3349b20d2be9ff    2 of   2   me/ash/reader/infrastructure/preference/AmoledDarkThemePreference$OFF
760b118a6413a2c7    8 of  12   androidx/datastore/core/DataMigrationInitializer$Companion$getInitializer$1
36028ef9715b48f6    1 of   7   androidx/work/impl/WorkDatabase_AutoMigration_16_17_Impl
3a124fe79e59eafb    2 of   2   me/ash/reader/infrastructure/preference/ReadingTitleAlignPreference$Center
2164f3213219e106    4 of  10   androidx/compose/ui/text/style/LineBreak$Companion
0af682d77278db04   54 of 351   okio/RealBufferedSource
a8fe6d992126051c    1 of   3   androidx/compose/foundation/FocusableNode$applySemantics$1
5f26efdffa5cebc4    5 of   6   androidx/compose/ui/graphics/colorspace/RenderIntent$Companion
70e2ece5289815fd    4 of   4   androidx/compose/ui/layout/PinnableContainerKt$LocalPinnableContainer$1
8328bf6049c854e4    3 of   3   androidx/compose/material3/adaptive/layout/ThreePaneScaffoldState
b7ba9e115e843649    3 of   7   androidx/compose/ui/platform/ViewCompositionStrategy$DisposeOnDetachedFromWindowOrReleasedFromPool$installFor$listener$1
cb10a488dee75018    1 of   2   com/caverock/androidsvg/SVG$Svg
539ec05af10a03a4    1 of  41   androidx/compose/ui/text/font/PlatformTypefacesApi28
71127225d1d47389   17 of  32   androidx/compose/material3/ShapesKt$WhenMappings
1d8b2529f1f4283d   23 of  25   com/caverock/androidsvg/SVG$Style
ff392bcc63fd1663   18 of  46   net/dankito/readability4j/extended/processor/PostprocessorExtended
ff35b55ce3242821    2 of   7   me/ash/reader/infrastructure/preference/SortUnreadArticlesPreference$Earliest
9938657df5320819    4 of   4   androidx/compose/animation/AnimatedVisibilityKt$AnimatedVisibility$3$1
ceefbbb16da85999    6 of  30   okhttp3/CacheControl
a7d641294cf4eb7a    9 of  27   androidx/compose/ui/text/style/LineBreak$WordBreak
a24abc1eca9495b1    3 of   3   coil/compose/AsyncImagePainter$Companion
b349706c52d53082    2 of   2   androidx/compose/runtime/MonotonicFrameClock$Key
d7cc29ebf02d6f7f    8 of  12   androidx/sqlite/db/SimpleSQLiteQuery
e8a5dde19e182a29    2 of   7   me/ash/reader/infrastructure/preference/SwipeEndActionPreference$None
ee390a20cb0c4e60    1 of   2   androidx/work/impl/background/systemjob/SystemJobService$Api28Impl
0f61a6335fcfd7e7   18 of  22   androidx/room/TransactionExecutor
1ff58fa9baafcb88    6 of  26   androidx/navigation3/scene/SceneState
9f8d222a9956e571    2 of   2   me/ash/reader/infrastructure/preference/FlowArticleListFeedIconPreference$ON
7e6cbd775fca7d51    6 of  21   androidx/compose/foundation/lazy/LazyItemScopeImpl
c93d51d0dbe96285    1 of  10   retrofit2/Retrofit$1
06d8beb6cedcd730   60 of 152   androidx/compose/ui/graphics/vector/GroupComponent
85c43a7da46a9a54   33 of  61   androidx/compose/foundation/lazy/LazyListScrollPosition
fb9dea51f39523d1    1 of   3   androidx/compose/runtime/PrimitiveSnapshotStateKt
8360badfb6bbce8d    3 of   5   androidx/work/OneTimeWorkRequest
482b054e11f4fd1b   22 of 127   kotlin/jvm/internal/Intrinsics
d8a57c1adc0b593e   41 of 233   androidx/compose/ui/semantics/SemanticsPropertiesKt
4089cbb1a43dee8f    4 of   4   okhttp3/internal/http2/FlowControlListener$None
205da1849992f9c0    6 of  29   androidx/core/view/WindowInsetsControllerCompat
c08df17886cdf6b3   15 of  23   androidx/compose/ui/layout/InnermostInsetsRulers
656ed771b6f8c56a    5 of  35   kotlin/jvm/internal/PropertyReference
f51dadff61ee9881   10 of  20   androidx/compose/animation/core/AnimatableKt
c6ea35d42bcbb97b    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalAccessibilityManager$1
240aa2345f21d88e    2 of   2   me/ash/reader/infrastructure/preference/InitialFilterPreference$Starred
d7608215c42dd0cb   14 of  16   androidx/lifecycle/compose/ComposeLifecycleOwner
a46e3e9fa20e796a   28 of  86   me/ash/reader/infrastructure/android/AndroidApp
20bf6cf9a59aa84a   25 of 217   org/jsoup/select/QueryParser
7992e88a0d321dbd   14 of  19   androidx/navigation3/runtime/SaveableStateHolderNavEntryDecoratorKt
d1b56b5a78cfe3bc   13 of  15   androidx/compose/ui/graphics/vector/VectorComponent$drawVectorBlock$1
2ae73b76ccb53c82   12 of  46   org/jsoup/parser/HtmlTreeBuilderState$4
7b225334e150c8e1   17 of  37   androidx/compose/ui/text/font/FontSynthesis
99ea69526b4dda5d   60 of  95   androidx/compose/foundation/lazy/LazyListKt$rememberLazyListMeasurePolicy$1$1
3acdee8d90a7c54e    6 of 157   androidx/collection/MutableLongList
fcd794436d396404    8 of  35   com/rometools/rome/io/impl/RSS10Parser
47c67a78fe50e244  125 of 580   androidx/compose/ui/node/NodeChain
8b7a6b3d8e2a4fc6    2 of   2   coil/disk/RealDiskCache$Companion
36c5605b9cf7abc2   41 of  60   androidx/lifecycle/compose/RememberLifecycleOwnerKt
