[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Calculator-You-_v3.1.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
823a43000c015cb9    6 of  12   androidx/core/text/TextDirectionHeuristicsCompat
41723388b4c07fb9    5 of  15   androidx/fragment/app/FragmentManager$FragmentLifecycleCallbacks
f27e24e945c6aad5  359 of 2299   androidx/recyclerview/widget/RecyclerView
b52e0ffe3e343563    3 of  10   androidx/activity/ComponentActivity$2
0bc13cf51882ee31   67 of  91   org/javia/arity/Symbols
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
2a2fbd589e1d90e3    1 of   2   androidx/recyclerview/R$styleable
3c1341c682548e08    8 of  40   androidx/profileinstaller/ProfileVerifier$Cache
482b054e11f4fd1b    9 of 127   kotlin/jvm/internal/Intrinsics
bf67089bd528135e   19 of  21   com/forz/calculator/converter/data/EnergyConverter
76fba8f974821b0e    8 of  31   androidx/appcompat/widget/AppCompatPopupWindow
2af01e21b04bb50a    5 of   8   androidx/lifecycle/ViewModelProvider$Factory
c74dbeed9d926daa   44 of 102   com/forz/calculator/fragments/ScientificFunctionFragment
7c35993573ecf776    2 of  13   androidx/core/util/ObjectsCompat
958c6af3086d2688    4 of   6   androidx/recyclerview/widget/RecyclerView$Adapter$StateRestorationPolicy
5f10f9cc10ddaf9d    8 of 120   com/google/android/material/drawable/DrawableUtils
aa711b6d71d1816c    1 of   9   androidx/appcompat/app/ActionBar$LayoutParams
7fa2ede7914ed2a8    2 of  46   kotlin/sequences/SequencesKt__SequencesKt
81e9c1d2131d8283   21 of  70   com/forz/calculator/settings/Preferences
41d437336fd90899   24 of  31   com/forz/calculator/expression/ExpressionEditText
c22611cd8de0f7a2   27 of  29   com/forz/calculator/converter/data/VolumeConverter
1cdf2bda0aa17c15   21 of  68   com/google/android/material/resources/MaterialResources
27b37ff40ee31f16    2 of   3   androidx/appcompat/content/res/AppCompatResources
5b404f74a29f4f1c  257 of 598   androidx/constraintlayout/widget/ConstraintLayout
0b709cb3e2782c0c   10 of  17   androidx/fragment/app/SpecialEffectsController$3
e1f2a0dcbb88531c    2 of   3   androidx/interpolator/view/animation/FastOutLinearInInterpolator
3bcafebd4c5ac090    4 of   4   com/forz/calculator/fragments/MainFragment$onCreateView$8
57c0811c25423a57    3 of   9   androidx/viewpager2/widget/ViewPager2$2
e971e8e4ed2f9d71    1 of   2   androidx/viewpager2/widget/ViewPager2$PageAwareAccessibilityProvider$3
cead0785142034c5    2 of   2   androidx/fragment/app/FragmentManager$4
8ad0a19919bb933f    2 of   5   androidx/core/text/TextDirectionHeuristicsCompat$TextDirectionHeuristicLocale
78d534e2e06c6594   66 of 166   androidx/fragment/app/SpecialEffectsController
4bca276486c4b3be  149 of 208   com/forz/calculator/utils/NumberFormatter
82d22166e1e0ab81    9 of  14   kotlin/internal/jdk8/JDK8PlatformImplementations$ReflectSdkVersion
14f00145964e1a2d    2 of   2   androidx/savedstate/Recreator$Companion
3c9ffe1f33792021    2 of  46   kotlin/collections/MapsKt__MapsJVMKt
1086c5c8eb7e37eb   13 of  15   com/forz/calculator/converter/data/TimeConverter
1a45ea35417e00d2   12 of  87   androidx/core/view/MenuItemCompat
24da498945b9c936    7 of  15   com/google/android/material/textfield/EndCompoundLayout$2
1fbfe26e7d204910    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
2c67b393dedfe8c9    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
f723ca7021068db7   39 of 109   androidx/viewpager2/widget/ViewPager2$PageAwareAccessibilityProvider
33d32fd7b7bfc259    2 of 153   androidx/transition/Visibility
398ba2c154010eae    7 of   8   org/javia/arity/Declaration
7cb99f3a53ac41c8    2 of   3   kotlin/ranges/IntProgression$Companion
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
4bbb39a90f40a4b9   20 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
bb48a9fdf84630f3   39 of 292   androidx/appcompat/view/menu/MenuItemImpl
aa57db2718db33ae    1 of   1   androidx/fragment/app/FragmentLifecycleCallbacksDispatcher$FragmentLifecycleCallbacksHolder
be5e469d8e0b7ccd    1 of   4   androidx/profileinstaller/ProfileVerifier$CompilationStatus
eae45a54c09ee229    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
3832d5253924463a    8 of  14   androidx/emoji2/viewsintegration/EmojiEditTextHelper$HelperInternal19
8afdedd67e7d435d    3 of  19   androidx/core/util/Pools$SimplePool
4680bb8dc6ea89e9   13 of  26   androidx/viewpager2/widget/CompositeOnPageChangeCallback
5808e4c040c76e00    7 of  13   androidx/lifecycle/ProcessLifecycleOwner$attach$1
16158f3ec71e743a    1 of   2   androidx/recyclerview/widget/RecyclerView$3
ffe6da73a93416b5   12 of  16   com/google/android/material/textfield/EndCompoundLayout$EndIconDelegates
5b21e57ad3e0b7ac  135 of 648   androidx/recyclerview/widget/RecyclerView$LayoutManager
3ff47c86869a97f3    3 of   3   androidx/fragment/app/Fragment$2
8ec0914ef49d610f    2 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
7cbecc82d7bbcd9b   19 of  80   androidx/savedstate/SavedStateRegistry
6d60de30cfa4e6d7   14 of  51   com/google/android/material/ripple/RippleUtils
c6daec9591d8f1bf   13 of  40   androidx/emoji2/text/DefaultEmojiCompatConfig$DefaultEmojiCompatConfigFactory
2436556bead5f1a3   33 of 146   androidx/collection/LongSparseArray
bec1702e8b3747eb   17 of 172   androidx/core/graphics/ColorUtils
6e5f05cfec209d8c    7 of  46   androidx/recyclerview/widget/LinearLayoutManager$AnchorInfo
328ae926d3c3fa50   12 of  93   androidx/recyclerview/widget/PagerSnapHelper
2a64d711e58232b6   12 of  18   androidx/appcompat/widget/AppCompatEmojiEditTextHelper
a9bc06c21233af0f    5 of   5   com/forz/calculator/fragments/UnitConverterFragment$updateUnitAutoComplete$$inlined$sortedBy$1
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
24475c2bb148bb61    2 of  34   androidx/lifecycle/ViewModel
aea4d070f7066395    3 of  28   kotlin/io/CloseableKt
74a59e5be6e9d65c   14 of  20   androidx/lifecycle/viewmodel/ViewModelProviderImpl
fc495ee156cc1e2f    2 of   6   androidx/activity/ViewTreeOnBackPressedDispatcherOwner
abbb5ad27445c77e    1 of   8   androidx/recyclerview/widget/RecyclerView$AdapterDataObserver
cb06bdf6d7fe3b57    2 of   7   androidx/viewpager2/widget/ViewPager2$DataSetChangeObserver
a5163efcc1d47061   43 of  87   com/forz/calculator/MainActivity
c76a17886452b6ef    7 of  38   androidx/recyclerview/widget/LinearLayoutManager$LayoutState
3092dfda4fbaaa92    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
f58ae9260ecc5000    1 of   2   androidx/profileinstaller/ProfileInstallerInitializer$Handler28Impl
3578f9a835decb66   18 of  25   androidx/appcompat/widget/ActionMenuPresenter$OverflowMenuButton
b1bebdf64b63dd41    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
fcd37ec86278320f    2 of   2   com/forz/calculator/settings/Preferences$Companion
676e047d2622775d   49 of 171   androidx/viewpager2/widget/ScrollEventAdapter
2542bc99dc22af96    1 of   5   androidx/appcompat/widget/ResourceManagerInternal$ColorFilterLruCache
f96cdca83911eeba    4 of  41   androidx/core/os/TraceCompat
7b204e4edf530052    2 of   9   com/google/android/material/shape/ShapePath$LineShadowOperation
84bde0f7628f84b5   34 of 112   androidx/fragment/app/FragmentActivity
b6cdcf3b049f8718    2 of   8   com/forz/calculator/fragments/MainFragment$sam$androidx_lifecycle_Observer$0
d866053a6843f76e    4 of  25   androidx/emoji2/text/SpannableBuilder$WatcherWrapper
00772508a266e56d   24 of  39   com/google/android/material/tabs/TabLayoutMediator
7c66432204c151f1   15 of  31   androidx/fragment/app/SpecialEffectsController$FragmentStateManagerOperation
b2521537b6f56be5    1 of   2   androidx/recyclerview/widget/RecyclerView$EdgeEffectFactory
e95af69030ace511    1 of  16   kotlin/internal/jdk7/JDK7PlatformImplementations
