[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Currencies-_1.23.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
5ebd133a6bc63794    5 of   5   de/salomax/currencies/util/SharedPreferenceFloatLiveData
70aefaed86624df8    6 of  10   androidx/constraintlayout/widget/ConstraintLayout$1
5455552c51a37100    3 of   3   kotlin/random/FallbackThreadLocalRandom$implStorage$1
e3e3d2e8c5b63d66    3 of  30   kotlin/collections/AbstractList
a8977f42cbb475ba   28 of  94   androidx/swiperefreshlayout/widget/CircularProgressDrawable$Ring
93021669a8c07c77    1 of  26   kotlin/reflect/jvm/internal/KPropertyImpl$_javaField$1
2b2341cfb2b4b185    5 of 205   androidx/fragment/app/DialogFragment
b149d34c378dbc68    1 of  43   de/salomax/currencies/model/provider/NorgesBank
1fbfe26e7d204910    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
2c67b393dedfe8c9    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
d2bad2285d1adc60    2 of  36   kotlin/collections/AbstractCollection
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
58fab761cabb2cc9    4 of   5   androidx/constraintlayout/core/widgets/ConstraintAnchor$Type
4bbb39a90f40a4b9   18 of  26   com/google/android/material/theme/overlay/MaterialThemeOverlay
7e4594847b024832    1 of   9   com/google/android/material/snackbar/BaseTransientBottomBar$7
cee6de9730a2e92a    5 of   7   kotlin/reflect/jvm/internal/KClassImpl$Data$simpleName$2
66070d0314619e9b    8 of   8   kotlinx/coroutines/internal/SystemPropsKt
de8ff8c6554e5af8    2 of   6   kotlinx/coroutines/internal/LimitedDispatcherKt
bb48a9fdf84630f3   69 of 292   androidx/appcompat/view/menu/MenuItemImpl
a8d379ad0ba148dd    4 of  49   de/salomax/currencies/view/main/spinner/SearchableSpinnerAdapter
4fc49e2c60e2130e    1 of   5   androidx/fragment/app/DialogFragment$3
e1e8a4601cc99b4b    2 of  12   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ShadowAnimatorImpl
2517e5656d4e1f31    2 of   4   androidx/lifecycle/ViewModelProvider$Factory$Companion
6c2b9b703c45b10c   13 of  18   kotlin/coroutines/jvm/internal/ContinuationImpl
a8e0b39b6854d13d    1 of   2   com/github/kittinunf/fuel/core/requests/SuspendableRequest$executeRequest$1
a257e71ec0afd7f4    1 of   1   kotlinx/coroutines/internal/AtomicKt
