[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Breezy-Weather-_v5.2.8-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
eb75deecf20a43a7    3 of  61   org/breezyweather/background/updater/interactor/GetApplicationRelease
7a15cc1c03e5b6fb    1 of   6   androidx/compose/ui/node/LayoutNode$Companion$DummyViewConfiguration$1
b328802267aa0170    4 of   4   androidx/compose/runtime/tooling/InspectionTablesKt$LocalInspectionTables$1
9df1c8d3242a1aec    6 of   9   androidx/compose/foundation/relocation/ScrollIntoView__ScrollIntoViewRequesterKt$scrollIntoView$2
594bc3c520ec7b8b    1 of   1   androidx/fragment/app/FragmentManagerImpl
6bfeb9d4849cbc94   11 of  24   androidx/compose/ui/CombinedModifier
af6b41756331c6c9    3 of  16   androidx/compose/runtime/AtomicInt
c36856da1b633bd0    2 of   2   androidx/compose/ui/graphics/colorspace/ColorSpace$Companion
1c9234f381072f9b    2 of  19   org/breezyweather/common/ui/widgets/slidingItem/SlidingItemTouchCallback$Companion
0af717193cc069e0   28 of  32   org/breezyweather/theme/compose/day/ThemeKt
8e6201d1961cbe3f   12 of  25   org/breezyweather/databinding/FragmentHomeBinding
3330b5b44c6329fc    2 of   2   androidx/compose/ui/graphics/layer/GraphicsLayer$Companion
a8c0b07578181b31    4 of  23   androidx/work/impl/constraints/trackers/NetworkStateTracker24
44b0c1c618a8d9ea   13 of  16   org/breezyweather/main/fragments/ComposableSingletons$ManagementFragmentKt$lambda-3$1
2d1c6b6f76fc9f08    1 of   4   androidx/hilt/work/HiltWorkerFactory
f9e435fb6edfae47    1 of   8   androidx/room/RoomOpenHelper$Delegate
e2a4dd26c9088dc1    4 of  21   kotlinx/coroutines/internal/SegmentOrClosed
39ce344989fdb155    5 of   7   androidx/compose/ui/graphics/AndroidCanvas_androidKt
c310a49915cfcbed    6 of   8   androidx/compose/material3/ScaffoldDefaults
57a968770cd01224    4 of  11   androidx/compose/ui/platform/DragAndDropModifierOnDragListener$modifier$1
920cd2343f332bde   13 of  22   androidx/compose/animation/core/AnimationVector1D
ecbe9440c9bb3869    3 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
b73a71c1820a23fa    1 of   4   androidx/compose/runtime/snapshots/SnapshotKt$mergedReadObserver$1
83a5f93d7251234f    2 of   5   androidx/work/impl/DefaultRunnableScheduler
41bd4e378f4fcdaa    9 of  12   org/breezyweather/common/basic/models/options/DarkMode$Companion
c67c583c57d987a4   55 of  89   androidx/compose/ui/node/AlignmentLines
07c3003270248978   10 of  11   androidx/compose/runtime/changelist/Operations$OpIterator
8b4dcc6a2ff84ef1   24 of  35   androidx/compose/ui/graphics/AndroidPaint
2dcd920937a758b2    5 of  32   androidx/collection/FloatFloatPair
7cf311e8eb449c95    8 of  41   androidx/compose/material3/ShapesKt
98088ed656396dbe   71 of  96   androidx/compose/runtime/DerivedSnapshotState$ResultRecord
03ce07bb34e10837    2 of  96   org/breezyweather/sources/naturalearth/NaturalEarthService
af7febbe53bc96f8    2 of   3   breezyweather/data/Alerts$Adapter
da36c0ef8400b221    7 of  56   androidx/compose/animation/core/AnimationSpecKt
d3ce1987c0dff3c4    3 of   3   androidx/compose/foundation/FocusablePinnableContainerNode$retrievePinnableContainer$1
748a627a05120123   12 of  13   androidx/lifecycle/Lifecycle$State
dbebfb9ce67dacd2    2 of   4   androidx/core/content/ContextCompat$Api23Impl
dcf3f1e9da10f9b2    8 of  12   breezyweather/data/AndroidDatabaseHandler$awaitList$2
96e292734f4a1c52    3 of   3   app/cash/sqldelight/driver/android/AndroidSqliteDriver$execute$1
fd015f7de2e386a4    5 of  92   androidx/compose/ui/graphics/AndroidBlendMode_androidKt
385cf1006141893d    5 of  85   androidx/recyclerview/widget/ViewInfoStore
5fc7dd28d3879b85    9 of  85   org/breezyweather/main/fragments/ManagementFragment$ContentView$2
