[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Orgzly-Revived-_v1.8.27beta.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
5b9b7f12f6b582a2    3 of   4   kotlin/jvm/internal/CallableReference$NoReceiver
be9e19428ff4b4d3   32 of  45   com/google/android/material/textview/MaterialTextView
09bec2c789511594    4 of   4   com/orgzly/android/ui/views/richtext/RichTextView$parseAttrs$1
5dd1c6ca9d457ce3    1 of   1   kotlinx/coroutines/flow/internal/AbstractSharedFlowSlot
cc4434f3d1f0847f    5 of   5   kotlin/sequences/GeneratorSequence
6624b1fa6af3b4b7    2 of  55   androidx/drawerlayout/widget/DrawerLayout$AccessibilityDelegate
abe50e6cd8aa338e   38 of  84   androidx/cardview/widget/CardView
45b44ddbceaf779c    1 of   6   androidx/drawerlayout/widget/DrawerLayout$1
0ca0162a4cf4edcc    5 of  53   com/orgzly/android/db/dao/ReminderTimeDao$NoteTime
e43246c675e1c31e    1 of   3   androidx/appcompat/widget/ActionMenuView$ActionMenuPresenterCallback
6d5f845695cf6b68    4 of   6   androidx/work/impl/utils/futures/AbstractFuture$SafeAtomicHelper
8076857130b15b71    7 of  20   com/orgzly/android/db/entity/Note$Companion
21175616abd6129c   10 of  27   kotlinx/coroutines/channels/AbstractChannel$ReceiveHasNext
cb74e01c042d98bb    1 of   4   androidx/core/text/HtmlCompat$Api24Impl
462ae8d61d6575de   17 of  32   com/orgzly/android/sync/SyncState$WhenMappings
dae5e4d9fed9e1c7   57 of 254   androidx/constraintlayout/core/widgets/Chain
a846ab872770239e    1 of   2   com/orgzly/android/db/PreRoomMigration$MIGRATION_142_143$1
de3dde3d8568d86e    6 of   6   androidx/recyclerview/widget/DefaultItemAnimator$3
6a97f4c3950d5003    1 of   6   androidx/room/RoomOpenHelper$Delegate
92df094bcb1af952    2 of   4   com/google/android/material/progressindicator/DrawingDelegate
c4fb74b0b2f13102    2 of 117   org/joda/time/chrono/BaseChronology
2028c285b3bcd9d9   42 of 140   androidx/appcompat/app/AppCompatActivity
09bdf207e7e567b4   18 of 113   androidx/dynamicanimation/animation/DynamicAnimation
e13ed418b28cd1ca    2 of   7   com/orgzly/android/query/user/DottedQueryParser$sortOrders$10
823f222845dc166b    1 of   4   com/orgzly/android/db/PreRoomMigration$MIGRATION_148_149$1
031af4820b13ef95   65 of 302   androidx/work/impl/utils/futures/AbstractFuture
a648cfd2d2c39082    6 of 133   org/joda/time/tz/DateTimeZoneBuilder
1c2fec7c5cb7e31e    1 of   2   com/orgzly/android/db/dao/NoteDao_Impl$19
193db44406d3dd0c   31 of 180   androidx/constraintlayout/core/widgets/ConstraintAnchor
36fa1cbbd809caec    1 of   5   androidx/core/widget/ImageViewCompat$Api21Impl
5d72a4ff40e6e674    2 of   5   androidx/recyclerview/widget/DiffUtil$CenteredArray
6dca194e8988a325    1 of   7   com/google/android/material/stateful/ExtendableSavedState$1
af73c4c50542a5d7    9 of  45   com/orgzly/android/usecase/UseCaseResult
3597a45c64223dbf   31 of  57   org/mozilla/universalchardet/prober/SBCSGroupProber
161d6dde5017163f    6 of  14   kotlinx/coroutines/flow/FlowKt__DistinctKt
61fd240e53c3a3d6    5 of   6   androidx/fragment/app/DefaultSpecialEffectsController$1
ccdf1e13fdbdf1ec   17 of 118   com/orgzly/android/ui/views/richtext/RichTextView
cf468517b8ba0734   18 of  37   androidx/lifecycle/ProcessLifecycleOwner
34d4263fa6728afd    2 of   3   androidx/core/util/ObjectsCompat$Api19Impl
116527a1ff69fbb6    1 of   1   org/joda/time/base/BaseLocal
be706f833d9f8023   18 of  69   androidx/work/impl/model/WorkProgressDao_Impl
9e34a0f52aa3a5f0   11 of  12   androidx/lifecycle/RepeatOnLifecycleKt$repeatOnLifecycle$3$1$1$1
b95fca46af967d9b    5 of 130   kotlin/collections/CollectionsKt__MutableCollectionsKt
e44cc78a8a5063ef    1 of   4   com/orgzly/android/db/dao/OrgRangeDao_Impl$3
afb71a237949a1ce    1 of   2   androidx/appcompat/widget/Toolbar$2
753a775dbf9e6c69   18 of  85   androidx/cardview/widget/RoundRectDrawable
a6e231a0afb7fd79    9 of  13   kotlinx/coroutines/scheduling/TasksKt
89d787a7a8fbcd7e  112 of 229   com/orgzly/android/ui/notes/NoteItemViewBinder
f08b5c1e8e33af33   56 of 203   androidx/activity/ComponentActivity
6146a0258854664d    1 of  62   com/orgzly/android/db/dao/BookDao_Impl$2
d356634941fc7468    1 of   2   androidx/lifecycle/ViewModelProvider$OnRequeryFactory
089708d5bffbc35d    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$ViewHolder
d197d56eae794fcf    1 of   5   androidx/dynamicanimation/animation/DynamicAnimation$1
bc2753ae5c5a16ef    1 of  14   androidx/work/impl/constraints/controllers/NetworkConnectedController
56fea9b3d6ef154d    4 of  37   com/orgzly/android/ui/AppSnackbar
f8ac931b41a9e7d3    5 of  28   com/orgzly/android/db/NotesClipboard$Companion
a812efdae1f02e26    8 of  26   com/orgzly/android/sync/AutoSync
74459c7771d208ec    6 of   7   androidx/work/impl/WorkDatabase$2
b73440b38d68efe6    3 of   3   androidx/work/Worker
79c33606f36a5111   11 of  22   androidx/work/WorkerFactory
d2a8b22b6339b43c    2 of   3   com/google/android/material/progressindicator/IndeterminateAnimatorDelegate
7b02ef4149893fa2    1 of  38   org/joda/time/base/AbstractDateTime
a3762867985e4588    3 of   6   androidx/lifecycle/ViewModelProvider$Factory
3b6c92dd1b05173c    2 of  12   com/google/android/material/floatingactionbutton/FloatingActionButtonImpl$ShadowAnimatorImpl
ef21be43fcff84e3    3 of   5   com/orgzly/org/parser/OrgNode
0b21de17d9a6d164   67 of 113   com/google/android/material/shape/ShapePath
f1030c7fa88ff1c4  143 of 301   com/google/android/material/card/MaterialCardViewHelper
2f25416bc3b2a348    2 of   2   com/orgzly/android/db/dao/BookViewDao$Companion
28000751748bb6de    3 of 104   org/joda/time/convert/StringConverter
0ab9c965f434bc89    5 of  21   org/joda/time/field/PreciseDurationField
8a678778153bea57    1 of   5   androidx/appcompat/widget/SearchView$2
af75051626f90613    6 of  26   com/orgzly/android/db/entity/BookAction
ff6ee9c54470c012    1 of  10   androidx/lifecycle/ViewTreeLifecycleOwner
d9f89462fb55d13d    4 of  10   androidx/collection/ArraySet$1
f905553b0a07bd12   13 of  19   com/orgzly/org/parser/OrgParser$Builder
9d83869573c3dd1b   20 of  46   com/orgzly/org/OrgFileSettings
cf68dcf7a21adc51    3 of   4   com/google/android/material/internal/ViewUtils$4
81a18b302308b809    3 of  13   androidx/emoji2/viewsintegration/EmojiKeyListener
8221054860b620c8   15 of  87   androidx/appcompat/widget/SearchView$SearchAutoComplete
22947606e23fbc97  128 of 467   com/orgzly/android/ui/books/BooksFragment
491266520ca5ba1f   18 of  48   androidx/preference/MultiSelectListPreference
8ca05a52613ed12f    1 of   7   com/orgzly/android/ui/books/BooksAdapter$onBindViewHolder$1$4
973f15efb48f0939    6 of   8   com/google/android/material/shape/MaterialShapeDrawable$MaterialShapeDrawableState
f46123e768327012    1 of   2   com/orgzly/android/ui/views/richtext/RichTextView$singleTapUpDetector$1
aeb7ddc489b298ee    2 of   5   androidx/appcompat/widget/TooltipCompat
44dfcdbad8487b5c    3 of  20   kotlinx/coroutines/NodeList
7eb31eab040e4556   52 of 140   androidx/core/content/res/ResourcesCompat
200227aa58dc5df9    3 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
431327a9cfea6fa0   29 of  74   androidx/core/view/KeyEventDispatcher
1789f30071cba205   14 of  24   com/orgzly/android/db/mappers/OrgTimestampMapper$WhenMappings
05b0eb3d5eece150    4 of   5   androidx/fragment/app/Fragment$6
983c9f2656400bb5   61 of 388   com/google/android/material/bottomappbar/BottomAppBar
c51f4175af53e108    1 of   5   com/orgzly/android/ui/sync/SyncFragment_MembersInjector
2f487cb8845e0319    8 of  29   org/mozilla/universalchardet/prober/GB18030Prober
1111d40dcf26ff52   39 of 132   com/orgzly/android/db/entity/Book
3223803585d9f7e8   17 of  33   androidx/cardview/widget/CardViewApi21Impl
8040d9c3f35c64ee    3 of  57   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate$ItemDelegate
d8df80af3f5f1b76    1 of   5   com/orgzly/android/SharingShortcutsManager_MembersInjector
cfaa5b3ab7d717f2    1 of   2   androidx/activity/result/contract/ActivityResultContract
0d29afec0e1da9c4   89 of 118   com/orgzly/org/parser/OrgSaxyParser
ca70297a9a19c092    6 of  19   androidx/appcompat/widget/DialogTitle
7cdc67561bb66ee7   15 of  29   androidx/work/impl/model/PreferenceDao_Impl
238c38b27d3074cc    2 of   3   androidx/core/os/TraceCompat$Api18Impl
d41a7e4f123747b4    2 of   2   androidx/room/RoomTrackingLiveData$3
9cf207aee3d775f1    7 of  33   org/mozilla/universalchardet/prober/contextanalysis/JapaneseContextAnalysis
2562112c9c614eb3    2 of   2   com/orgzly/android/ui/notes/ItemGestureDetector$Companion
17679f801ff634af   10 of  37   org/joda/time/chrono/BasicYearDateTimeField
ade96d37b4311be3    2 of   4   com/orgzly/android/reminders/NoteReminders$getNoteReminders$1
85eb41d3298f1821    4 of   4   com/google/android/material/card/MaterialCardViewHelper$1
87d9bcb6c68531a6    1 of   1   com/google/android/material/internal/StateListAnimator$Tuple
a11130924f852eaa    2 of   9   com/orgzly/android/query/user/DottedQueryParser$conditions$3
7bc676b94b305887   35 of 112   org/mozilla/universalchardet/UniversalDetector
44c72c82fda9571b   55 of 113   androidx/preference/PreferenceInflater
82dad8bd9f17fd31   31 of 127   com/google/android/material/dialog/MaterialAlertDialogBuilder
d3244b36f20b9dfa   74 of 377   com/orgzly/android/db/OrgzlyDatabase_Impl$1
3c5335e3900d846c   22 of 151   androidx/fragment/app/FragmentManagerViewModel
b0697c726d76e614   61 of  98   com/orgzly/android/ui/books/BooksAdapter
c0313f30ef1da595    1 of   5   androidx/appcompat/widget/SearchView$3
af8752f5edf31b96    2 of   4   com/google/android/material/internal/ContextUtils
027252fe7d4e63ac    1 of   5   androidx/work/impl/WorkDatabaseMigrations$2
4dabd8d9ebe2cb8d   33 of 125   androidx/fragment/app/FragmentActivity
3b00a8f82e72651b    1 of   5   androidx/work/impl/constraints/trackers/BroadcastReceiverConstraintTracker$1
aa1df5589b280ca2    8 of  16   kotlinx/coroutines/flow/internal/SafeCollector_commonKt$checkContext$result$1
a1b1e9b4f895a9dc    7 of  92   kotlinx/coroutines/JobKt__JobKt
0e79d83aacdeb43f    8 of 669   androidx/constraintlayout/core/widgets/analyzer/DependencyGraph
9e9ada5382e69f92   14 of  34   androidx/appcompat/widget/ViewUtils
07643b944ee36223    4 of   4   com/orgzly/android/ui/views/richtext/RichText$parseAttrs$1
3ffd3546df853ac4    2 of  38   androidx/core/view/ViewCompat$AccessibilityPaneVisibilityManager
61a5d9d0849b481e    1 of   8   androidx/core/view/ViewParentCompat$Api21Impl
e7334f3952381b5d    1 of   2   androidx/coordinatorlayout/R$styleable
f49f584743effdd2    6 of  12   androidx/recyclerview/widget/RecyclerView$ItemAnimatorRestoreListener
9536f101fc91b14e   10 of  81   androidx/appcompat/app/AppCompatDelegateImpl$AppCompatWindowCallback
50d471ee079e4b7c    2 of   2   org/mozilla/universalchardet/prober/sequence/Latin5BulgarianModel
b5f9333fe446ce86   41 of 214   androidx/work/Data
c5d02cc71ba91d9e    1 of   5   kotlin/jvm/internal/FunctionReferenceImpl
1efd54842154ebf9    4 of  33   androidx/core/view/MarginLayoutParamsCompat
112d79a0ae65f455    1 of   2   com/orgzly/android/db/dao/NoteEventDao_Impl$5
61d57e877ebb1493    8 of  23   com/google/android/material/appbar/ViewOffsetHelper
94b25ff5291f6d97   96 of 219   com/orgzly/android/db/OrgzlyDatabase_Impl
3d5e7103a4110dfd    4 of  17   com/orgzly/android/util/OrgFormatter$parseDrawers$1
0a192887a59e794c    1 of  18   com/orgzly/android/db/dao/DbRepoBookDao_Impl$1
aed22020bd9441cd    4 of  10   androidx/core/graphics/drawable/DrawableCompat$Api21Impl
