[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Notes-_1.7.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
1fbfe26e7d204910    1 of  10   androidx/appcompat/widget/Toolbar$LayoutParams
c80a05c5768142ac   11 of  61   androidx/lifecycle/viewmodel/internal/ViewModelImpl
2c67b393dedfe8c9    2 of   3   androidx/appcompat/app/AppCompatDelegateImpl$5
d8d41a13bd1a8e37    2 of   2   androidx/activity/ComponentActivity$Companion
6dc7b8ee7c69c0aa   22 of 101   kotlinx/coroutines/intrinsics/UndispatchedKt
5486676b53a599a5    1 of   2   androidx/viewpager/widget/PagerTabStrip$1
9ec98ae98a6587ab    2 of  95   com/google/android/material/appbar/HeaderBehavior
827111b502462874    8 of  23   com/google/android/material/appbar/ViewOffsetHelper
f813546d98bfbd39    7 of   7   com/google/android/material/shape/MaterialShapeDrawable$2
af5955c6f202a967    2 of   2   kotlin/collections/builders/SetBuilder$Companion
2bd4298b5266a1c5    1 of   4   androidx/room/InvalidationTracker$implementation$1
bb48a9fdf84630f3   75 of 292   androidx/appcompat/view/menu/MenuItemImpl
5096497908a97346    8 of  14   org/fossify/notes/models/NoteType$Companion
93717bfc18c80a47    3 of   7   org/fossify/commons/extensions/AppKt
b537e0f19a7dc5be    4 of   4   org/fossify/commons/helpers/BaseConfig$Companion
63c681d9bf5cb74b   26 of  32   com/google/android/material/shape/ShapePath$PathArcOperation
7ed4f49952c10a87    5 of  11   com/google/android/material/animation/AnimationUtils
6d61a5550b98f1a2    2 of   2   kotlin/SafePublicationLazyImpl$Companion
9025ecef67eab12e    1 of   5   androidx/fragment/app/FragmentTransaction$Op
24fb3a517f6f03d4    6 of  21   androidx/room/util/SQLiteStatementUtil__StatementUtilKt
5862a5d13e7921df   37 of 381   kotlin/collections/ArrayDeque
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
e372ff673127af29    1 of  39   androidx/room/EntityDeleteOrUpdateAdapter
8ec0914ef49d610f    4 of   4   androidx/arch/core/executor/DefaultTaskExecutor$1
b8adf0a24123fb0d    2 of  23   androidx/room/util/SQLiteStatementUtil__StatementUtil_androidKt
e04a4cf1c67340ef   11 of  46   androidx/core/view/ViewCompat$Api21Impl
e21a1bf6063415f1    7 of  10   kotlinx/coroutines/ThreadLocalEventLoop
da597eca354aebf3    1 of   2   androidx/fragment/app/FragmentManager$7
66e7976ca4207780    3 of  12   androidx/room/InvalidationLiveDataContainer
c0da8612d6c53226   30 of  84   androidx/fragment/app/SpecialEffectsController$Operation
fb6b5cfd5d7868c3    1 of   2   androidx/room/TriggerBasedInvalidationTracker$notifyInvalidation$1
b01ebf4d9f753209    1 of  24   androidx/core/view/SoftwareKeyboardControllerCompat$Impl20
45fab3b5627cc603   50 of 169   androidx/emoji2/text/EmojiCompat
52ac5b2090c1fb7d    1 of   2   androidx/emoji2/viewsintegration/EmojiKeyListener$EmojiCompatHandleKeyDownHelper
9e7e2eb36feedd14    3 of   7   org/fossify/commons/activities/AppLockActivityKt
af356adc8c999347    5 of   7   kotlinx/coroutines/UndispatchedMarker
32ad858a8381ce9b    1 of   5   kotlinx/coroutines/internal/Symbol
1ecb836c2a421dda    7 of  61   androidx/core/app/ComponentActivity
bdf0199154eb82ca    6 of 209   kotlin/jvm/internal/TypeIntrinsics
2a64d711e58232b6   12 of  18   androidx/appcompat/widget/AppCompatEmojiEditTextHelper
0570809fb621b98c   10 of  16   androidx/activity/OnBackPressedCallback$OnBackPressedEventHandler
5531be0be3b452cc    1 of   3   androidx/profileinstaller/ProfileInstaller$1
