[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Droid-ify-_v0.7.6-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
b301aac85783bf9c    7 of  23   androidx/collection/internal/LruHashMap
70aefaed86624df8    6 of  10   androidx/constraintlayout/widget/ConstraintLayout$1
ca5906d594ac09fa    6 of  17   androidx/room/util/SQLiteConnectionUtil
0d69355adf1a86f3    7 of  21   kotlinx/coroutines/flow/internal/CombineKt$combineInternal$2$1
deeff0a75f6560f7    2 of   6   okhttp3/internal/connection/RouteSelector$Companion
4a02a745dcb1602a    1 of   1   androidx/lifecycle/LifecycleRegistry_androidKt
408d25931be9ff2b    6 of 112   okhttp3/internal/http/HttpHeaders
eba98c86043652c5    2 of   8   kotlin/coroutines/jvm/internal/RestrictedSuspendLambda
57cb40bfa299f432    8 of  14   com/looker/droidify/Droidify$updatePreference$1$3$invokeSuspend$$inlined$get$1$2
fedbe1f3ac8e2246    1 of   5   kotlinx/coroutines/internal/Symbol
f6f657fa13e1f30d    1 of   4   com/looker/droidify/MainActivity$onCreate$1
9b5a99ef20b6b3e2   36 of  62   com/looker/droidify/database/QueryLoader
7b3f4c7a1ba70d00    1 of   1   com/looker/droidify/Droidify_HiltComponents$ActivityC
e5d1845a8653563b   60 of 120   androidx/work/impl/background/greedy/GreedyScheduler
fe5ede3e24c0d543    4 of  23   androidx/work/impl/constraints/controllers/NetworkMeteredController
2d18bf5669a27a05   17 of  22   androidx/work/impl/background/greedy/TimeLimiter
d8d41a13bd1a8e37    2 of   2   androidx/activity/ComponentActivity$Companion
843e3a9559a866ee   10 of  52   androidx/work/PeriodicWorkRequest$Builder
fd6fc5f80077790e    1 of   2   kotlinx/coroutines/flow/FlowKt__LimitKt$drop$2$1$emit$1
4832a7cc2a505441   17 of 182   kotlinx/coroutines/flow/FlowKt__ReduceKt
1be13cddd1a4c769    2 of   7   com/looker/droidify/content/ProductPreferences$init$2$1
7795a986f6e3e902    2 of   4   androidx/loader/app/LoaderManager
93c4d094629f703b    2 of   4   kotlin/time/InstantJvmKt
c00adc8b2e14536c    6 of  13   androidx/activity/result/ActivityResultRegistry$LifecycleContainer
4090682afc1a655a    9 of  15   androidx/datastore/preferences/protobuf/FieldType$1
af5955c6f202a967    2 of   2   kotlin/collections/builders/SetBuilder$Companion
880d247ebf803208    8 of  12   androidx/datastore/core/DataMigrationInitializer$Companion$runMigrations$2$1$1
2bd4298b5266a1c5    4 of   4   androidx/room/InvalidationTracker$implementation$1
8eea4cac98e33b5a    2 of   2   androidx/datastore/preferences/PreferenceDataStoreFile
b22b391c0fd2d6e5    3 of  10   com/looker/droidify/sync/SyncPreferenceKt
84d5ebc461b89caa    1 of   6   androidx/work/impl/WorkerWrapperKt$awaitWithin$2$1
92b50f8d4c555369    2 of   2   okhttp3/ConnectionSpec$Companion
d878cb46205b9161   22 of  34   dagger/hilt/android/internal/managers/FragmentComponentManager
15d6e7c3ecb9aca9   11 of  99   kotlinx/coroutines/JobKt__JobKt
