[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Cofi-_v1.21.5-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
4dd08e090c500eba    4 of   5   androidx/compose/ui/node/DrawModifierNodeKt
08d879daec923caa    1 of   2   androidx/lifecycle/ViewModelProvider$OnRequeryFactory
1a2e8561701c6e69    1 of   9   androidx/compose/ui/layout/ContentScale$Companion$Inside$1
fbb0b71df58c981a  127 of 255   androidx/compose/animation/AnimatedContentKt
c45c9e70bc804797    1 of   1   androidx/compose/ui/node/DrawModifierNode
e8f302a7dde8d680   11 of  19   com/omelan/cofi/pages/settings/CommonKt
8759837faa1def7a    2 of  12   com/google/android/gms/common/internal/service/zap
6bf0cbca0bbeaac3    2 of   2   androidx/fragment/app/FragmentManagerViewModel$1
eee4109d0a0eb53f   82 of  91   com/omelan/cofi/components/ListInfoBoxKt$RecipeListInfoBox$1$1
d933162b7f86b1d2   50 of 177   androidx/compose/ui/graphics/vector/FastFloatParserKt
8356829dec0eec8b    1 of   3   androidx/compose/material3/TextKt$ProvideTextStyle$1
a4932e72f5cd7e63    1 of  38   androidx/compose/ui/node/NodeCoordinator$Companion$PointerInputSource$1
e4b4465c3a5b39e2    1 of   8   kotlinx/coroutines/flow/SharingStartedKt
692af2c2998b8332    1 of   3   androidx/emoji2/text/EmojiCompat$InitCallback
8255b15f2bce3997  111 of 221   androidx/compose/ui/graphics/ColorKt
760b118a6413a2c7    8 of  12   androidx/datastore/core/DataMigrationInitializer$Companion$getInitializer$1
97d50538833bb080    2 of   4   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$LocalSavedStateRegistryOwner$1
2c254c556c726d5a    3 of   3   androidx/compose/runtime/internal/ComposableLambdaImpl$invoke$1
4bb14fe39b8b5ebb    2 of  19   com/omelan/cofi/share/model/RecipeDao
57692d29680f132d    4 of 238   androidx/collection/LongSparseArray
ad176c0d8cbe4cc2    1 of   7   androidx/compose/runtime/ParcelableSnapshotMutableIntState$Companion$CREATOR$1
18aa35c27950d550    1 of   6   androidx/work/InputMergerFactory
d0ebf8fd35f65c88    6 of  12   androidx/datastore/core/DataStoreImpl$data$1$updateCollector$1
e14da0ccd9dc9936    4 of   4   androidx/compose/ui/text/font/FontFamilyResolverKt
ae07ce17868aa7eb    4 of   5   androidx/compose/ui/layout/LayoutIdModifier
636860e792c2703e    6 of  18   androidx/compose/ui/BiasAlignment$Horizontal
39b667b8c55bda23    5 of 228   androidx/compose/ui/text/caches/SimpleArrayMap
fec334918fd7a4fc   10 of  14   com/omelan/cofi/share/DataStore$getStepChangeSoundSetting$$inlined$map$1$2
ae2d5cd243f2d073    3 of   3   androidx/compose/runtime/Recomposer$readObserverOf$1
8514b60e9bf8899c    9 of  27   com/omelan/cofi/utils/WearUtils$sendDataToWearOS$1
bed47c1ac470473e    1 of   1   com/google/android/gms/internal/wearable/zzak
4e0fa040313e1ef2    4 of   7   androidx/compose/ui/graphics/ImageBitmapConfig$Companion
f91d17a0923afd02   11 of  27   com/omelan/cofi/share/DataStore
ee7d145ddb77e0df    1 of   2   androidx/fragment/app/FragmentManager$3
4adcd666234e1e7d   14 of  35   androidx/datastore/core/DataStoreImpl$InitDataStore$doRun$initData$1$api$1
482b054e11f4fd1b   20 of 127   kotlin/jvm/internal/Intrinsics
93f9ac4022587c6b   14 of  18   androidx/compose/runtime/Recomposer$performRecompose$1$1
88a7a9ec0682c642    5 of  24   androidx/compose/foundation/FocusablePinnableContainerNode
158083117255e54b    1 of   3   androidx/compose/foundation/gestures/DragGestureNode$_canDrag$1
802b5f79dfab4169   28 of  28   com/omelan/cofi/share/model/AppDatabase$Companion$getInstance$1$instance$1$1
a429e902d8e4945e   30 of  90   androidx/compose/material3/TonalPalette
6703acb23a269004   18 of  29   androidx/compose/ui/platform/AndroidUiFrameClock
27ee95436663f55d  387 of 1784   androidx/compose/material3/AppBarKt
f8bc8a625e40ed08    9 of  16   kotlinx/coroutines/flow/internal/ChannelFlowTransformLatest
7517bb01bca6932b    2 of   8   androidx/compose/material3/TopAppBarState$Companion$Saver$2
b1c1010829659830    4 of   4   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$2$1
44db88589f27d23b   73 of 154   androidx/compose/foundation/layout/BoxKt
db7d5a7a6937a990    1 of   3   androidx/compose/ui/graphics/vector/VectorComponent$1
abdcee32be2a1a65   16 of  39   com/google/android/gms/common/internal/GmsClient
5d7b7d254cd88d24    1 of   1   androidx/compose/ui/Alignment
e176af085dd5f20f    1 of   3   androidx/compose/ui/platform/AndroidUiFrameClock$withFrameNanos$2$1
224bcd4a2e0a40ad    3 of   3   androidx/compose/foundation/layout/UnspecifiedConstraintsNode$measure$1
c69df33fa613d216   18 of  43   androidx/compose/ui/graphics/drawscope/Stroke
813593c2e80c5b52  160 of 381   androidx/compose/foundation/lazy/layout/LazyLayoutItemAnimator
d4da2a295c6bc332    1 of   2   androidx/work/impl/model/WorkSpecDao_Impl$15
d44a093e0bf7f72f   10 of  22   com/omelan/cofi/share/model/StepDao_Impl
e29a20d9f2f6d118    2 of   6   androidx/appcompat/app/AppLocalesMetadataHolderService
87542d675ca9572a   75 of  85   androidx/compose/material3/AppBarKt$TwoRowsTopAppBar$6
b4c5cb6b7341ad5d   11 of  40   androidx/compose/foundation/ClickableElement
ce8f22cbc80345f4    3 of  21   androidx/compose/ui/text/input/TextInputService
02aef0d7fbe92824    4 of   4   androidx/compose/material3/RippleKt$LocalRippleConfiguration$1
d0bc5712e9bfefa7    3 of   3   androidx/compose/ui/platform/AndroidComposeView$focusOwner$1
ea47e92ee7c4c514  133 of 1121   androidx/compose/runtime/changelist/ChangeList
69c94d974af00f14    5 of   8   kotlinx/coroutines/CoroutineContextKt$hasCopyableElements$1
cb21ac7377fef111    5 of  12   kotlinx/coroutines/ResumeAwaitOnCompletion
ac181508bc4024ef    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalDensity$1
1806e6dcfbde84c4   12 of  20   kotlin/SynchronizedLazyImpl
74de84190f239e27    5 of  12   androidx/compose/runtime/changelist/Operation$Remember
6a5286374c7f61d3    4 of  78   androidx/compose/ui/graphics/vector/VectorGroup
f1c1f9ad16f1bf56    7 of  21   androidx/compose/ui/semantics/SemanticsModifierKt
66811327aa077e6d   17 of  96   androidx/compose/ui/graphics/vector/VectorPath
c87b69cbfd5c7d21    2 of   3   com/google/android/gms/common/api/Api$AbstractClientBuilder
5a74368337c85aed    2 of   2   androidx/compose/ui/ComposedModifier
37118d5ee1b03a2c    5 of  16   kotlin/collections/CollectionsKt__ReversedViewsKt
9c4becba30b66190   14 of  65   androidx/compose/ui/input/pointer/PointerEvent
1186428021587389    4 of   9   androidx/compose/foundation/layout/Arrangement$Center$1
a0427e16e979d6f4    5 of  31   androidx/compose/ui/platform/AndroidClipboardManager
4bcf933e04697d43   31 of  95   androidx/room/InvalidationTracker$refreshRunnable$1
