[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/SkyTube-_v2.999-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
69b081ca13ff8ebc    1 of   3   shark/ObjectInspectors$Companion$createLeakingObjectFilters$2$1
5f10f9cc10ddaf9d    8 of 120   com/google/android/material/drawable/DrawableUtils
ccae27c3c206542c    5 of   9   androidx/lifecycle/SavedStateHandleAttacher
d302552554d99bca    3 of   3   androidx/activity/OnBackPressedDispatcher$addCallback$1
6d28f9ccbe0b452d    2 of   2   shark/ReferencePattern$JavaLocalPattern$Companion
9538578c7b30173d    2 of   6   androidx/lifecycle/ViewTreeLifecycleOwner
f2471bfa0e2d8dc8    6 of  13   com/sothree/slidinguppanel/SlidingUpPanelLayout$LayoutParams
6c74cefd35d3d1a7    9 of  18   androidx/constraintlayout/core/Pools$SimplePool
b95cabd8aff42e53    5 of  16   com/bumptech/glide/load/model/DirectResourceLoader
f2dda1272712d318   74 of 168   okhttp3/internal/http2/Http2Stream
fe6064304f8b2481    1 of  12   com/google/gson/internal/bind/TypeAdapters$24
55c6691f3a714056    2 of  26   com/google/android/material/appbar/AppBarLayout$BaseBehavior$SavedState
28ecc5a7533e6f14    2 of   4   leakcanary/AndroidDebugHeapDumper
bef5a09bd9e900c8   17 of  20   com/bumptech/glide/load/Option
bd1dcf52745f14d8    2 of   2   androidx/fragment/app/FragmentManager$4
656ed771b6f8c56a    3 of  35   kotlin/jvm/internal/PropertyReference
ade5f8ecd98522b4    1 of   5   androidx/appcompat/widget/Toolbar$1
9e42b92c69ade2fe   26 of  70   androidx/recyclerview/widget/RecyclerView$RecycledViewPool
75949eeb28ecbcc4   10 of  46   free/rm/skytube/gui/businessobjects/updates/UpdatesChecker
0d5d65156a20d636    5 of  30   com/google/android/gms/internal/cast/zzad
c96c655ab109c603    2 of  10   shark/AndroidReferenceMatchers$GESTURE_BOOST_MANAGER$add$1
12689870b86f3e18   62 of 144   okhttp3/internal/http2/Http2Reader
105e7f00e4fdfc4b    2 of   2   com/bumptech/glide/module/LibraryGlideModule
25aedbd559b20004    1 of   3   leakcanary/internal/activity/db/Io$execute$1
634ff82f23afef11    2 of  21   com/bumptech/glide/load/engine/executor/RuntimeCompat
b71a472802fabc2f    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/zh_CN
9cb78df289a19e31   22 of  39   okhttp3/internal/http2/Settings
416f10b7f432413f    2 of  14   org/schabi/newpipe/extractor/services/youtube/linkHandler/YoutubeTrendingGamingVideosLinkHandlerFactory
39daa24c4ac51716    2 of   2   androidx/fragment/app/FragmentManager$8
e295e8e5a4e376d8    4 of   4   org/schabi/newpipe/extractor/timeago/patterns/es
be973e89534afcb4    2 of   7   androidx/mediarouter/media/MediaRouteProviderProtocol
e6573588dd16cdaa   13 of  19   androidx/mediarouter/media/SystemMediaRouteProvider$JellybeanMr2Impl
