[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/FirefoxLite-2.1.20-_5085-rebuilt_/coverage.ec.
0c472537ffd9d1cc    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvideSaveListToPreferenceUseCaseFactory
d8381c3761698000    2 of   8   org/mozilla/rocket/content/news/di/NewsModule_ProvideTrackNewsItemsShownUseCaseFactory
557a4ecfc81bcac8   12 of 970   org/mozilla/focus/telemetry/TelemetryWrapper
3821bbbbb443d4be    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvideStorageHelperFactory
74946238922fe9e4    2 of   2   org/mozilla/focus/telemetry/TelemetryWrapper$CaptureCountMeasurement$Companion
e87752dd40167fd6    2 of  15   org/mozilla/rocket/chrome/di/ChromeModule_ProvideChromeViewModelFactory
c15cc81be9abff86    2 of  35   org/mozilla/rocket/home/di/HomeModule_ProvideHomeViewModelFactory
592f769c673dbde0    2 of   8   org/mozilla/rocket/shopping/search/di/ShoppingSearchModule_ProvidePreferencesShoppingSiteUseCaseFactory
aa6f4a537dcda69f    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideIsMsrpAvailableUseCaseFactory
f69c05af95c7ef8e    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideTravelBucketListViewModelFactory
29e37a50d87f34b6    2 of  22   org/mozilla/rocket/abtesting/LocalAbTesting$activeExperiments$2
052ed55f3348a242    1 of   3   org/mozilla/focus/utils/AdjustHelper
1ec6b2ef5a7dc329    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideSetOnboardingHasShownUseCaseFactory
d853d3a717380fb2    2 of   8   org/mozilla/rocket/content/travel/di/TravelModule_ProvideGetBucketListUseCaseFactory
0d1f4eb6934b819d    2 of   8   org/mozilla/focus/persistence/di/TabsModule_ProvideTabModelStoreFactory
3608c40f85fd7e7b    2 of  10   org/mozilla/rocket/msrp/di/MissionModule_ProvideRefreshMissionsUseCaseFactory
f05fb0ef51fef0ca    1 of  13   org/mozilla/focus/search/SearchEnginePreference
4042f2b4ea644d16    4 of  82   org/mozilla/rocket/content/ExtentionKt
4897e5d4d83104f4   34 of  34   org/mozilla/focus/telemetry/TelemetryWrapper$init$2
61f93aa1a33c33ec    1 of   5   org/mozilla/focus/locale/LocaleManager$1
0a87415832ae52f9    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideReadContentHubItemUseCaseFactory
c281184611b470f9    2 of   8   org/mozilla/rocket/home/di/HomeModule_ProvideIsShoppingButtonEnabledUseCaseFactory
fd3623b78dd8ced3    6 of  32   org/mozilla/focus/notification/NotificationUtil
6182eb3d578e22bd    4 of  34   org/mozilla/focus/provider/DownloadInfoProvider
8ccd28453e7bbb7e    2 of   5   org/mozilla/rocket/abtesting/LocalAbTesting$isNewUser$2
a03639cc8637d45c    2 of   8   org/mozilla/rocket/chrome/di/ChromeModule_ProvidePrivateModeFactory
