[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/LibreTorrent-_3.5.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
bfac6e14f48a7d8a    1 of   2   org/libtorrent4j/alerts/Alerts$34
c5c017496c7211c5    1 of   5   androidx/recyclerview/selection/FocusDelegate$1
0e14373005dafc74    3 of  25   org/libtorrent4j/swig/file_completed_alert
3f2bf0c7a83a737d    5 of   5   io/reactivex/internal/operators/flowable/FlowableSubscribeOn
164ba015b942b709    1 of   2   org/libtorrent4j/alerts/Alerts$11
62b83e06e88fb629    1 of   2   io/reactivex/internal/functions/Functions$FalsePredicate
ecbe9440c9bb3869    9 of  29   androidx/recyclerview/widget/RecyclerView$AdapterDataObservable
83a5f93d7251234f    2 of   5   androidx/work/impl/DefaultRunnableScheduler
447f0953a8d4064a    1 of   2   org/libtorrent4j/alerts/Alerts$55
93276b5caaa5c446   11 of  27   org/libtorrent4j/swig/dht_log_alert
7cf5ede4e52e145d    1 of   2   org/libtorrent4j/alerts/Alerts$4
89c0c86a459e1bcb    1 of   2   org/libtorrent4j/alerts/Alerts$44
54c813093419b9a7   19 of  68   org/libtorrent4j/SettingsPack
4147ff7e1ee6eaae    1 of   2   androidx/fragment/app/Fragment$1
f761188fc1961978    1 of   7   org/proninyaroslav/libretorrent/core/storage/dao/TorrentDao_Impl$2
6488540ceb07ecbe    1 of   2   org/libtorrent4j/alerts/Alerts$70
44da415933494880   94 of 380   androidx/appcompat/widget/AppCompatTextHelper
f77da7edf5dc8dfd    1 of   4   androidx/lifecycle/LiveData$1
65d696fd8d3e42c9    2 of   7   androidx/appcompat/widget/ToolbarWidgetWrapper$1
da372f74a9a636dc  184 of 775   org/proninyaroslav/libretorrent/core/model/session/TorrentSessionImpl
a80df74e49fab162    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$NavigationMenuHeaderItem
810234b527a42659   14 of  30   androidx/room/RoomSQLiteQuery$Companion
46be42f48acaab1c    4 of   7   androidx/sqlite/db/framework/FrameworkSQLiteStatement
58b02c262e5ff40b    1 of   8   com/leinardi/android/speeddial/SpeedDialView$5
41d35f49c4f119b0    1 of  32   org/acra/collector/SharedPreferencesCollector
8a5b934532345273    1 of   3   androidx/recyclerview/selection/OperationMonitor$1
56da18ed3074b804    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$HeaderViewHolder
748a627a05120123   11 of  13   androidx/lifecycle/Lifecycle$State
dbebfb9ce67dacd2    1 of   4   androidx/core/content/ContextCompat$Api23Impl
385cf1006141893d   19 of  85   androidx/recyclerview/widget/ViewInfoStore
753a775dbf9e6c69   32 of  85   androidx/cardview/widget/RoundRectDrawable
773c9711b408dcba    1 of   4   androidx/core/view/animation/PathInterpolatorCompat$Api21Impl
b0d2e2d50c0db24e   18 of  48   androidx/emoji2/viewsintegration/EmojiTextViewHelper$HelperInternal19
0a2d9746c780f42e    2 of   9   androidx/concurrent/futures/AbstractResolvableFuture$Waiter
