[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/CPU-Info-_android6.6.2-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
fc3e18ae060d20d0    1 of  14   androidx/compose/ui/unit/LinearFontScaleConverter
d5cad42ca8a62b0d    3 of  68   androidx/compose/ui/util/MathHelpersKt
da011ba60922aad4    4 of   4   org/jetbrains/compose/resources/ResourceEnvironmentKt$getResourceEnvironment$1
b3f6b58dd008b425    5 of   5   androidx/compose/animation/CrossfadeKt$Crossfade$4$1
ebfece83de0a592f    1 of   3   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$3
4bddd0192efc3767    1 of   2   androidx/compose/material3/RippleNodeFactory$create$colorProducer$1
a16c42057edfdfd4   10 of  31   androidx/compose/runtime/snapshots/StateListIterator
ab532422d0315d23    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalTextToolbar$1
080e9f773370666f    6 of   6   androidx/compose/ui/node/OwnerSnapshotObserver$clearInvalidObservations$1
2af108abb7ff57ce    5 of  84   androidx/compose/ui/layout/SubcomposeSlotReusePolicy$SlotIdsSet
de106f5f7c40cf62   11 of  26   androidx/compose/ui/text/style/TextIndent
245a2ce6c1830b4e   11 of  19   androidx/compose/runtime/CompositionObserverHolder
bf6a747897b81ed8    6 of  14   androidx/core/view/ViewCompat$Api21Impl$1
fdae25d377954d9a    1 of   1   androidx/compose/runtime/RecomposeScopeImplKt
f7e66e29cbaa5010    3 of   3   androidx/compose/ui/text/platform/ImmutableBool
03f93abd66c0ddf3    7 of   8   com/kgurgul/cpuinfo/data/provider/CpuDataNativeProvider
d38f961b87a5404a   27 of  99   androidx/compose/ui/focus/FocusInvalidationManager
408d42314488e4b4   14 of  34   androidx/compose/animation/core/VectorizedInfiniteRepeatableSpec
7d8e53830f4463c8    5 of  20   kotlin/text/MatcherMatchResult
cf398f1e5c6c1ec3   16 of  52   androidx/compose/ui/unit/IntOffset
eb0838804daa9ca9    1 of  50   androidx/compose/runtime/collection/ScatterSetWrapperKt
