[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/AlarmClock-_3.15.04-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
81c00dfa983ad500    1 of   2   ch/qos/logback/core/pattern/util/AsIsEscapeUtil
31c9a45d21adcd3a    2 of   9   androidx/core/view/MarginLayoutParamsCompat$Api17Impl
0b5608634a4a487a    1 of   5   kotlinx/coroutines/internal/Symbol
ad9154d42eb7c6fa    7 of  18   io/reactivex/internal/operators/observable/ObservableDistinctUntilChanged$DistinctUntilChangedObserver
ff30a176e2348578   18 of  79   ch/qos/logback/core/FileAppender
eed12a5987bd923e    8 of  10   org/acra/prefs/SharedPreferencesFactory$Companion
26650ca0b090735e   10 of 101   com/google/android/material/internal/ViewUtils
7f07511fed9aa28e   10 of  14   kotlinx/coroutines/scheduling/TasksKt
43650c25ac9f6ad3   68 of 112   com/better/alarm/model/DaysOfWeek
762d5b2cfbccffc0   15 of  31   kotlin/collections/EmptyMap
0237ac288d766267    3 of   8   ch/qos/logback/core/pattern/PatternLayoutEncoderBase
7217cee03aa76f41    5 of   7   kotlin/sequences/TransformingSequence
12a75b726032d8f5    5 of   5   com/better/alarm/presenter/AlarmsListActivity$configureTransactions$1
c088aba1e610342a   29 of 198   org/koin/core/Koin
552626c2e8f55205   17 of  20   com/better/alarm/stores/SharedRxDataStoreFactory
e08196e786540927    4 of   4   com/better/alarm/presenter/AlarmsListFragment$special$$inlined$globalInject$default$4
5168ee3804493a01    1 of   2   com/google/android/material/shape/ShapeAppearancePathProvider$Lazy
3a96b4eb76b4a9d0    2 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
de0270025a0a6d10    1 of  10   com/google/android/material/bottomsheet/BottomSheetBehavior$StateSettlingTracker$1
c3eca5bbf650a11a    2 of  13   kotlinx/coroutines/flow/internal/SafeCollector_commonKt
5572b39a43d1cc27    1 of   2   kotlinx/coroutines/flow/FlowKt__ReduceKt$first$$inlined$collectWhile$2$1
dae2d77d95cab94a   30 of 105   io/reactivex/internal/operators/observable/ObservableCombineLatest$LatestCoordinator
3051a1f76f3bc7bc   14 of  54   ch/qos/logback/core/AsyncAppenderBase
25c56ef014ce2eda    2 of   4   androidx/activity/result/contract/ActivityResultContracts$RequestMultiplePermissions$Companion
ba85a2d173c94abc    1 of   2   androidx/customview/widget/ViewDragHelper$1
03064aedfdf12538    4 of  25   androidx/core/view/AccessibilityDelegateCompat$AccessibilityDelegateAdapter
65830ee121b713f6    2 of   2   androidx/activity/result/contract/ActivityResultContracts$StartActivityForResult$Companion
24705cd9209e6113   98 of 625   androidx/appcompat/widget/LinearLayoutCompat
