[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/ClockYou-_v11.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
0e516aeb9f066a84    8 of  10   androidx/lifecycle/LifecycleRegistry$Companion
514de0331026e061    3 of  17   androidx/compose/ui/text/android/VerticalPaddings
dc758fcc477445f1    4 of   5   androidx/compose/ui/focus/Focusability$Companion
b10467a4b402b3e2   10 of  10   com/bnyro/clock/data/database/AppDatabase
b7af7ea9ae3cd67a   27 of  71   androidx/compose/animation/TransitionData
e18b25be29fd8c89    1 of   3   androidx/compose/animation/AnimatedVisibilityKt$AnimatedEnterExitImpl$4
6329067e5ee4aaf1    9 of  30   kotlinx/coroutines/CoroutineScopeKt
af487bc389dd9c14    5 of   5   com/bnyro/clock/domain/repository/TimezoneRepository$getTimezonesForCountries$$inlined$sortedBy$1
f7b375bc175cd415    3 of   9   androidx/activity/ComponentActivity$3
4d8184ff7b8943b0    3 of   3   com/bnyro/clock/presentation/screens/permission/PermissionModel$Companion
cbb4a3615f69c6fb    3 of   3   androidx/compose/ui/layout/SubcomposeLayoutState$setMeasurePolicy$1
1f8c3d175c4e1f9c   12 of 236   androidx/collection/ObjectList
6b3c76bc97922b5b    4 of   4   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$1$1
e23a54fe2d7edaf1    9 of  24   androidx/core/app/NotificationChannelCompat$Api26Impl
628a270aa32ba7e7   18 of  30   androidx/compose/runtime/BroadcastFrameClock
271c501621b997ff    6 of  78   androidx/compose/foundation/lazy/layout/LazyLayoutBeyondBoundsProviderModifierNode
ee98783df2d20539    2 of   6   com/bnyro/clock/data/database/AppDatabase_AutoMigration_5_6_Impl
6001310f01ed21ad    2 of   7   kotlin/coroutines/jvm/internal/CompletedContinuation
23f27b3585b13c25    8 of  11   androidx/lifecycle/ViewModelProvider$NewInstanceFactory
66cdc0550aa9fd65    2 of   2   kotlinx/coroutines/flow/FlowKt__ChannelsKt$emitAllImpl$1
4a80d407bb976444   56 of 510   androidx/compose/ui/text/SpanStyle
fb5ad239819c59aa    4 of  15   androidx/compose/ui/node/LayoutModifierNodeKt
ee219854969c31bf    2 of   3   androidx/lifecycle/viewmodel/CreationExtras$Empty
800e458b93b62764    3 of   3   androidx/compose/foundation/text/modifiers/InlineDensity$Companion
f4e61682959ac6a7    3 of   8   androidx/lifecycle/ViewModelProvider$Factory
2164f3213219e106    4 of  10   androidx/compose/ui/text/style/LineBreak$Companion
a8fe6d992126051c    1 of   3   androidx/compose/foundation/FocusableNode$applySemantics$1
628064dc64bb13b9    4 of   4   androidx/activity/compose/LocalOnBackPressedDispatcherOwner$LocalOnBackPressedDispatcherOwner$1
b0db54fd5a776f31   39 of  71   kotlinx/coroutines/channels/BufferedChannelKt
c903c98daf387ed6    2 of   4   androidx/compose/ui/text/input/TextInputServiceAndroid$onImeActionPerformed$1
37e7b0992b9cfd82  297 of 1249   androidx/compose/runtime/SlotWriter
c50df107576b3201    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalSoftwareKeyboardController$1
5f26efdffa5cebc4    5 of   6   androidx/compose/ui/graphics/colorspace/RenderIntent$Companion
70e2ece5289815fd    4 of   4   androidx/compose/ui/layout/PinnableContainerKt$LocalPinnableContainer$1
c1c1edbbb7674a7e   14 of  25   kotlinx/coroutines/AbstractCoroutine
132a93ae3e19cff9    3 of   3   androidx/compose/ui/text/input/ImeOptions$Companion
b7ba9e115e843649    3 of   7   androidx/compose/ui/platform/ViewCompositionStrategy$DisposeOnDetachedFromWindowOrReleasedFromPool$installFor$listener$1
203aeebbd7c2582a    1 of   1   androidx/lifecycle/SavedStateHandleSupport$special$$inlined$Key$3
a5a1bcd1c95f4146   16 of  76   androidx/compose/animation/AnimatedEnterExitMeasurePolicy
539ec05af10a03a4   12 of  41   androidx/compose/ui/text/font/PlatformTypefacesApi28
c110dbe58abec127    2 of   7   androidx/compose/foundation/pager/PagerStateKt$EmptyLayoutInfo$1
a5fb06785e431cae    4 of   6   androidx/compose/material3/FabPosition$Companion
37a7adab5f71d412    2 of   2   kotlinx/serialization/descriptors/StructureKind
bcf4056c094141a9    1 of   3   androidx/compose/ui/input/nestedscroll/NestedScrollNode$updateDispatcherFields$1
ff2f3bad19123ce1    3 of   3   androidx/lifecycle/SavedStateHandleSupport$savedStateHandlesVM$1
a7d641294cf4eb7a    9 of  27   androidx/compose/ui/text/style/LineBreak$WordBreak
b349706c52d53082    2 of   2   androidx/compose/runtime/MonotonicFrameClock$Key
5b33384b755f8755    9 of 269   androidx/compose/foundation/ClickableKt
fa0cf3511dcda5e3    7 of  53   androidx/compose/foundation/lazy/layout/LazyLayoutPrefetchState
0f61a6335fcfd7e7    4 of  22   androidx/room/TransactionExecutor
e8075ccf96d2f360    3 of  16   androidx/compose/runtime/Applier
486ec86c8b83dafc   35 of 202   androidx/compose/runtime/changelist/ComposerChangeListWriter
7b487efe16d2021b    5 of  99   androidx/compose/ui/graphics/ColorSpaceVerificationHelper
787fff971d61cb08    3 of  12   kotlinx/coroutines/flow/SharedFlowSlot
06d8beb6cedcd730   62 of 152   androidx/compose/ui/graphics/vector/GroupComponent
b52e0ffe3e343563    3 of  10   androidx/activity/ComponentActivity$2
d539d355610f76e4    2 of   2   androidx/concurrent/futures/AbstractResolvableFuture$AtomicHelper
fb9dea51f39523d1    1 of   3   androidx/compose/runtime/PrimitiveSnapshotStateKt
8a7c85d92ed460f9    6 of   9   kotlin/jvm/internal/ArrayIterator
482b054e11f4fd1b   19 of 127   kotlin/jvm/internal/Intrinsics
d8a57c1adc0b593e   45 of 233   androidx/compose/ui/semantics/SemanticsPropertiesKt
b608fdaaeac690ee    1 of   7   androidx/compose/animation/core/VectorizedDurationBasedAnimationSpec
205da1849992f9c0    6 of  29   androidx/core/view/WindowInsetsControllerCompat
c08df17886cdf6b3   15 of  23   androidx/compose/ui/layout/InnermostInsetsRulers
5a0f522c72d94b77    4 of  68   androidx/compose/animation/EnterExitTransitionElement
656ed771b6f8c56a    5 of  35   kotlin/jvm/internal/PropertyReference
f51dadff61ee9881   13 of  20   androidx/compose/animation/core/AnimatableKt
782fa8f44b36aa60   84 of 247   androidx/compose/ui/platform/GraphicsLayerOwnerLayer
99679f80aee85981   16 of  53   androidx/compose/ui/unit/Dp
c6ea35d42bcbb97b    2 of   4   androidx/compose/ui/platform/CompositionLocalsKt$LocalAccessibilityManager$1
1a7ef44460f7ff43    3 of  90   androidx/compose/foundation/gestures/snapping/SnapFlingBehavior
a429e902d8e4945e   30 of  90   androidx/compose/material3/TonalPalette
e34ff677975703fe   13 of  22   androidx/navigation/NavController$NavControllerNavigatorState
be2d8e30817660fd    7 of  12   com/bnyro/clock/navigation/NavRoutes$AlarmPicker
0f3a43373e0fc39e    2 of   4   androidx/compose/animation/EnterExitTransitionKt$TransformOriginVectorConverter$1
d1b56b5a78cfe3bc   13 of  15   androidx/compose/ui/graphics/vector/VectorComponent$drawVectorBlock$1
080b264250f7af23    2 of   8   kotlin/collections/AbstractMutableMap
0e54ca2e7b5c8eb9    2 of  18   androidx/compose/ui/platform/AndroidViewConfiguration
0d5a599e70df7584    4 of  18   androidx/compose/runtime/SkippableUpdater
774bc1d391c8e6cf    4 of   9   androidx/navigation/NavArgument$Builder
764499bff0a01efe    3 of   4   androidx/compose/foundation/gestures/snapping/SnapPosition$Start
c85ef9b7c185d1ca    8 of  15   com/bnyro/clock/ui/MainActivity$serviceConnection$1
939412c13069609a    8 of  14   androidx/emoji2/text/EmojiCompat$ListenerDispatcher
7b225334e150c8e1   13 of  37   androidx/compose/ui/text/font/FontSynthesis
3acdee8d90a7c54e    1 of 157   androidx/collection/MutableLongList
02016adfb530fc44    6 of   7   kotlin/collections/builders/MapBuilder$KeysItr
a18190075a2f3a18   22 of  45   androidx/compose/ui/graphics/drawscope/CanvasDrawScope$DrawParams
a79f4af90bbd8769    2 of  14   androidx/compose/ui/graphics/vector/PathNode$HorizontalTo
9e67b1818feb61b9   14 of  27   androidx/compose/ui/unit/TextUnitType
998dea6a6239e06b   40 of 1488   androidx/compose/ui/node/DelegatableNodeKt
d6e6cf3f031e3b72    6 of   8   androidx/compose/ui/platform/HapticDefaults
157168b6c723cb5e    6 of   8   androidx/lifecycle/viewmodel/compose/LocalViewModelStoreOwner_androidKt
503bd9e58f2c2748    7 of   8   androidx/compose/ui/platform/AndroidUiFrameClock$withFrameNanos$2$callback$1
35036491e229c200    8 of  10   androidx/lifecycle/ProcessLifecycleInitializer
06d9784b7f595076   14 of 472   androidx/collection/ObjectFloatMap
ef2156c553666b3c    6 of  36   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper
a9ffe937d0ae21a6    2 of   4   androidx/compose/runtime/MonotonicFrameClock
c75a669c4628762e    4 of  26   androidx/compose/foundation/layout/UnspecifiedConstraintsElement
54d4b169aa10de6f    1 of   1   kotlinx/coroutines/flow/SharingStarted
29da04db2c7610b4    2 of   4   androidx/compose/ui/node/ComposeUiNode$Companion$SetDensity$1
a7f667f7f61fa7dd   10 of  12   kotlinx/coroutines/flow/internal/ChannelFlowTransformLatest$flowCollect$3$1$2
2b3f5ff912ab47a9   27 of 445   androidx/compose/ui/graphics/BezierKt
96e0cb81bfa5c300   42 of  82   androidx/compose/ui/graphics/vector/PathParser
a446add44af282a7    5 of   9   androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1$4$1
3ad09f9f78105c96   32 of  69   androidx/compose/foundation/layout/BoxMeasurePolicy
19b0c8b7aaacda62    5 of   7   kotlin/sequences/TransformingSequence
e65e79a0f79459a0   13 of  26   kotlin/sequences/FilteringSequence$iterator$1
91036bfcc1dd7ae9  160 of 244   androidx/compose/ui/node/NodeKindKt
4fa36d4f214db26a    4 of  22   androidx/navigation/NavBackStackEntryState
1641ede81e4ac42d   13 of  70   androidx/core/app/NotificationChannelCompat
16637bcd8ef21292   22 of  52   kotlinx/coroutines/flow/StateFlowSlot
6291d75e509ed481   16 of  28   androidx/compose/runtime/SnapshotStateKt
c138a6d45cf3bace   24 of  39   androidx/navigation/compose/NavHostKt$NavHost$33$1
03a37df3fa09358a    5 of  23   androidx/compose/ui/text/platform/URLSpanCache
4cfb41abae31b2b7    4 of  21   kotlinx/coroutines/Job$DefaultImpls
b301aac85783bf9c    7 of  23   androidx/collection/internal/LruHashMap
88be828c890762e3    4 of  12   androidx/compose/ui/text/android/BoringLayoutFactoryDefault
2ce95db15c0cac83   88 of 349   androidx/compose/ui/text/android/TextLayout
7dab130b8a78d503   46 of 2080   androidx/compose/ui/platform/AndroidComposeViewAccessibilityDelegateCompat
833e3b4e5d1fc4b3    6 of   7   kotlinx/coroutines/internal/FastServiceLoaderKt
f09be23cf933ea48    1 of   8   kotlinx/coroutines/EventLoopImplPlatform
b1c7af478461bb3c    1 of  11   kotlinx/coroutines/channels/ProducerCoroutine
7444cfee935bb92f    2 of  27   androidx/compose/foundation/gestures/ScrollableNestedScrollConnection
4292341c20631732    3 of   5   androidx/compose/ui/draw/AlphaKt
67d0fc5de38709ea   26 of  65   androidx/compose/runtime/snapshots/SnapshotDoubleIndexHeap
3a9fff5d1b856fa7    3 of   8   androidx/compose/ui/Modifier$Companion
319eb7ed89d9be4a    3 of   5   androidx/compose/ui/FrameRateCategory$Companion
7eca230ac89cc4bd    2 of   2   androidx/compose/ui/draganddrop/DragAndDropNode$Companion
815f6e0c2e2f909d    3 of   3   androidx/compose/ui/text/TextRange$Companion
24891d4e6eec96cf    7 of  12   androidx/compose/ui/node/MeasureAndLayoutDelegate$WhenMappings
