[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/TranslateYou-_v19.0-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
3362345a7ddafb19    8 of  24   kotlinx/coroutines/flow/FlowKt__LimitKt$dropWhile$1$1
06a95e7131a06b7c    4 of   7   androidx/compose/ui/text/font/FontStyle$Companion
896529272b5a091f    3 of  47   retrofit2/converter/scalars/ScalarsConverterFactory
3acf83d2aee2d5f7    1 of   6   androidx/compose/animation/EnterExitTransitionKt$shrinkVertically$2
ca2f8087f4b1dc11    5 of   5   com/jakewharton/retrofit2/converter/kotlinx/serialization/DeserializationStrategyConverter
3f043de935b1f555    8 of  43   kotlin/collections/CollectionsKt__CollectionsJVMKt
77c6acb7d0792901   67 of 189   androidx/collection/MutableIntObjectMap
bd54d2039462f93c  120 of 256   okhttp3/internal/http/RealInterceptorChain
0f6b05d491cc597f    4 of   5   androidx/compose/ui/platform/WrapperRenderNodeLayerHelperMethods
5ba648cc533fe258    3 of   3   androidx/compose/runtime/external/kotlinx/collections/immutable/implementations/persistentOrderedSet/PersistentOrderedSet$Companion
24fb3a517f6f03d4    6 of  21   androidx/room/util/SQLiteStatementUtil__StatementUtilKt
0513bde9d77fed97    3 of   3   androidx/compose/ui/node/MeasurePassDelegate$performMeasureBlock$1
2e973896f341c755    7 of  19   androidx/compose/foundation/text/contextmenu/modifier/TextContextMenuGestureNode
2b017aafed1b3ea2   28 of  38   androidx/compose/animation/AnimatedContentKt$AnimatedContent$6$1$5
36233e9d27ad2d0a   21 of 163   androidx/profileinstaller/DeviceProfileWriter
b577d22d297bcc3b    9 of 857   okio/internal/-Buffer
e372ff673127af29    1 of  39   androidx/room/EntityDeleteOrUpdateAdapter
2a0682a607fdcd79    5 of  58   androidx/compose/ui/layout/ScaleFactor
5eb70ed98638147c    2 of   8   androidx/compose/ui/platform/AndroidFontResourceLoader
f34a3b39ea72c02b    1 of  62   kotlin/UnsignedKt
f94093bd6d77e5a0   19 of  57   kotlinx/coroutines/CompletedContinuation
66e7976ca4207780    3 of  12   androidx/room/InvalidationLiveDataContainer
6fca98b1ab6e1e22   37 of 142   androidx/compose/foundation/gestures/ScrollableNode
863478a8e7851b22    1 of   5   androidx/compose/foundation/lazy/layout/TraversablePrefetchStateNode
0072a98f98b2f370   12 of  25   androidx/compose/material3/tokens/XSmallIconButtonTokens
612350a35b6f28af   18 of  48   androidx/core/view/DisplayShapeCompat
0efbee07c45766ea    4 of 420   androidx/collection/FloatSet
5ff08ca9de892f96    4 of   6   androidx/compose/material3/internal/ChildParentSemanticsKt
300d8e06cbe997b6    7 of  30   androidx/compose/ui/autofill/AndroidAutofill
e1dd7c6d536f0c8a    5 of   5   androidx/compose/ui/text/style/TextForegroundStyle$Unspecified
d9a2bc1068618f84    5 of  23   androidx/compose/ui/text/platform/URLSpanCache
12c90612d7036187   21 of  21   androidx/compose/ui/graphics/SimpleGraphicsLayerModifier$layerBlock$1
4bddd0192efc3767    1 of   2   androidx/compose/material3/RippleNodeFactory$create$colorProducer$1
6c8864332f87055e    3 of   4   androidx/compose/ui/text/font/PlatformResolveInterceptor$Companion
e23c982166b55ecd    6 of  10   androidx/compose/ui/platform/AbstractComposeView$ensureCompositionCreated$1$1
83b500efd900b82b    8 of  37   androidx/compose/ui/text/AnnotatedString$Range
5e0ac8c05ccac872    9 of  15   androidx/compose/runtime/BroadcastFrameClock$FrameAwaiter
26f8c04f6c9aa85a    3 of  12   androidx/compose/ui/platform/AndroidComposeView$pointerIconService$1
b457def09c20b4fd   56 of 355   androidx/compose/material3/AndroidMenu_androidKt
cced316a76d9a924    8 of  28   androidx/compose/ui/input/key/KeyInputElement
4e685c56648a74c8    8 of  27   okio/internal/-ByteStringNonJs
a196fcaeb89a47df   13 of  20   androidx/compose/ui/platform/AndroidCompositionLocals_androidKt
48799c1a55886395    7 of  12   androidx/room/RoomConnectionManager$SupportOpenHelperCallback
94fff75caa27ab05    2 of  25   androidx/compose/runtime/snapshots/ReaderKind
718a89f079c5e33d    3 of  12   androidx/compose/ui/platform/InspectableValueKt
c5b3ee3f114d1847    2 of   2   androidx/compose/ui/platform/AndroidComposeViewAccessibilityDelegateCompat$Companion
a8a55682b80e44af    1 of  18   androidx/compose/ui/platform/AndroidComposeViewAccessibilityDelegateCompat$ComposeAccessibilityNodeProvider
84fa15e4e9949a07    2 of   4   androidx/compose/animation/EnterExitTransitionKt$shrinkVertically$1
911bfce1a730485a    1 of   2   kotlinx/coroutines/internal/Removed
60a810e1dbf28928    4 of   4   androidx/compose/animation/core/VectorizedAnimationSpecKt$createSpringAnimations$2
38c1825501bcf9bc    6 of 156   androidx/compose/foundation/gestures/ScrollingLogic
cb7f41d37e19f62f    1 of   1   androidx/compose/ui/layout/ContentScale
7d7ff6ef2c07c50b    4 of   4   androidx/compose/runtime/GapComposer$derivedStateObserver$1
b229259dc0ae95ba    2 of   4   androidx/compose/ui/graphics/AndroidGraphicsContext$Companion
59d2d1ffde89d405   20 of  30   androidx/compose/runtime/SnapshotStateKt__SnapshotFlowKt
83c77d31b28e6ed9   23 of 173   androidx/compose/ui/geometry/RoundRectKt
dd5ea0b7f3770c3c    2 of   4   androidx/compose/foundation/text/CoreTextFieldKt$CoreTextField$lambda$21$0$$inlined$onDispose$1
ee21975253cbc808   31 of  76   androidx/compose/foundation/layout/RowKt
5c6ba335cd0c90e9   14 of  36   androidx/sqlite/db/framework/FrameworkSQLiteOpenHelper
69bf4624ea68a74f   79 of 167   androidx/compose/runtime/GapComposerKt
16e4ed30437eda14    1 of   1   androidx/compose/foundation/gestures/BringIntoViewSpec$Companion$DefaultBringIntoViewSpec$1
3d067d3e222f80d5    2 of   2   kotlin/jvm/internal/StringCompanionObject
9a3da6de7a49a46f   13 of  55   kotlinx/coroutines/ExecutorCoroutineDispatcherImpl
74d0f5405161d234    2 of   2   kotlin/ULong$Companion
d74cdf38441feeae    6 of   8   androidx/compose/foundation/text/TextFieldScroll_androidKt
156ffbc2283be453    3 of   3   net/youapps/translation_engines/mh/obj/MhLanguage$Companion
fd6d4566ab455188    1 of   1   androidx/compose/foundation/PlatformMagnifierFactory
d51e8d05327b28a8    5 of   6   kotlin/sequences/ConstrainedOnceSequence
5b811b0dd9d0bb96   17 of  62   net/youapps/translation_engines/po/PonsEngine
cf8b31b1e680da76    4 of  43   androidx/core/view/WindowInsetsCompat$Builder
9845746da53f6bda    5 of  33   androidx/compose/ui/graphics/CanvasUtils
5bc8d478ee266358   10 of  22   androidx/compose/ui/unit/IntSizeKt
215c08d7fc12b749   12 of  31   androidx/core/graphics/Insets
