[INFO] Loading exec file /home/ubuntu/test-jacoco/timemachine-test-code-coverage/results/smoke-redroid-api31/Fossify-Calendar-_1.10.3-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
3a96b4eb76b4a9d0    2 of   3   androidx/interpolator/view/animation/FastOutSlowInInterpolator
25501530c39b1ae1   11 of  33   com/google/gson/FieldNamingPolicy
3c9fbc3b385561ea   10 of  55   com/google/android/material/motion/MotionUtils
0acf519d5a1fd856   15 of  57   com/google/android/material/shadow/ShadowRenderer
e2219211ef650e49    2 of   2   org/joda/time/DateTimeUtils$SystemMillisProvider
da9c297a5681dc7a  219 of 610   androidx/constraintlayout/widget/ConstraintLayout
150e3e3e7a96e087    7 of  12   androidx/work/impl/background/systemjob/SystemJobInfoConverter$1
d19c23ec3c5b370f    1 of  11   com/google/gson/Gson$1
efcc740e76ae9c49    1 of  10   androidx/fragment/app/FragmentManager$9
595a534fad2ca61e    2 of  70   androidx/fragment/app/FragmentLayoutInflaterFactory
e8c268b05098b1cd   10 of  10   com/google/android/material/shape/ShapePath$PathLineOperation
4ef060c7ae34c12b   37 of  75   androidx/work/impl/background/systemjob/SystemJobService
ed1d81202a7d0769    3 of   4   androidx/fragment/app/strictmode/WrongFragmentContainerViolation
e1477e06f0242e4f    6 of   8   com/google/gson/LongSerializationPolicy
61c8efb3f378dc2f    5 of  78   kotlinx/coroutines/internal/ConcurrentLinkedListNode
b389eab307bd77a9   53 of 111   androidx/appcompat/view/SupportMenuInflater$MenuState
ebc3ee1319fdd502   57 of 406   org/fossify/commons/helpers/BaseConfig
599166c64064b600    1 of  30   androidx/core/widget/TextViewOnReceiveContentListener
2072d6349e9a69e8   84 of 1770   kotlinx/coroutines/channels/BufferedChannel
a3ce93da1a765b54    1 of   3   org/fossify/commons/helpers/BaseConfig$colorPickerRecentColorsFlow$1
f621a462a406177d    2 of   5   com/google/gson/internal/bind/DefaultDateTypeAdapter$DateType
82bdf917ab2f91bd    2 of  11   androidx/lifecycle/ViewTreeViewModelStoreOwner
96204eef6789067f    3 of   5   androidx/room/util/SQLiteStatementUtil
c4f4b20051aef667    2 of   9   androidx/appcompat/widget/AppCompatTextHelper$1
92f09c23100b4798   21 of  36   androidx/room/TriggerBasedInvalidationTracker$createFlow$1$2
1e077a104cdaf98d    3 of  42   androidx/recyclerview/widget/RecyclerView$ItemAnimator
a428ae983e956d67    2 of  30   kotlin/jvm/internal/CallableReference
6329067e5ee4aaf1    8 of  30   kotlinx/coroutines/CoroutineScopeKt
581e8bc114164e8e   18 of  58   kotlin/jvm/internal/ClassReference
88cc6ab582af899f   74 of 117   org/fossify/calendar/fragments/MonthFragment
4810af06c48b9ad1    3 of   3   androidx/work/impl/model/WorkSpecDao_Impl$Companion
2eafbed34e19f729   13 of  62   androidx/work/impl/model/DependencyDao_Impl
