[INFO] Loading exec file /home/ubuntu/TimeMachine/results/smoke/Vinyl-Music-Player-_1.5.1-rebuilt_/coverage.ec.
CLASS ID         HITS/PROBES   CLASS NAME
6ddbaf6c5185e10f    1 of   8   androidx/activity/OnBackPressedDispatcher$OnBackPressedCancellable
bb282d22af2b3740    3 of   3   com/poupa/vinylmusicplayer/ui/fragments/mainactivity/library/pager/GenresFragment$AsyncGenreLoader
c36c24574c96ce8e    1 of   2   androidx/fragment/app/SpecialEffectsController$Operation$1
8a8d94fbab2b5e95    1 of   8   androidx/appcompat/app/ToolbarActionBar$MenuBuilderCallback
d9f89462fb55d13d    3 of  10   androidx/collection/ArraySet$1
ff6ee9c54470c012    1 of  10   androidx/lifecycle/ViewTreeLifecycleOwner
84846663c1db5034   53 of 172   androidx/recyclerview/widget/RecyclerView$ViewHolder
4125bbe77d56dbb5    1 of  14   androidx/appcompat/widget/Toolbar$3
523c6cb141b68c0e  108 of 127   com/google/android/material/shape/ShapeAppearancePathProvider
c6096e8458204eb1    5 of  19   com/afollestad/materialdialogs/GravityEnum
bd6d3c28889a01fd   11 of 129   androidx/media/MediaBrowserServiceCompat
7def1dc6de654b2c    1 of   2   androidx/arch/core/executor/ArchTaskExecutor$2
aeb7ddc489b298ee    2 of   5   androidx/appcompat/widget/TooltipCompat
c257a76372c264ae   32 of 104   com/poupa/vinylmusicplayer/ui/fragments/player/PlayerAlbumCoverFragment
6f97414fcb025768    1 of   2   androidx/drawerlayout/widget/DrawerLayout$ViewDragCallback$1
200227aa58dc5df9    3 of   7   androidx/appcompat/widget/FitWindowsLinearLayout
e3233f9c63280f90   41 of 301   androidx/fragment/app/BackStackRecord
df06244bd140d2b1    2 of   2   androidx/fragment/app/FragmentManager$7
02f8333e46b223dc   46 of 124   com/poupa/vinylmusicplayer/ui/activities/base/AbsSlidingMusicPanelActivity
431327a9cfea6fa0   12 of  74   androidx/core/view/KeyEventDispatcher
d42384f41bb5bb85    6 of  18   androidx/loader/content/AsyncTaskLoader$LoadTask
03dc994d8ce9f444   18 of  60   com/poupa/vinylmusicplayer/ui/activities/base/AbsBaseActivity
8040d9c3f35c64ee    2 of  57   androidx/recyclerview/widget/RecyclerViewAccessibilityDelegate$ItemDelegate
3223803585d9f7e8   17 of  33   androidx/cardview/widget/CardViewApi21Impl
f21e43f717b055bc    3 of   6   androidx/fragment/app/Fragment$6
7f9c039361a1920d    1 of   1   com/google/android/material/internal/NavigationMenuPresenter$SeparatorViewHolder
48a5eb3d702cc545    2 of  14   me/zhanghai/android/materialprogressbar/SingleHorizontalProgressDrawable
e28611d9802afae8    1 of  80   com/poupa/vinylmusicplayer/util/FileUtil
edfbffeb579144fd    1 of   2   org/jaudiotagger/audio/generic/AbstractTagCreator
238c38b27d3074cc    2 of   3   androidx/core/os/TraceCompat$Api18Impl
ef3f81be62cf5b0c   60 of 173   androidx/appcompat/app/AppCompatViewInflater
259d2bd00f929596    1 of  31   androidx/activity/ComponentActivity$2
